Präzision01164
Date:,2025/04/30
Time:,17:47:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
73,738.274109,923.309509,202.370575,682.692993,829.859558,156.749893,808.088745,1171.421875,272.710602,845.489075,1180.197266,428.545563,713.195984,833.656067,159.331070,,,,,,
74,736.318787,926.347473,202.965515,680.561096,833.462280,156.272263,808.299133,1173.932007,273.603149,845.849609,1181.685425,429.344299,710.959839,837.058472,159.191254,,,,,,
75,734.792419,929.228882,202.703659,678.063599,836.618530,156.271713,808.887085,1176.178223,274.269318,846.551086,1183.488892,429.976105,709.053711,840.533752,158.518570,,,,,,
76,733.407166,932.046387,201.786514,676.331909,840.103943,155.147583,809.416565,1178.356934,274.547943,847.167908,1184.971802,430.438812,707.185669,843.446411,157.511459,,,,,,
77,731.728821,934.796509,201.832260,674.857483,843.442078,153.843948,810.047302,1180.474243,275.291473,847.318848,1186.171143,431.222809,705.443176,846.733704,156.680588,,,,,,
78,730.132935,937.599854,201.527100,673.149170,846.443726,152.546021,810.031616,1182.675293,276.310181,848.124390,1187.567017,431.671295,703.773499,849.868835,155.974777,,,,,,
79,728.514343,940.132751,201.195969,671.362610,849.424133,151.599365,810.129883,1184.506226,276.777588,848.837769,1189.093994,432.209625,701.947388,852.554932,154.994110,,,,,,
80,727.210815,942.549377,200.913925,670.108765,852.366272,150.632568,809.895569,1186.594971,277.412994,848.875793,1190.372559,432.618469,700.571167,855.466858,154.104721,,,,,,
81,725.868042,945.127380,200.290359,668.750916,855.497742,149.093475,809.885071,1188.370605,277.913666,849.207825,1191.509766,433.179382,699.481628,858.466980,152.686707,,,,,,
82,724.655090,947.379822,199.870056,667.651367,858.225281,147.876633,809.999329,1190.210938,278.407806,849.739990,1192.629761,433.630157,697.883911,860.883057,151.839050,,,,,,
83,723.735962,949.849304,198.849091,665.985168,860.768799,146.602875,810.623962,1191.771362,278.555664,850.322021,1193.822388,433.835541,696.614685,863.528137,150.492798,,,,,,
84,722.443359,951.867798,198.009186,664.936584,863.253418,145.729065,810.896973,1193.219971,278.638916,850.862183,1194.920532,434.219879,695.443176,866.222046,149.561386,,,,,,
85,721.238525,953.891907,197.526184,663.476013,865.756226,144.481033,810.811890,1194.719360,278.831177,851.463684,1195.846924,434.658142,694.895691,868.213562,148.185989,,,,,,
86,720.384094,955.978943,196.617828,662.964783,867.981262,143.102478,810.837097,1195.983643,279.163025,851.526855,1196.915405,435.110321,693.536926,870.736145,147.011612,,,,,,
87,719.550354,957.718506,196.016724,662.270874,870.510315,141.115692,810.911072,1197.244141,279.476074,851.836243,1197.903564,435.315216,692.623352,872.954102,145.140533,,,,,,
88,718.771606,959.756104,194.881348,661.775146,872.415527,139.632690,810.877258,1198.567017,280.022003,852.298096,1198.790039,435.376587,692.091003,875.022095,143.770386,,,,,,
89,717.917664,961.383789,194.078079,661.104614,874.610840,138.146164,810.986206,1199.638184,280.202850,852.794556,1199.683716,435.368011,690.969055,876.981506,142.415100,,,,,,
90,717.293335,962.694885,193.689240,660.573914,876.256592,137.085510,,,,853.367126,1200.412231,435.302917,690.408020,878.709106,141.245895,,,,,,
91,716.613953,964.437927,192.347794,659.659790,877.899963,135.824142,,,,853.660156,1201.144775,435.474365,690.444702,880.102722,140.275345,811.033264,1201.652100,280.368286,,,
92,715.952026,965.930542,191.498245,658.883789,879.641113,134.575241,,,,853.827515,1201.867188,436.021790,689.626526,881.526428,138.609390,811.045898,1202.595337,280.607025,,,
93,715.387085,967.206909,190.854187,658.718689,880.708252,133.300095,,,,854.298340,1202.655273,436.066650,689.393311,883.149475,137.180450,811.126526,1203.394165,280.675659,,,
94,714.956421,968.813538,190.117554,658.130981,882.158203,132.133224,,,,854.782593,1203.278198,436.007233,689.228394,884.349609,136.171295,811.092712,1203.869019,280.461945,,,
95,714.390137,970.016663,189.038574,658.325867,883.503723,130.211472,,,,855.052612,1203.870483,436.044189,688.628296,885.243286,135.160065,811.476990,1204.668701,280.578094,,,
96,713.896057,970.736633,188.251373,658.575745,884.436646,128.907043,,,,855.225586,1204.488159,436.246857,688.833801,886.494629,133.689560,811.666382,1205.422119,280.542511,,,
97,713.472412,971.649475,187.771667,658.473511,885.647827,128.000244,,,,855.577515,1205.059570,436.395203,689.227295,887.229858,132.807205,811.702515,1206.041992,280.513367,,,
98,713.108093,972.648499,186.824631,658.192993,886.730896,127.248428,,,,855.771912,1205.628662,436.227875,689.144836,888.042297,132.199860,811.857971,1206.547974,280.348389,,,
99,712.666870,973.442932,186.095322,657.978210,887.673096,126.379906,,,,855.874512,1206.241333,436.375793,688.517517,888.632690,131.527756,811.941956,1207.025269,280.193390,,,
100,712.421631,974.187805,185.415131,657.843750,888.378052,125.477943,,,,856.053406,1206.809082,436.285706,688.218872,889.919189,129.959824,811.937683,1207.543701,279.980682,,,
101,712.174255,974.718384,185.076111,658.018860,888.823120,124.722046,,,,856.434692,1207.236938,436.119720,688.530029,891.141541,128.626328,811.985291,1207.905518,279.863708,,,
