Präzision01160
Date:,2025/04/24
Time:,16:13:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
88,721.679504,916.870178,222.527069,681.779175,808.365051,202.618393,707.446289,816.220459,202.012802,,,,815.484314,1166.286255,412.034485,,,,,,,,,,,,,,,
89,720.400818,919.903137,222.728577,680.286682,811.406006,202.460953,706.065918,819.087524,201.690750,,,,815.896057,1167.734741,412.641418,,,,,,,,,,,,,,,
90,719.109131,922.995789,222.399109,679.051758,814.574402,202.446106,704.461731,822.188904,201.620834,,,,816.222595,1169.114014,412.999878,,,,,,,771.524963,1168.867310,272.377563,,,,,,
91,717.823914,925.510010,222.131973,677.950378,817.444702,201.567337,702.601074,825.732605,200.964081,,,,816.463745,1170.374512,413.445282,,,,,,,770.967773,1171.337280,273.199707,,,,,,
92,716.797791,928.247925,222.152664,676.678406,820.212708,200.788696,702.115173,828.173645,200.703644,,,,816.473267,1171.542847,413.908600,,,,,,,771.410950,1173.591675,273.787842,,,,,,
93,715.390137,931.261169,221.916473,675.037598,823.114807,200.590805,700.388306,831.084839,199.628738,,,,816.715698,1172.672119,414.402893,,,,,,,771.894653,1175.609619,273.969604,,,,,,
94,714.442932,933.764099,221.593735,674.050598,826.158997,199.920380,699.585144,833.718750,198.940903,,,,817.468689,1173.899780,415.017792,,,,,,,771.935181,1178.141113,274.597992,,,,,,
95,713.448242,936.537537,221.511688,672.789551,828.971619,199.509827,698.217651,836.632629,198.677322,,,,817.754578,1175.221924,415.353088,,,,,,,772.015930,1180.423828,275.197388,,,,,,
96,712.432007,939.113647,220.978729,671.540894,831.633789,199.077988,697.582336,839.719971,198.294449,,,,817.984497,1176.643677,415.883362,,,,,,,772.202271,1182.141479,275.655090,,,,,,
97,711.541016,941.782288,220.711578,670.485046,834.257629,198.324265,696.351929,841.720154,197.606552,,,,817.705811,1178.010498,416.342163,,,,,,,772.250793,1184.403809,276.106171,,,,,,
98,710.906921,944.136597,220.548233,669.284668,837.047729,197.644470,694.962769,844.617920,196.704468,,,,817.542725,1179.078857,416.777618,,,,,,,772.249756,1186.458252,276.620697,,,,,,
99,710.064087,946.334534,220.225510,668.322693,839.638184,196.732376,693.718140,847.280273,196.108948,,,,818.013306,1180.367676,416.982758,,,,,,,772.327576,1188.592529,277.385925,,,,,,
100,709.277954,949.112732,219.567932,667.061768,842.026428,196.161423,692.441650,849.288879,195.375381,,,,818.595459,1181.593628,417.211029,,,,,,,772.815125,1190.296021,277.798248,,,,,,
101,708.711792,950.921814,219.118759,665.881775,844.546509,195.413300,691.495789,852.186707,194.999802,,,,819.002869,1182.812744,417.661591,,,,,,,773.609009,1192.265991,277.616211,,,,,,
102,707.998047,953.522217,219.206635,665.082275,846.933838,194.583954,690.371704,854.167053,194.466797,,,,818.885254,1183.952271,418.476715,,,,,,,773.126282,1194.079468,278.449463,,,,,,
103,707.124451,955.376648,218.714157,664.163208,849.211670,193.724075,689.237366,856.816162,193.478592,,,,818.855469,1185.000122,419.181122,,,,,,,773.224792,1195.790283,279.355865,,,,,,
104,706.251465,957.834290,218.306183,663.375122,851.578430,192.871658,688.579712,858.658142,192.938080,,,,819.158081,1185.958862,419.541290,,,,,,,773.689514,1197.302734,279.533600,,,,,,
105,705.650024,959.771790,217.468567,662.586304,853.770508,192.079941,687.842590,861.077332,192.424164,,,,819.896301,1187.339233,419.716309,,,,,,,774.212524,1199.061523,279.980469,,,,,,
106,705.163757,961.972168,217.527649,661.686279,855.916382,191.429062,687.318359,863.111572,191.822495,,,,820.260803,1188.454712,419.779205,,,,,,,774.717224,1200.485962,279.860535,,,,,,
107,704.444397,963.740295,217.092346,661.015869,858.120300,190.621399,686.756104,865.931458,191.113098,,,,820.563171,1189.351929,419.895020,,,,,,,774.496765,1202.419189,280.039337,,,,,,
108,703.816895,966.069702,216.174576,660.660217,860.070557,189.893707,686.058228,867.238953,190.050049,,,,820.941223,1190.329712,420.159760,,,,,,,774.297424,1203.685181,280.727722,,,,,,
109,703.661255,967.665466,215.514679,660.373291,862.326721,188.665161,685.697571,869.897461,188.481766,,,,821.145203,1191.219238,420.569427,,,,,,,774.515747,1205.118896,281.252594,,,,,,
110,703.320007,969.382507,215.188507,659.421082,863.952698,188.025772,685.547668,871.029663,187.689224,,,,821.261780,1192.057617,421.032043,,,,,,,774.957947,1206.536499,281.485382,,,,,,
111,702.688599,971.326965,214.639175,659.003418,865.918091,187.098328,684.901733,873.072266,186.419266,,,,821.666809,1192.883179,421.332489,,,,,,,775.711914,1207.624023,281.371277,,,,,,
112,702.249756,972.632629,213.630554,658.350159,867.506836,186.223572,683.487305,875.621033,184.720779,,,,822.131165,1193.718506,421.529480,,,,,,,776.519226,1208.791382,281.356903,,,,,,
113,702.185425,974.425354,213.055176,658.637085,869.362671,184.492416,683.636902,877.086304,184.301315,,,,822.566040,1194.502197,421.654724,,,,,,,777.104248,1209.982544,281.572632,,,,,,
114,702.059387,975.800720,212.956253,657.802185,871.096191,184.005432,683.761047,878.205444,183.529800,,,,823.211792,1195.242188,421.639191,,,,,,,777.261902,1211.009521,281.807281,,,,,,
115,701.918579,977.052429,212.283844,657.198975,872.518677,183.282455,683.015442,879.508057,182.736298,,,,823.539856,1195.971924,421.714142,,,,,,,777.211426,1212.398682,282.160675,,,,,,
116,701.672302,978.685669,211.546021,657.263184,874.133240,182.136642,682.135620,881.708130,182.015381,,,,823.716125,1196.587769,422.108521,,,,,,,777.687683,1213.778687,282.435120,,,,,,
117,701.328796,979.978943,211.198288,657.062805,875.527832,181.235489,682.348755,883.396179,181.421173,,,,824.032227,1197.311401,422.462067,,,,,,,777.998413,1214.578857,282.573547,,,,,,
118,701.209473,981.297058,210.741089,656.638672,877.104431,180.523758,682.575439,884.095398,180.255905,,,,824.357910,1197.950439,422.656158,,,,,,,778.207458,1215.327393,282.643616,,,,,,
119,701.113159,982.675659,210.166824,656.749268,878.579651,179.292313,682.739685,885.342896,179.217712,,,,824.580261,1198.650269,422.635590,,,,,,,778.800232,1216.644409,282.717896,,,,,,
