Präzision01165
Date:,2025/04/24
Time:,13:17:15
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
67,717.426819,978.743408,184.895462,,,,,,,669.521667,867.013123,172.321320,698.032410,875.760986,178.934433,,,,,,,,,,,,,788.471558,1225.436279,204.457092,,,,828.943787,1210.736084,411.342163,,,,,,,,,,,,,,,,,,,,,
68,715.976563,980.831970,183.820908,,,,,,,667.993286,869.274414,170.702988,695.536560,878.202148,177.201965,,,,,,,,,,,,,788.640442,1226.985718,204.886108,,,,828.893982,1211.444092,412.139313,,,,,,,,,,,,,,,,,,,,,
69,714.871277,982.829956,182.983917,,,,,,,667.061523,872.022217,167.915924,693.777344,880.019897,175.670914,,,,,,,,,,,,,789.078369,1228.395508,205.220917,,,,829.013000,1212.015503,412.714050,,,,,,,,,,,,,,,,,,,,,
70,713.427307,984.642944,181.804123,,,,,,,664.821411,874.090515,166.887146,692.414551,882.197815,174.515457,,,,,,,,,,,,,789.322815,1229.651733,205.421783,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,712.577087,986.501892,180.640854,,,,,,,663.012634,876.432861,165.358841,690.596619,883.905579,172.661072,,,,,,,,,,,,,789.396240,1231.315796,205.553864,,,,,,,829.708252,1213.193115,412.521027,,,,,,,,,,,,,,,,,,
72,711.691101,988.139343,179.414322,,,,,,,661.362061,878.250305,164.115326,689.203552,885.609619,171.579895,,,,,,,,,,,,,789.442017,1232.522827,205.766190,,,,,,,830.025330,1213.985596,412.589600,,,,,,,,,,,,,,,,,,
73,710.690063,989.944275,178.645355,,,,,,,660.052246,880.051758,162.787033,688.247314,887.816223,169.882004,,,,,,,,,,,,,789.470093,1233.697144,205.960159,,,,,,,830.278870,1214.514648,413.121460,,,,,,,,,,,,,,,,,,
74,710.114441,991.564514,177.531906,,,,,,,658.662231,881.912537,161.511856,686.796692,889.472595,167.855545,,,,,,,,,,,,,789.691528,1235.002075,206.217407,,,,,,,830.570251,1215.052246,413.305695,,,,,,,,,,,,,,,,,,
75,709.014404,992.930847,176.759186,,,,,,,657.261841,883.615234,160.459305,686.123169,891.236816,167.018280,,,,,,,,,,,,,790.113342,1236.092896,205.840714,,,,,,,830.760254,1215.437500,413.337799,,,,,,,,,,,,,,,,,,
76,708.390625,994.479492,175.756104,,,,,,,656.095459,885.302002,159.052780,684.890686,892.833313,164.835037,,,,,,,,,,,,,790.360168,1237.085693,205.775894,,,,,,,830.886536,1215.841187,413.228485,,,,,,,,,,,,,,,,,,
77,707.900146,995.824036,174.705490,,,,,,,654.985840,886.777466,157.964371,684.006897,894.312866,163.967560,,,,,,,,,,,,,790.345154,1238.159668,206.346405,,,,,,,831.006165,1216.267334,413.161926,,,,,,,,,,,,,,,,,,
78,707.292847,996.978210,173.993561,,,,,,,653.984009,888.432495,156.361694,683.019836,895.699463,162.637817,,,,,,,,,,,,,790.211304,1239.205566,206.730438,,,,,,,830.901855,1216.714111,413.242859,,,,,,,,,,,,,,,,,,
79,706.761597,998.259705,173.348984,,,,,,,653.528931,889.758240,155.041321,682.355103,897.114014,161.617950,,,,,,,,,,,,,790.109985,1240.008789,206.722580,,,,,,,830.843933,1217.164185,413.403961,,,,,,,,,,,,,,,,,,
80,706.191223,999.540222,172.558228,,,,,,,652.767700,890.940918,154.330429,681.598999,898.227966,160.865326,,,,,,,,,,,,,790.028748,1240.649780,206.783203,,,,,,,830.880066,1217.664307,413.611053,,,,,,,,,,,,,,,,,,
81,705.746643,1000.505249,171.479736,,,,,,,652.673340,892.418579,152.488846,680.649780,899.327087,159.291534,,,,,,,,,,,,,790.126160,1241.475464,207.054306,,,,,,,830.942383,1218.132568,413.807770,,,,,,,,,,,,,,,,,,
82,705.391541,1001.633301,170.398636,,,,,,,652.221863,893.477356,151.487137,680.118469,900.452515,158.545914,,,,,,,,,,,,,790.249695,1242.295654,207.274429,,,,,,,830.988342,1218.539917,413.616608,,,,,,,,,,,,,,,,,,
83,705.095337,1002.537659,169.449280,,,,,,,651.404114,894.441223,150.873032,680.024109,901.561401,157.730255,,,,,,,,,,,,,790.414795,1242.843384,207.321182,,,,,,,831.252502,1218.920410,413.555328,,,,,,,,,,,,,,,,,,
84,704.869873,1003.469116,168.816879,,,,,,,651.001587,895.479553,149.903275,679.479004,902.411682,156.306747,,,,,,,,,,,,,790.621033,1243.423218,207.300446,,,,,,,831.421387,1219.191162,413.657471,,,,,,,,,,,,,,,,,,
85,704.787354,1004.217651,168.393875,,,,,,,650.660156,896.351990,148.995331,679.636597,903.362915,154.869141,,,,,,,,,,,,,790.757751,1243.897095,207.338348,,,,,,,831.602966,1219.433350,413.727600,,,,,,,,,,,,,,,,,,
86,704.742004,1004.863098,167.670609,,,,,,,650.133179,896.988770,148.241440,679.628967,903.959045,154.361710,,,,,,,,,,,,,790.932922,1244.264648,207.362274,,,,,,,831.783203,1219.718750,413.818420,,,,,,,,,,,,,,,,,,
87,704.611572,1005.483032,166.643646,,,,,,,650.001343,897.544373,147.111664,679.091858,904.457153,153.451355,,,,,,,,,,,,,791.040100,1244.703735,207.100845,,,,,,,832.082336,1219.986206,413.981445,,,,,,,,,,,,,,,,,,
88,704.361572,1006.036987,165.885757,,,,,,,650.192688,898.214783,145.576141,678.501892,905.182068,152.011383,,,,,,,,,,,,,791.236450,1245.092529,206.996323,,,,,,,832.400940,1220.145752,414.233398,,,,,,,,,,,,,,,,,,
89,703.972778,1006.468933,165.367966,,,,,,,649.508301,898.797302,145.198517,678.317749,905.859802,151.308502,,,,,,,,,,,,,791.347900,1245.613647,206.692017,,,,,,,832.572754,1220.458740,414.325439,,,,,,,,,,,,,,,,,,
90,703.775452,1006.709290,165.098450,,,,,,,648.951782,899.158813,144.708252,678.056702,906.421997,150.819290,,,,,,,,,,,,,791.507019,1245.755127,206.796768,,,,,,,832.716064,1220.724487,414.383392,,,,,,,,,,,,,,,,,,
91,703.900269,1007.304016,164.048889,,,,,,,649.263977,899.767517,143.136246,678.025330,906.757080,150.260605,,,,,,,,,,,,,791.697327,1245.957275,206.653397,,,,,,,832.806763,1220.850098,414.398651,,,,,,,,,,,,,,,,,,
92,704.033875,1007.681091,163.072083,,,,,,,649.416382,900.236389,142.055847,677.747803,907.151550,149.205490,,,,,,,,,,,,,791.778503,1246.180542,206.544296,,,,,,,832.867920,1221.005737,414.448486,,,,,,,,,,,,,,,,,,
93,703.940796,1008.061951,162.167694,,,,,,,648.937012,900.522400,141.755508,677.944458,907.749390,147.965439,,,,,,,,,,,,,791.832947,1246.335938,206.529785,,,,,,,832.841003,1221.126587,414.387634,,,,,,,,,,,,,,,,,,
94,703.766418,1008.286133,161.429855,,,,,,,648.687317,900.721313,141.379715,678.322388,907.967529,147.089569,,,,,,,,,,,,,791.831421,1246.390137,206.402100,,,,,,,833.084717,1221.242920,414.417023,,,,,,,,,,,,,,,,,,
95,703.848022,1008.409302,160.710403,,,,,,,648.530823,901.049500,140.860214,678.040283,908.183289,146.365036,,,,,,,,,,,,,791.884277,1246.370728,206.310196,,,,,,,833.432373,1221.389771,414.384247,,,,,,,,,,,,,,,,,,
96,703.971619,1008.468872,160.073547,,,,,,,648.447510,901.430054,139.884521,677.974121,908.200989,145.907639,,,,,,,,,,,,,791.993164,1246.400513,206.232239,,,,,,,833.546265,1221.455811,414.260040,,,,,,,,,,,,,,,,,,
97,704.181396,1008.558167,159.624084,,,,,,,648.668884,901.458191,139.095306,678.066345,908.190002,145.299042,,,,,,,,,,,,,792.083557,1246.435425,206.109360,,,,,,,833.865723,1221.511475,414.104889,,,,,,,,,,,,,,,,,,
98,704.313782,1008.565674,159.154449,,,,,,,649.397278,901.420715,137.463821,678.366516,908.065674,145.044327,,,,,,,,,,,,,,,,,,,,,,834.066223,1221.664185,414.040466,,,,,,,,,,,,,,,,,,
99,704.221741,1008.626099,158.607819,,,,,,,649.691162,901.484497,136.498306,678.400269,908.308167,143.258087,,,,,,,,,,,,,,,,,,,,,,834.323975,1221.648315,413.855560,792.307251,1246.250122,205.722061,,,,,,,,,,,,,,,
100,704.424072,1008.759277,157.946320,,,,,,,649.598633,901.291321,136.415054,678.769653,908.546631,142.265671,,,,,,,,,,,,,,,,,,,,,,834.514832,1221.671753,413.663513,792.344177,1246.177124,205.614883,,,,,,,,,,,,,,,
101,704.611206,1008.849976,157.233627,,,,,,,649.506042,901.415039,136.262558,678.883667,908.483215,141.730423,,,,,,,,,,,,,,,,,,,,,,834.705811,1221.719482,413.599182,792.451477,1246.096558,205.519272,,,,,,,,,,,,,,,
102,704.762756,1008.840881,156.766495,,,,,,,649.714539,901.465759,135.649811,678.936340,908.472046,141.265457,,,,,,,,,,,,,,,,,,,,,,834.968445,1221.860107,413.221344,792.536438,1245.934692,205.360779,,,,,,,,,,,,,,,
103,704.994873,1008.642578,156.444168,,,,,,,650.018311,901.356201,135.133881,678.969543,908.421997,140.769440,,,,,,,,,,,,,,,,,,,,,,835.044312,1221.909180,412.994904,792.642822,1245.927002,205.023270,,,,,,,,,,,,,,,
