Präzision27
Date:,2025/04/16
Time:,10:47:53
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
129,650.134949,907.169983,132.934250,699.395508,998.985901,186.141785,856.951904,1232.073364,370.952271,782.975708,1218.052979,256.854309,681.726013,906.177551,139.531006,,,
130,650.435913,907.281189,131.800217,699.739929,998.786133,185.491882,856.938232,1232.003540,370.808655,783.442993,1217.660889,256.274536,682.340393,906.219543,138.479599,,,
131,650.641174,907.333374,130.814148,700.130371,998.620178,184.718369,856.905518,1231.936646,370.734589,783.732056,1217.529907,255.910919,682.619995,906.430969,137.265167,,,
132,650.877930,907.316650,130.123627,700.438416,998.732361,183.556274,856.956787,1231.785767,370.628174,783.838623,1217.280273,255.707306,682.905701,906.133789,135.741028,,,
133,651.067749,907.368164,129.006927,700.743713,998.793152,182.577377,856.961060,1231.641602,370.521179,784.027100,1217.061035,255.554001,682.834717,906.284912,134.457382,,,
134,651.238342,907.540466,127.615669,700.976624,998.867432,181.943680,856.991089,1231.454956,370.434143,784.167664,1216.905396,255.450256,682.893616,906.612549,133.497498,,,
135,651.889587,907.712463,126.314873,700.995544,998.886963,181.344559,856.970520,1231.267944,370.332153,784.277222,1216.835449,255.346390,683.056519,906.853882,132.270554,,,
136,652.618103,907.992554,124.635139,701.009277,998.812866,180.610153,856.900757,1231.179565,370.265411,784.390076,1216.701172,255.266541,683.219421,907.122375,131.308060,,,
137,652.421021,908.174500,123.765793,701.330200,998.554077,179.930649,856.994385,1230.975220,370.148895,784.479065,1216.666748,255.100891,683.875000,906.773499,130.683548,,,
138,652.231934,908.192871,123.262665,701.088806,998.458130,178.950089,856.995300,1230.854736,370.018158,784.513000,1216.675171,254.803848,683.640442,907.320313,129.778397,,,
139,652.344543,908.167419,122.522957,701.388672,998.378967,178.296661,857.000183,1230.904175,369.822845,784.662231,1216.638550,254.590439,683.073730,907.597656,128.404938,,,
140,652.283386,908.367249,121.805573,701.586792,998.429932,177.811127,857.059631,1230.744751,369.867035,784.523254,1216.712524,254.457291,682.852173,907.632080,127.254601,,,
141,652.049072,908.613159,121.197205,701.717468,998.578613,177.088730,857.065125,1230.723389,369.633453,784.761475,1216.495605,254.126480,683.010010,907.622620,126.733063,,,
142,651.774048,908.711975,120.629059,701.781555,998.604187,176.625778,857.124939,1230.636230,369.574829,784.963684,1216.294922,253.819824,683.244019,907.491882,126.281731,,,
143,651.839600,908.846924,119.761909,701.927063,998.649414,176.037949,857.160461,1230.537598,369.482208,785.028137,1216.208740,253.593857,683.975952,907.215576,125.727989,,,
144,652.070923,909.071533,118.688972,701.761597,998.780884,175.286209,857.280762,1230.429077,369.408630,784.995850,1216.054932,253.226242,683.698669,907.595764,124.851540,,,
145,652.202820,909.397644,117.819443,701.705200,998.716248,174.772476,857.261597,1230.342163,369.281372,785.092346,1215.993774,252.964661,683.348511,908.019775,124.357025,,,
146,652.368347,909.465576,117.387886,701.472900,998.647705,174.155472,857.311279,1230.325928,369.231293,785.208984,1215.920654,252.783768,683.145813,908.474243,123.672386,,,
147,652.165710,909.571960,116.871681,701.532898,998.676941,173.410812,857.326111,1230.329834,369.067413,785.233215,1215.763428,252.516144,682.936218,908.303101,122.896500,,,
148,651.929016,909.779236,116.400879,701.820801,998.658752,172.947266,856.919739,1230.310303,369.291443,785.173218,1215.692017,252.311600,682.762634,908.403503,122.359222,,,
149,651.525757,909.942322,116.088257,701.991577,998.614380,172.529877,857.255310,1230.359253,368.921417,785.156250,1215.609497,252.161209,682.723145,908.439636,121.693542,,,
150,651.170593,910.244690,115.758713,702.283081,998.574219,172.112976,857.430176,1230.303345,368.608673,785.065674,1215.563599,251.906982,682.934753,908.183838,121.334991,,,
151,651.100891,910.379395,115.173485,702.221252,998.650269,171.688721,857.418030,1230.297729,368.510712,785.062744,1215.448120,251.594604,682.727417,908.412964,120.917076,,,
152,651.222473,910.552368,114.620453,702.250122,998.669678,171.378448,857.346008,1230.324097,368.396606,785.090210,1215.422852,251.494476,682.674377,908.507324,120.607452,,,
153,650.874634,910.707397,114.236038,702.304749,998.631409,171.066315,857.317383,1230.271118,368.303375,785.071533,1215.322998,251.297333,682.732544,908.502197,120.196930,,,
154,651.052490,910.746033,113.798607,702.332520,998.638062,170.863083,857.285217,1230.249756,368.242096,785.237000,1215.233032,250.922928,682.475342,908.499084,119.789558,,,
155,650.913940,910.878174,113.383896,702.335815,998.644836,170.752991,857.298889,1230.249756,368.120209,785.514526,1215.035889,250.750641,682.221436,908.405579,119.417931,,,
156,650.761475,910.933350,113.153999,702.276794,998.657471,170.580551,857.416565,1230.173340,367.963287,785.286255,1215.201660,250.645477,681.563538,908.619690,118.764603,,,
157,650.625671,911.016174,113.130051,702.290894,998.612427,170.379166,857.397095,1230.160767,367.889923,785.336365,1215.092041,250.564301,681.270447,908.841980,118.434532,,,
158,650.202454,911.055725,112.938683,702.274414,998.625977,170.207230,857.319702,1230.119385,367.897614,785.375183,1214.992310,250.471359,681.317749,908.723572,118.275414,,,
159,649.820740,911.181641,112.710205,702.043640,998.537903,169.898468,857.302124,1230.123291,367.635590,785.299072,1214.854980,250.523270,681.315918,908.786377,118.074524,,,
160,650.240479,911.301086,112.061409,701.917236,998.595947,169.493546,857.357239,1230.091309,367.624451,785.253784,1214.867920,250.423828,681.268250,908.767151,117.784538,,,
161,650.107849,911.507141,111.652138,701.764099,998.640747,169.157013,857.322144,1229.949951,367.578796,785.237488,1214.819214,250.256088,681.269653,908.960938,117.164337,,,
