Präzision01159
Date:,2025/04/24
Time:,15:56:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
86,765.391113,719.260986,203.742722,,,,765.557556,836.575989,188.338303,718.629883,1089.625732,335.519318,789.146851,740.636536,205.208786,,,,704.373474,1033.587769,185.720703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,764.134277,722.536011,207.653442,,,,764.371277,839.648010,190.464966,718.348999,1091.373047,335.802643,788.180542,743.688660,208.419342,,,,703.293274,1036.712036,186.544769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,762.864685,725.790588,210.780090,,,,762.578125,842.693115,192.696259,718.024353,1093.175293,335.887512,787.113953,746.683350,210.948212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,761.724854,729.002258,213.708038,,,,761.034668,845.962708,195.125778,717.501038,1095.007813,336.259033,785.650635,750.169006,213.871902,,,,,,,701.103882,1042.729004,188.678650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,760.552490,732.187439,216.644028,,,,760.306763,848.971741,196.740997,716.888428,1096.872559,336.925262,784.325317,753.629333,217.502960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,759.430664,735.574646,219.737259,,,,758.433350,852.335449,199.459503,716.615295,1098.773926,337.514832,782.761353,757.097656,220.599472,,,,,,,,,,699.424744,1049.116943,188.866653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,757.870972,739.132813,222.510376,,,,757.088745,855.697632,201.571304,716.223450,1100.777588,338.144958,781.380188,760.622375,222.877487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,756.125671,742.356750,225.956970,,,,755.664246,858.818726,203.365402,715.865112,1102.749390,338.551880,780.162476,763.719666,224.824738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,754.564880,745.954224,227.702621,,,,753.711304,861.818359,205.651276,715.712891,1104.728638,338.708923,778.364319,766.911072,227.812943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,753.137695,749.152649,229.504929,,,,752.915466,865.058960,206.505310,715.638062,1106.828979,338.766449,776.483765,770.346375,230.383224,,,,,,,,,,,,,694.858032,1061.581421,192.722107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,751.441833,752.636353,232.076660,,,,751.280457,868.461914,208.390182,715.505615,1108.805786,339.267670,775.237061,773.761475,232.043137,,,,,,,,,,,,,692.964050,1064.691772,194.096191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,749.546204,756.031616,234.094269,,,,750.077637,871.714600,209.628128,715.126709,1110.814331,339.626465,773.497620,777.045715,234.105927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,748.172668,759.331299,235.871048,,,,748.295471,874.724243,211.360123,714.532837,1112.652588,340.123901,771.855896,780.140381,235.925659,,,,,,,,,,,,,,,,691.658997,1071.593750,194.530945,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,746.458740,762.565002,237.407257,,,,746.842712,877.918091,212.603210,713.835571,1114.619019,340.902283,770.350098,783.186890,237.333359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,744.774841,765.778503,238.941391,,,,744.893311,881.128052,213.742432,713.745667,1116.426147,341.674225,768.646179,786.348755,239.040207,,,,,,,,,,,,,,,,,,,690.067505,1078.177246,195.402130,,,,,,,,,,,,,,,,,,,,,,,,
101,742.936890,768.906555,240.073883,,,,743.747925,884.437805,214.724274,713.660645,1118.442017,342.344818,766.847839,789.866272,239.632156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
