Präzision22
Date:,2025/04/16
Time:,11:11:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
70,716.216675,835.368530,196.445602,756.329468,940.556519,208.293304,743.461426,837.843567,195.742355,781.507080,1254.860229,317.937439,,,,,,,734.232910,1163.708374,162.661057,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,714.549927,838.431274,197.155029,754.802002,943.201477,209.167023,741.699890,840.720337,196.621277,782.417297,1256.910278,318.768494,,,,,,,734.487610,1166.492676,163.321564,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,712.835266,841.179077,197.634964,753.455444,946.015991,209.670441,739.950317,843.795532,197.127899,783.090881,1258.800781,319.724487,,,,,,,733.978088,1169.384644,164.184189,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,710.526245,843.980469,198.274948,751.994080,949.035156,210.245941,738.163025,846.119690,197.759094,783.707336,1260.718506,320.449585,,,,,,,733.649963,1172.316406,164.865601,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,709.267944,846.806458,198.176468,750.702759,951.337463,210.809280,736.121948,848.924988,198.167694,784.658936,1262.350464,321.256592,,,,,,,733.667542,1175.206421,165.884705,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,707.201965,849.888306,198.473053,749.399597,954.046326,211.227066,734.190002,851.766174,198.043884,785.662659,1263.860840,322.252380,,,,,,,733.636292,1177.982910,166.894119,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,705.082397,852.875671,199.177948,747.786865,956.490784,211.960587,732.362305,854.440674,199.134109,786.522339,1265.605103,322.870178,,,,,,,733.457520,1180.707153,167.493210,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,703.081970,855.407898,199.692719,746.761414,959.211121,212.448029,730.369690,857.482605,199.338333,786.858521,1267.600464,323.801208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,701.438293,857.915588,199.646927,745.659851,961.909546,212.391220,728.533264,859.803467,199.363434,787.339478,1269.417603,324.822479,,,,,,,,,,733.385376,1185.903198,169.576721,,,,,,,,,,,,,,,,,,,,,,,,
79,700.061340,860.815125,199.605469,743.986145,964.036133,213.044540,727.074341,862.430176,199.644440,788.019043,1271.062134,325.529114,,,,,,,,,,733.769897,1188.606689,169.907013,,,,,,,,,,,,,,,,,,,,,,,,
