Präzision01162
Date:,2025/04/24
Time:,13:16:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
63,710.297485,878.729248,170.849548,730.137024,982.040527,171.974182,,,,681.350647,871.720825,167.231796,,,,,,,,,,,,,,,,,,,780.461121,1230.408813,189.702408,,,,805.832520,1220.997437,400.640320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,708.871460,879.950623,169.079102,729.245972,983.387085,171.412506,,,,680.695984,873.412781,165.076080,,,,,,,,,,,,,,,,,,,780.458130,1231.362671,190.074036,,,,806.119568,1221.821899,400.834717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,707.538086,881.658386,167.761246,728.509216,984.858215,170.592926,,,,679.083313,875.240051,164.237366,,,,,,,,,,,,,,,,,,,780.585754,1232.466064,190.310883,,,,806.648682,1222.646973,400.921326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,706.433411,882.974792,167.112076,727.491699,986.170593,169.479416,,,,677.439575,876.519470,163.302002,,,,,,,,,,,,,,,,,,,780.816345,1233.577148,190.523926,,,,807.256409,1223.311768,400.892242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,705.439026,884.145508,166.275864,726.618286,987.396851,168.992081,,,,676.673828,877.798889,161.844025,,,,,,,,,,,,,,,,,,,780.998901,1234.583740,190.710022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,704.446960,885.562866,164.841904,726.051392,988.732178,168.279205,,,,675.247009,879.317139,161.039902,,,,,,,,,,,,,,,,,,,781.249329,1235.578369,190.351242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,703.617249,886.796570,163.953903,725.142822,989.918030,167.329224,,,,674.652649,880.558105,159.842850,,,,,,,,,,,,,,,,,,,781.408081,1236.525024,190.252884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,702.642090,887.911011,162.619812,724.745239,990.943237,166.378662,,,,673.965942,881.762634,158.303070,,,,,,,,,,,,,,,,,,,781.474304,1237.479248,190.242844,,,,,,,808.208130,1226.079590,401.468811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,701.616577,888.876526,161.616226,724.671143,991.969910,165.876709,,,,672.835693,882.719116,157.891006,,,,,,,,,,,,,,,,,,,781.546814,1238.297363,190.151031,,,,,,,808.955994,1226.582397,401.491425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,700.895569,889.819519,161.048264,724.026306,992.981201,164.932449,,,,672.024902,883.786621,157.250854,,,,,,,,,,,,,,,,,,,781.627563,1239.040649,190.057373,,,,,,,809.400330,1227.198730,401.081024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,700.453491,891.048706,159.913422,723.245483,993.935486,164.019119,,,,671.395508,884.912964,156.249908,,,,,,,,,,,,,,,,,,,781.732361,1239.418457,189.961380,,,,,,,809.807678,1227.590088,400.948151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
