Präzision01162
Date:,2025/04/24
Time:,14:08:09
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
114,661.756042,987.746643,186.960739,639.248718,895.105225,121.266998,666.360291,901.500305,134.406158,,,,,,,,,,719.247131,1240.615479,292.991425,766.273254,1209.272095,488.188385,,,,,,,,,
115,662.084290,987.534119,186.363235,639.373901,894.936829,120.488724,666.245239,901.232727,133.946045,,,,,,,,,,719.460815,1240.320068,292.713165,766.465820,1209.225220,488.089813,,,,,,,,,
116,662.549377,987.264465,185.816589,639.076721,894.708008,120.655663,666.956604,901.243713,133.070953,,,,,,,,,,719.684204,1240.168335,292.557678,766.518005,1209.236084,487.986725,,,,,,,,,
117,662.811707,987.136719,185.566650,640.026855,894.441895,119.722321,667.473755,901.306946,132.344711,,,,,,,,,,719.868347,1239.857910,292.292206,,,,,,,,,,,,
118,662.978821,986.937439,185.305145,641.152466,894.369873,118.083038,667.800964,901.212280,131.372299,,,,,,,,,,720.088623,1239.575195,292.124756,,,,,,,,,,,,
119,663.326599,986.714417,184.748215,642.103333,894.456238,117.025826,668.102173,901.163208,130.623840,,,,,,,,,,720.305420,1239.427856,291.816742,,,,,,,,,,,,
120,664.161194,986.581238,183.989975,642.624084,894.342407,116.408264,668.446533,901.068665,129.763687,,,,,,,,,,720.650513,1239.119263,291.624023,,,,,,,,,,,,
121,664.976929,986.274414,183.232513,642.848938,894.114319,116.139664,669.201965,901.061035,128.716690,,,,,,,,,,720.810181,1238.900146,291.530853,,,,,,,,,,,,
122,665.471130,985.961304,182.753555,643.045471,893.906433,115.876572,670.060974,900.933411,127.953453,,,,,,,,,,721.000305,1238.623657,291.389038,,,,,,,,,,,,
123,665.974976,985.620422,182.277435,642.809570,893.657166,115.719063,670.584351,900.848083,127.295540,,,,,,,,,,721.216614,1238.333862,291.240875,,,,,,,,,,,,
124,666.313171,985.375183,181.939499,643.503418,893.477539,114.664284,671.129639,900.842224,126.681374,,,,,,,,,,721.310608,1238.129028,291.053741,,,,,,,,,,,,
125,666.651672,985.217529,181.247086,644.551636,893.536011,113.424583,671.943481,900.859375,125.850433,,,,,,,,,,721.527405,1238.007080,290.507233,,,,,,,,,,,,
126,667.210632,985.237061,180.455307,645.497986,893.669556,112.469139,672.538208,900.909180,125.012886,,,,,,,,,,721.895325,1237.855225,290.113647,,,,,,,,,,,,
127,667.708679,985.263184,180.056671,646.633728,894.183960,110.800232,672.853149,900.874207,124.583069,,,,,,,,,,722.029480,1237.694214,290.065308,,,,,,,,,,,,
128,668.451355,985.241882,179.849228,647.189819,894.030579,110.697952,673.120605,900.795837,124.449486,,,,,,,,,,722.001892,1237.513062,290.053833,,,,,,,,,,,,
129,668.510620,985.432678,179.464188,647.424561,893.881409,110.845863,673.473083,900.764709,124.170204,,,,,,,,,,722.135376,1237.446289,289.834229,,,,,,,,,,,,
130,668.989563,985.255859,179.306549,647.596619,893.791321,110.759056,674.146057,900.587524,123.633621,,,,,,,,,,722.278503,1237.401245,289.671814,,,,,,,,,,,,
131,669.438232,985.109375,178.874802,647.877563,893.793335,110.538208,674.772278,900.547058,123.029831,,,,,,,,,,722.363892,1237.316040,289.568573,,,,,,,,,,,,
132,669.995605,985.087280,178.364532,648.206421,893.817078,110.244797,675.625732,900.596741,122.537094,,,,,,,,,,722.551758,1237.261597,289.455048,,,,,,,,,,,,
133,670.484741,985.022461,177.975342,648.557556,893.705933,109.873299,676.259216,900.605103,122.134018,,,,,,,,,,722.653442,1237.176514,289.344177,,,,,,,,,,,,
134,670.955261,984.927917,177.645523,649.003723,893.525574,109.513901,676.515137,900.607483,121.831360,,,,,,,,,,722.784851,1237.046387,289.114624,,,,,,,,,,,,
135,671.375854,984.906189,177.432877,649.542847,893.391296,108.818153,676.920044,900.584351,121.507195,,,,,,,,,,722.927734,1237.051514,288.992493,,,,,,,,,,,,
136,671.783386,984.810608,177.075729,650.205322,893.474976,108.287025,677.234924,900.590332,121.103424,,,,,,,,,,723.015076,1236.926636,288.814575,,,,,,,,,,,,
