Präzision01160
Date:,2025/04/24
Time:,13:16:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,776.458191,864.668945,188.945206,790.443542,760.187317,195.516098,764.970886,745.233704,190.281616,770.106995,1123.041504,169.753479,,,,790.503052,1168.483154,377.770477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,775.020813,867.668213,190.547852,788.275085,762.943542,198.119476,763.795654,748.106812,191.947693,769.917114,1125.524048,169.953827,,,,790.617798,1169.726563,378.301880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,773.725525,870.560730,191.929367,786.122620,766.085022,200.190491,761.928894,751.261353,194.227158,769.049438,1128.238403,170.615982,,,,790.919006,1171.270752,378.572144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,771.919434,873.384583,193.883636,784.822693,769.152771,201.393539,760.032410,754.304321,196.354187,768.422546,1131.131104,171.541199,,,,791.115173,1172.605469,378.669922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,770.800720,876.573853,194.976364,783.020386,771.845947,203.875809,758.509888,757.420837,198.202774,767.981079,1134.094238,171.628403,,,,791.372253,1173.945557,379.270203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,769.397461,879.445129,196.296295,782.006226,774.642761,205.871429,756.523743,760.344055,199.784592,767.532776,1136.959839,172.053391,,,,791.140381,1175.366455,380.208252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,768.033630,882.395325,197.698410,780.351196,777.818054,207.891647,754.797729,763.158020,202.142303,767.502075,1139.781006,172.683853,,,,791.212830,1176.546509,380.912628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,766.532532,885.605164,199.438400,777.976868,780.756775,209.599274,753.316223,765.953247,203.312607,766.932861,1142.454224,173.417419,,,,791.621826,1177.863159,381.402954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,765.234009,888.516785,200.633347,776.657043,783.453552,210.712021,751.166870,769.288574,205.461990,766.101257,1145.427612,174.091690,,,,792.204163,1179.216187,381.766571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,763.151550,891.108887,201.987701,774.821045,786.467957,212.235001,749.643188,772.310486,206.243286,765.834839,1148.382080,174.717117,,,,792.477844,1180.824707,382.077484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,761.912781,894.069153,202.669052,773.103760,789.645020,212.559677,747.665283,775.325684,207.527283,765.453186,1151.300537,175.170090,,,,792.634033,1182.261841,382.411316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,760.287354,897.244690,203.819016,770.807190,792.443481,214.350616,745.793701,778.378540,208.747818,,,,,,,792.618591,1183.544067,383.123077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,758.703979,900.080261,204.743668,769.089600,795.253052,214.880920,743.897339,781.064819,209.714691,,,,,,,792.742859,1185.017090,384.014008,765.126404,1156.910400,176.139465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,757.217163,902.987488,206.190933,766.896545,798.336060,215.966202,742.115295,784.145874,210.711655,,,,,,,793.335754,1186.244629,384.361389,764.225403,1159.963257,177.377731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,755.498535,905.857178,207.204285,764.929504,800.849548,216.702652,739.814575,787.243042,211.430313,,,,,,,793.743225,1187.760620,384.724304,763.698364,1162.757568,178.074173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,753.817078,908.907532,207.663132,763.031311,803.596802,218.132690,738.252930,790.169495,211.923813,,,,,,,794.144958,1189.079956,385.558136,763.920410,1165.526001,178.447281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,751.868225,911.554443,208.543015,761.128784,806.998962,218.467102,735.597351,793.069763,213.316010,,,,,,,794.137146,1190.414307,386.668793,763.893127,1168.358276,179.115952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,750.367065,914.502136,209.447495,758.857666,809.753174,219.303070,733.167480,795.967041,214.143463,,,,,,,794.397644,1192.021362,387.111542,763.421387,1171.054321,179.695053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,748.832581,917.594849,210.123795,756.746826,812.253357,219.521042,731.071533,799.007385,214.728302,,,,,,,794.772217,1193.197754,387.356293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,747.117310,920.268433,210.520309,754.362549,815.136658,220.605576,728.597351,801.992493,215.406845,,,,,,,795.176208,1194.810547,388.114685,,,,762.592102,1176.721069,182.014648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,745.632385,923.326416,210.980530,752.432617,817.931946,221.224747,726.735352,804.911316,215.894348,,,,,,,795.416321,1195.975464,388.831482,,,,762.880005,1179.248413,182.330643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,743.668823,925.976807,211.857513,749.919373,820.742493,221.614334,724.146057,808.077026,216.131226,,,,,,,795.909119,1197.167480,389.454773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,741.862549,928.567078,212.398209,747.700806,823.755432,221.244415,721.898682,810.981689,216.535873,,,,,,,796.492432,1198.633545,389.998871,,,,,,,762.163025,1184.762329,183.928909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,740.701904,931.766968,212.392303,745.180237,826.393250,221.595825,719.567566,813.409363,216.480911,,,,,,,796.800903,1199.833008,390.323364,,,,,,,762.278259,1187.568970,184.357864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,738.732178,934.388855,212.830704,743.014343,829.140320,221.831757,717.261963,816.412903,216.892166,,,,,,,796.958008,1201.005005,390.829529,,,,,,,762.563782,1190.112427,185.084808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,737.066162,936.970886,212.630173,741.240784,832.040771,222.074799,714.887451,819.481079,216.673386,,,,,,,797.325623,1202.253906,391.549408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,735.875977,939.899353,212.784378,738.618530,834.214355,222.155029,713.089355,822.161255,216.084885,,,,,,,797.884827,1203.325073,392.060120,,,,,,,,,,761.687683,1195.389282,187.118408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
