Präzision01161
Date:,2025/04/23
Time:,13:01:43
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
68,813.347900,797.723694,115.134209,,,,,,,,,,766.027832,698.319702,88.367294,,,,793.780334,706.129395,98.007324,854.047546,1026.610352,233.014328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,813.570496,798.652039,117.245964,,,,,,,,,,766.455383,699.265442,90.880684,,,,794.624268,706.961426,100.474144,853.450134,1029.304688,233.182526,870.989380,1055.923340,321.497070,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,813.647522,799.968384,119.325027,,,,,,,,,,766.779419,700.463013,93.320885,,,,794.446594,708.209351,102.386635,853.118774,1031.473145,233.099533,871.019165,1057.787964,321.383301,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,813.866272,801.622620,120.750862,,,,,,,,,,767.162781,701.382263,96.095955,,,,795.377563,709.482544,105.305580,853.349365,1033.952026,232.689316,871.165771,1060.001953,321.257324,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,814.358032,803.112061,123.355118,,,,,,,,,,767.631165,702.792114,98.712708,,,,795.836365,710.815430,107.744720,853.480408,1036.950073,232.475342,871.364502,1062.023315,321.324249,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,814.508972,804.482849,125.515083,,,,,,,,,,768.148010,704.328735,101.065704,,,,796.423889,712.060913,111.018791,853.303955,1039.363281,232.536697,871.651855,1064.150879,321.485992,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,815.191223,806.261108,127.666321,,,,,,,,,,768.713501,705.690552,103.686554,,,,796.467712,714.040466,113.647102,852.983459,1041.894409,232.823318,871.679993,1066.228394,321.815735,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,815.399719,808.024841,129.926315,,,,,,,,,,768.890747,707.355347,106.237549,,,,797.829895,715.008179,116.302498,853.192078,1044.884277,233.029343,871.414856,1068.280884,322.466400,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,815.577454,809.604980,132.329269,,,,,,,,,,769.151306,708.910339,108.980370,,,,797.500244,717.227783,118.929146,852.852600,1047.899780,233.087769,871.326294,1070.618530,322.380493,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,815.861755,811.594360,134.887741,,,,,,,,,,769.292786,710.788635,112.103271,,,,797.527405,718.560791,121.203712,852.804749,1050.416382,232.867981,871.970642,1072.754517,322.059265,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,815.941284,813.738281,136.683670,,,,,,,,,,769.749390,712.548767,114.820984,,,,797.520508,720.776611,124.014519,852.764282,1053.225098,232.690414,872.300293,1074.936279,322.181427,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,816.294312,815.763062,139.088013,,,,,,,,,,770.272156,714.599365,117.210632,,,,798.717224,722.166687,127.020363,853.323608,1056.420654,232.705002,872.110229,1077.112183,322.698761,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,816.320984,817.940063,141.277863,,,,,,,,,,770.168945,716.598755,119.634613,,,,798.453735,724.661194,129.702789,853.232361,1059.315063,233.217422,872.098572,1079.243896,323.365753,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,815.936768,820.304565,143.383469,,,,,,,,,,769.864075,718.598999,123.189819,,,,798.768677,726.618347,131.918106,853.231323,1062.225586,233.257172,872.048279,1081.671631,324.283783,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,816.509277,822.559082,145.944229,,,,,,,,,,769.246399,721.088684,126.033836,,,,798.187134,729.014465,135.333817,853.168945,1065.310059,233.254883,872.137512,1083.602173,324.283813,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,816.605042,825.161743,147.928680,,,,,,,,,,769.364075,723.306702,128.513962,,,,797.713440,731.318542,137.097610,853.382568,1068.316895,233.471024,872.776917,1085.904175,324.235077,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,816.557556,827.617249,150.456390,,,,,,,,,,769.184509,725.423645,131.504272,,,,797.780945,733.981506,139.685333,853.758972,1071.330078,233.936874,873.215637,1088.589111,323.773621,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,816.437744,830.201660,152.399216,,,,,,,,,,768.810303,728.459595,133.947540,,,,797.616150,736.631958,142.593231,854.021240,1074.814941,234.085541,873.604797,1090.684570,323.892639,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,815.772766,832.850403,154.281876,,,,,,,,,,768.634583,731.175354,136.649460,,,,796.816589,738.686768,145.829529,854.055481,1077.792358,234.374649,873.263794,1092.941162,324.877350,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,815.526611,835.869629,156.027481,,,,,,,,,,768.599609,733.526794,138.580948,,,,797.233887,741.703796,147.815567,854.734314,1080.938599,234.149445,873.464966,1095.140137,325.584412,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,815.849060,838.590393,158.158371,,,,,,,,,,767.825562,736.463257,141.361710,,,,796.304077,745.002869,150.819382,855.248169,1083.884644,234.486404,874.111816,1097.341431,325.545197,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,815.845581,841.391113,160.088181,,,,,,,,,,767.397827,739.451172,144.310623,,,,795.615540,747.521057,153.085953,855.753845,1086.949707,235.111816,874.289124,1099.737915,325.628906,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,815.142578,844.554504,161.996231,,,,,,,,,,767.008850,742.345703,146.686630,,,,795.226929,749.998840,155.602112,855.956360,1090.442627,235.722916,874.739441,1101.731323,326.012085,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,814.593689,847.192505,164.100113,,,,,,,,,,765.626099,744.935547,149.569962,,,,794.721436,753.094543,157.774033,856.305786,1093.632080,236.090179,875.118530,1104.396240,326.211823,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,814.249023,849.986206,166.022339,,,,,,,,,,764.715271,747.742310,151.892532,,,,793.855408,756.409729,159.893768,856.914673,1096.875610,236.020874,875.341125,1106.872803,326.414825,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,813.873230,853.117249,167.687286,,,,,,,,,,763.955566,751.002380,153.659637,,,,792.577881,759.318359,161.533691,857.277588,1100.226074,236.565323,875.536438,1109.436890,326.798553,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,813.257019,856.614929,169.308975,,,,,,,,,,763.573303,754.363464,154.948868,,,,791.085938,762.793274,163.167679,857.827698,1103.330566,236.814484,876.417053,1111.766724,327.005920,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,812.619995,859.749023,170.676208,,,,,,,,,,762.517822,757.742798,157.203857,,,,790.035217,766.247253,165.321793,858.346741,1106.207520,236.976730,877.048889,1113.681030,327.661591,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,812.330444,862.635559,172.457520,,,,,,,,,,761.835510,760.948792,158.671799,,,,789.622986,769.374817,167.087509,858.574890,1109.408813,237.301804,877.558655,1115.961182,328.149292,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,811.605103,865.813110,173.830933,,,,,,,,,,760.754578,764.521301,160.599594,,,,788.415588,772.641846,169.553223,859.521973,1112.819336,237.555054,877.953735,1118.740234,328.152679,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,810.715088,869.228699,175.387115,,,,,,,,,,759.360901,768.011597,162.559341,,,,787.520264,775.663696,171.066467,860.229858,1116.122437,238.223495,878.151550,1121.025757,328.517029,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,809.458191,872.763672,176.436798,,,,,,,,,,758.451477,771.574463,164.028595,,,,786.000122,778.942505,173.044830,860.963562,1119.356445,238.761017,878.886414,1123.341919,328.857483,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,808.500610,876.265442,177.683182,,,,,,,,,,756.965332,775.178955,165.749847,,,,785.041687,782.478210,174.121140,861.831543,1122.289429,239.599258,879.939941,1125.348633,329.066223,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,807.729553,879.459656,178.943176,,,,,,,,,,755.642212,778.539063,167.293610,,,,783.544617,786.056641,175.727737,862.762024,1125.331177,239.592163,880.414551,1127.775879,329.270233,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,806.561584,882.969482,180.053940,,,,,,,,,,753.977844,782.140625,169.135788,,,,782.751770,789.702332,177.164459,863.182373,1128.609131,239.936493,881.211914,1130.433594,329.439789,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,805.648315,886.272217,181.186554,,,,,,,,,,752.631653,785.760315,170.468582,,,,781.201599,793.264099,179.590378,863.944946,1131.828857,240.204147,881.640076,1132.535645,329.937561,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,804.846497,889.680664,181.967773,,,,,,,,,,751.240845,789.568848,171.976227,,,,780.254822,796.649658,180.602249,864.932129,1134.704590,240.849945,882.421082,1134.686768,330.776245,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,803.497498,893.515320,182.974152,,,,,,,,,,749.510559,793.291687,173.473602,,,,778.423401,800.163025,182.175766,865.745422,1137.712769,241.559189,882.979492,1137.037964,331.080444,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,802.438477,897.183472,183.702209,,,,,,,,,,747.935181,796.892029,175.019608,,,,776.998779,803.631470,182.764511,866.174316,1140.722656,242.246002,883.508545,1139.009277,331.411621,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,801.217773,900.518311,184.168167,,,,,,,,,,746.528076,800.675537,175.954071,,,,774.633362,807.711243,183.810013,867.106140,1143.579224,242.532318,884.606079,1141.296631,332.004883,,,,,,,,,,,,,,,,,,,,,,,,,,,
