Weight37
Date:,2025/04/22
Time:,16:54:39
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
119,710.075745,740.722717,172.753098,,,,957.233521,863.741394,469.384094,677.173889,647.932678,139.412445,,,,598.788818,689.444336,143.405685,,,,,,
120,706.321411,740.844421,172.678726,,,,955.375549,862.857666,469.284546,672.815796,647.944885,139.695053,,,,594.820313,690.008057,142.906403,,,,,,
121,702.102600,740.857117,172.825409,,,,952.609741,862.216125,469.027832,668.731628,648.606140,139.280487,,,,591.012756,690.513123,142.274017,,,,,,
122,697.971130,740.878174,172.784042,,,,950.458984,861.127136,468.663483,664.115234,648.183838,139.055954,,,,586.831665,690.853271,143.070374,,,,,,
123,694.688660,740.976868,172.837463,,,,948.337036,860.113403,468.467987,659.476929,647.835693,139.670563,,,,582.759583,691.301819,143.510345,,,,,,
124,691.420227,740.907471,172.593567,,,,946.315796,859.144897,467.997528,655.407898,647.204651,139.727631,,,,578.893127,691.921082,142.918869,,,,,,
125,687.467590,740.951172,172.548309,,,,944.435364,858.125427,467.693939,651.353149,647.229614,140.130173,,,,575.025146,692.446594,142.533096,,,,,,
126,683.265686,740.992737,172.673355,,,,942.306335,856.824097,467.534149,647.025879,647.542725,140.277466,,,,570.870728,692.830750,143.223541,,,,,,
127,679.352600,741.196594,172.311783,,,,940.142639,855.955322,467.284454,643.227051,648.328186,139.201279,,,,566.909119,693.357422,143.413849,,,,,,
128,675.998779,741.281067,171.939957,,,,937.735596,855.004883,466.976135,639.098450,648.742920,139.163483,,,,563.081970,694.144226,142.524948,,,,,,
129,672.510010,741.488831,171.994064,,,,935.824768,853.939392,466.693542,634.720520,648.911621,139.333481,,,,559.165405,694.975952,142.172913,,,,,,
130,668.511597,741.548279,172.057343,,,,933.328064,852.687134,466.669891,630.309570,649.143188,139.616928,,,,554.920776,695.419739,142.825851,,,,,,
131,664.646912,741.541443,172.081528,,,,931.119080,851.876831,466.282959,626.147156,649.389404,139.878738,,,,550.824036,695.983582,143.215454,,,,,,
132,661.277832,741.984131,171.493515,,,,928.836731,850.635437,466.158691,622.211304,649.776550,139.537216,,,,546.935669,696.736938,142.504593,,,,,,
133,657.076355,742.211487,171.729996,,,,927.177307,849.443359,465.553375,618.045898,650.143311,139.361832,,,,543.304382,697.460754,142.316315,,,,,,
134,653.718018,742.024292,171.757690,,,,925.436401,848.413757,465.016205,614.114075,650.703430,139.355637,,,,539.779541,698.049438,142.381973,,,,,,
135,650.388916,742.141235,171.248535,,,,922.978088,847.505798,464.483856,610.438171,651.195068,139.137939,,,,535.982178,698.827087,141.770844,,,,,,
136,646.617676,742.715637,170.783401,,,,920.186279,846.561279,464.562012,606.395569,651.530579,138.959747,,,,532.294617,699.849976,141.274170,,,,,,
137,643.033325,742.756226,170.629944,,,,918.561096,845.334534,464.039246,602.919067,652.282104,137.837524,,,,528.457947,700.723450,141.894562,,,,,,
138,639.778442,743.067017,170.235321,,,,916.763489,844.158752,463.543915,598.742981,652.759888,137.577744,,,,524.485413,701.375977,141.860748,,,,,,
139,636.816650,743.193115,169.661514,,,,914.251892,843.038879,463.491608,594.360291,653.247009,137.517410,,,,520.798340,702.249634,141.178528,,,,,,
140,633.645569,743.529358,169.172714,,,,912.185059,841.903381,463.172302,590.628601,653.545166,137.522552,,,,517.687744,702.903931,140.581055,,,,,,
141,630.030457,744.001282,169.017380,,,,910.694702,840.424377,462.717438,586.926208,653.824829,137.188629,,,,514.349670,703.815125,139.761978,,,,,,
142,626.757568,743.774719,168.818344,,,,908.785950,839.468140,461.997803,583.255310,654.277222,136.740433,,,,510.871613,704.840759,139.587753,,,,,,
143,623.616943,744.258972,168.358429,,,,906.230530,838.520508,462.142395,579.704407,654.922119,136.497116,,,,507.372559,705.697327,139.657867,,,,,,
144,620.966553,744.356995,167.647858,,,,904.060181,837.553040,461.804260,575.947998,655.592468,136.168060,,,,503.884308,706.550720,139.024994,,,,,,
145,617.485352,744.726685,167.335785,,,,901.707886,836.461487,461.556244,572.688354,656.264221,136.060181,,,,501.073944,707.369629,138.123581,,,,,,
146,614.491028,744.812927,167.034973,,,,900.589844,835.148438,460.881561,569.137146,657.026001,135.253403,,,,497.865875,708.150635,137.596176,,,,,,
147,611.460693,745.299622,166.235565,,,,898.418762,834.374756,460.198608,565.970215,657.281128,134.716782,,,,494.546173,709.070618,137.447037,,,,,,
148,609.079712,745.405884,165.776291,,,,896.682434,833.501892,459.796539,562.540649,657.951843,134.003006,,,,491.414520,710.166565,136.844315,,,,,,
149,606.090637,745.537476,165.531891,,,,894.700500,832.285339,459.542908,559.299194,658.479248,133.774521,,,,488.695862,710.843750,135.991013,,,,,,
150,603.087708,745.848389,164.777969,,,,893.381287,831.201233,458.923126,556.024109,659.185852,132.896667,,,,485.822754,711.648193,135.153244,,,,,,
151,600.575073,746.299744,164.047775,,,,891.677551,830.027771,458.461090,553.379211,659.563904,132.470093,,,,482.979828,712.452515,134.531952,,,,,,
152,598.122620,746.271179,163.757004,,,,889.843750,829.272827,458.100891,550.273743,660.172363,131.883057,,,,480.165497,713.030029,134.114853,,,,,,
153,595.345154,746.642334,163.338562,,,,887.800476,828.590515,458.146942,547.512451,660.388550,131.521454,,,,477.353363,713.906067,133.671082,,,,,,
154,592.770996,746.771606,162.512619,,,,885.577576,827.485474,457.573334,544.563110,661.069885,130.635803,,,,475.052887,714.661743,132.606079,,,,,,
155,590.432007,747.177979,161.846115,,,,884.677734,826.416260,456.871826,541.963989,661.248962,130.141495,,,,472.793182,715.323914,131.805649,,,,,,
156,588.284241,747.529968,161.351685,,,,882.879456,825.440002,456.865112,539.964844,661.565491,129.240540,,,,470.239868,716.014709,130.485764,,,,,,
157,585.954163,747.384216,161.137955,,,,880.958923,824.940552,456.483276,536.981628,662.138977,128.341949,,,,467.974548,716.549683,129.981995,,,,,,
158,583.800964,747.772888,160.147736,,,,879.107544,824.060303,456.332275,535.037048,662.452087,127.749359,,,,465.653809,717.044128,129.595825,,,,,,
159,581.720337,748.035706,159.366028,,,,877.737305,823.076294,455.461456,533.104553,663.006165,126.460640,,,,463.579315,717.497742,128.282700,,,,,,
160,579.626282,748.101868,159.090775,,,,876.886353,822.131104,454.994629,530.248596,663.187256,126.111198,,,,461.749481,717.948242,127.458664,,,,,,
161,577.852417,748.242065,158.678741,,,,875.303894,821.153992,454.891144,528.310730,663.471802,125.651260,,,,459.682465,718.543823,127.014954,,,,,,
162,576.113403,748.405090,158.101578,,,,873.642761,820.426331,454.635284,526.188599,663.907288,124.810226,,,,457.575592,719.013062,126.612572,,,,,,
163,573.935059,748.460754,156.739410,,,,872.057922,819.781494,454.357880,523.896057,664.182312,124.430199,,,,455.972626,719.509460,125.333023,,,,,,
164,572.459290,748.661072,156.320328,,,,870.667053,818.920471,453.940857,522.333008,664.134949,123.658661,,,,454.317780,719.876709,124.272995,,,,,,
165,570.840332,748.750427,156.007980,,,,869.624878,818.247925,454.001984,520.532593,664.597412,122.332993,,,,452.557129,720.196838,123.893517,,,,,,
166,569.534302,748.624146,155.177261,,,,868.324341,817.175293,453.515778,518.963257,665.154541,121.517830,,,,451.091614,720.718811,123.048882,,,,,,
167,567.879089,748.818359,154.338684,,,,866.883850,816.460083,453.239441,517.196899,665.035583,120.787193,,,,449.494904,720.947937,122.164215,,,,,,
168,566.275879,748.916870,153.701767,,,,866.025146,815.778625,453.024109,515.964417,665.134583,119.863396,,,,447.451630,721.292664,121.608437,,,,,,
169,564.686340,749.092957,152.995132,,,,864.253418,815.430725,452.906403,514.322021,665.716187,118.411324,,,,446.349548,721.398682,120.680771,,,,,,
170,563.544678,749.069336,152.710907,,,,862.607910,814.652710,452.508728,513.443176,665.555908,117.957703,,,,445.493591,721.609985,119.237206,,,,,,
171,562.266235,748.985535,152.414276,,,,861.946716,814.041016,452.111938,511.537872,665.990295,117.077400,,,,444.310150,721.797546,118.167534,,,,,,
172,560.657104,749.159607,151.410858,,,,860.893311,813.514587,451.601318,510.289124,665.683472,116.599167,,,,442.517334,722.109985,117.242905,,,,,,
173,559.296448,749.303040,150.720139,,,,859.494812,812.912354,451.450623,508.855316,665.598816,115.790764,,,,441.490662,722.209106,116.584000,,,,,,
174,558.331909,749.396423,150.095276,,,,858.413940,812.326233,451.191559,508.204407,665.808899,114.518570,,,,440.622620,722.357300,115.638283,,,,,,
175,557.699768,749.099426,149.556610,,,,858.053589,811.496704,450.840698,507.364563,666.042603,113.580566,,,,439.542480,722.389587,114.924316,,,,,,
176,556.679138,748.960938,148.641724,,,,857.266235,810.782471,450.435486,506.115936,666.454956,111.766701,,,,438.318909,722.490234,114.041367,,,,,,
