Weight61
Date:,2025/04/24
Time:,14:49:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
83,,,,747.182495,676.282593,163.867615,,,,655.918762,626.867981,159.347275,,,,,,,,,,988.827209,707.250183,454.593445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939.830017,732.093933,287.860352,,,,,,,,,,,,
84,,,,742.728638,676.521912,163.933456,,,,651.156799,627.453308,159.560928,,,,,,,,,,986.581238,707.353577,454.212891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.101624,731.849060,287.671722,,,,,,,,,,,,
85,,,,738.167358,676.777588,163.845596,,,,646.585999,627.968445,159.496674,,,,,,,,,,984.134033,707.243286,454.392456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.389709,732.016846,287.536530,,,,,,,,,,,,
86,,,,733.041321,677.398804,163.849228,,,,641.997314,628.551453,159.443848,,,,,,,,,,981.528259,707.468506,453.857758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.373047,732.117432,287.387390,,,,,,,,,,,,
87,,,,728.317932,677.792603,163.834366,,,,637.132446,628.935547,159.122238,,,,,,,,,,979.515076,707.337402,453.838257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.939148,732.327393,287.338196,,,,,,,,,,,,
88,,,,723.925903,678.305664,163.611633,,,,632.200134,629.253723,158.911087,,,,,,,,,,976.509949,707.492493,453.513458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919.307434,732.436340,287.293762,,,,,,,,,,,,
89,,,,719.277405,678.806519,163.625626,,,,627.590210,629.912170,158.753845,,,,,,,,,,974.574463,707.353271,453.278656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915.499756,731.886414,286.813904,,,,,,,,,,,,
90,,,,714.594971,678.845093,163.465302,,,,623.057983,630.577881,158.443375,,,,,,,,,,971.521851,707.451843,453.094635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.214050,731.847534,286.829407,,,,,,,,,,,,
91,,,,709.990845,679.321472,163.405273,,,,618.563599,631.337830,158.255936,,,,,,,,,,969.028320,707.432190,452.838287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906.857727,732.060974,287.077820,,,,,,,,,,,,
92,,,,705.583679,679.921448,163.105499,,,,613.802185,631.899902,157.849258,,,,,,,,,,966.323669,707.241821,452.331390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.275452,731.755981,287.330566,,,,,,,,,,,,
93,,,,701.167603,680.313599,162.616852,,,,609.173096,632.426086,157.550034,,,,,,,,,,964.166687,707.019531,452.388275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.437012,731.088928,286.859100,,,,,,,,,,,,
94,,,,696.207458,680.689148,162.088165,,,,604.809326,633.157104,157.183945,,,,,,,,,,961.692444,706.891418,451.939331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.354065,731.087036,286.589752,,,,,,,,,,,,
95,,,,691.695496,680.983215,161.852524,,,,600.413025,633.822327,156.742447,,,,,,,,,,959.091980,706.693420,451.990234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889.945862,731.041809,286.991364,,,,,,,,,,,,
96,,,,687.828064,681.028503,161.563797,,,,595.749329,634.237366,156.181305,,,,,,,,,,956.638123,706.498840,451.526062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885.505615,730.789307,287.462067,,,,,,,,,,,,
97,,,,683.214233,681.669922,161.077240,,,,590.853943,634.754822,155.966827,,,,,,,,,,953.839233,706.424316,451.250519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881.806519,730.284668,287.359467,,,,,,,,,,,,
98,,,,678.676575,681.853577,160.523804,,,,586.494995,635.405762,155.619324,,,,,,,,,,951.513123,706.146790,450.955872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.639404,730.123901,286.775543,,,,,,,,,,,,
