Weight42
Date:,2025/04/22
Time:,17:18:49
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
68,818.874878,745.021606,152.023926,1022.009277,897.746582,473.691284,936.363770,917.213074,295.869232,815.177979,648.614624,116.963432,728.870361,669.102539,118.056816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,816.539551,745.106079,153.318939,1021.212341,897.385925,474.056488,934.650574,917.459106,296.520813,812.723511,648.725403,117.572693,726.248718,669.430725,118.956902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,814.433350,745.244202,153.828384,1020.062317,896.979675,474.035309,933.098083,917.621216,297.190125,810.181030,649.281677,118.604713,724.061523,669.733948,120.069305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,812.127014,745.225647,154.600433,1019.324097,896.438049,474.041260,932.287598,917.314575,297.232391,807.499939,649.420166,119.742798,721.562378,669.844971,121.263092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,810.053833,745.274109,155.256561,1018.684692,896.145081,473.956512,931.459290,917.083679,297.261139,805.045349,649.710083,120.358292,719.055298,670.390015,121.677597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,807.870361,745.514465,156.007858,1017.682007,895.875977,473.952026,930.002991,917.173462,297.847351,802.471008,649.593933,120.834038,716.443787,670.646851,122.672211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,805.013733,745.394287,156.882828,1016.602112,895.523010,474.266357,928.273315,917.092285,298.066284,799.801697,649.684082,122.067375,714.014099,671.031921,123.436111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,802.931274,745.497253,157.705612,1015.209839,895.279541,474.432922,926.562378,916.786377,298.272064,796.912781,649.020386,122.629539,710.942078,671.497681,124.394600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,800.383240,745.596313,158.248444,1014.478577,894.993896,474.263092,925.186523,916.751465,298.234192,794.192261,648.995911,123.312950,708.285339,672.043640,125.202263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,797.926575,745.535522,158.508896,1013.850037,894.679626,474.029572,923.621948,916.452576,299.245331,790.962341,648.864014,123.642990,705.417358,672.447083,125.729286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,795.604126,745.552551,159.005981,1013.026428,894.093933,474.057892,921.807800,915.871399,299.342621,787.865112,649.025024,124.079056,702.552002,672.987183,126.458290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,792.857666,745.688843,159.755585,1011.169617,893.749023,473.953552,920.593506,915.618347,299.021484,784.577393,649.682861,125.134949,699.285645,673.553528,127.382401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,790.267273,745.596619,160.380783,1009.617493,893.336548,474.224274,918.403320,915.289490,299.823639,781.380249,649.841553,125.735321,696.418579,673.902832,128.136520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,787.314514,745.673706,160.856277,1008.969788,892.764832,474.108002,916.504822,914.605408,300.122925,778.338257,649.806335,125.914040,692.969238,674.564453,129.140350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,784.739136,745.654175,161.304291,1007.983154,892.259521,473.740723,914.951111,914.040894,300.155487,774.864502,649.585999,126.205765,689.800232,674.866272,129.877411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,781.744141,745.776123,161.715134,1006.930969,891.626892,473.697205,912.793274,913.462830,300.258789,771.256348,649.762329,126.503914,686.529480,675.255493,130.461334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,779.220764,745.839294,161.999313,1005.791504,891.042542,473.737610,911.122253,912.978394,300.792664,768.083923,649.819641,126.906075,683.217896,675.795227,131.168747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,776.082153,745.940735,162.482178,1004.090942,890.273132,474.049744,908.949402,912.454468,301.009705,764.480347,649.695801,127.525703,679.864136,676.422974,131.866257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,773.231506,745.945862,163.194382,1002.748718,889.869446,473.694275,907.161377,912.033875,300.704926,760.805115,649.904175,127.707573,676.259583,677.097351,132.146973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,769.979431,745.907471,163.378952,1001.789612,889.446655,473.211456,905.329224,911.085999,301.069611,757.168030,650.230042,127.763290,672.288696,677.478027,133.893478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,767.227173,745.849915,163.733002,1000.130920,888.703369,473.086884,903.020386,910.587891,301.247925,753.258057,650.179260,127.685356,668.937073,678.338806,134.141418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,763.865601,745.839417,163.793945,998.705078,887.892761,472.982544,900.582825,909.742737,301.613434,749.697449,650.393311,127.665977,665.848145,679.236328,133.801682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,760.896912,745.785950,164.095734,997.845642,887.047546,473.226318,898.825623,909.040588,301.823578,745.777283,650.718567,127.918961,661.888245,679.800720,134.333679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,757.793945,745.904053,164.218292,996.117249,886.766724,472.450500,896.668884,908.330322,301.834381,741.566711,650.985107,128.523407,658.151184,680.581604,134.592331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,754.817017,746.031372,163.469086,994.568970,886.135437,472.154968,894.407959,907.817200,301.977509,737.715271,651.265503,128.763443,654.865845,681.114380,134.945786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,751.245422,745.818420,164.058487,993.441528,885.262939,472.110901,892.065918,906.749634,302.401428,734.114563,651.368774,128.833527,650.684814,681.389954,135.956512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,748.133728,746.100342,164.469223,991.926514,884.306824,472.085815,890.018250,905.970764,302.228210,730.136658,651.048340,129.135773,646.952332,682.446045,135.722748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,744.467651,745.965027,164.813812,990.436584,883.722046,471.745483,887.670654,905.153687,302.648590,726.075867,651.017334,129.514816,643.382507,683.560242,135.724594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,741.400757,745.869446,165.230453,989.460205,883.091064,471.653320,885.476440,904.326904,302.848297,722.030457,651.283630,129.067871,639.324768,684.280823,136.333817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,738.079041,745.859314,165.115128,987.617737,882.225830,471.341156,883.156067,903.463013,302.722412,717.790771,651.878601,128.695862,635.626160,685.141418,136.939209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,734.708069,745.920105,164.420242,985.899109,881.493164,471.037598,880.933105,902.320251,302.950806,713.398865,652.710205,128.985809,631.558533,686.014954,136.910431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,731.550049,745.936768,164.836548,984.479492,880.891907,471.020386,878.877869,901.509766,302.723358,709.327271,653.035706,128.792053,627.572083,686.954102,136.915390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,728.054260,746.040100,164.676971,983.032104,880.047546,471.086273,876.507202,900.666931,303.094513,705.394653,653.332825,128.727325,623.690491,687.519287,137.382507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
