Weight63
Date:,2025/04/23
Time:,12:59:51
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
69,762.515808,681.367493,112.009132,875.325867,698.910278,103.230118,823.150269,618.634216,115.881065,1079.333252,814.393005,214.056427,1092.372192,794.672729,304.614929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,761.535522,681.372620,111.736176,875.020630,699.156006,104.173355,822.526794,618.602661,117.634392,1079.536377,814.756958,214.140991,1092.252197,794.913391,304.644592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,760.945129,681.365112,111.751564,874.589539,699.570618,105.204941,821.575012,619.286743,118.786346,1079.714355,815.062378,214.244080,1092.168457,795.123047,304.577911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,760.516479,681.255310,111.094368,873.973694,700.234924,106.588943,820.884277,620.007080,119.592476,1079.857056,815.456055,214.311630,1091.899780,795.294861,304.402588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,759.917480,681.476135,109.542679,873.615662,700.951660,108.030106,819.968018,621.042175,121.969658,1080.063477,815.903564,214.527466,1091.683716,795.430542,304.352875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,759.432556,681.725647,108.700470,873.356018,701.470825,108.616951,819.530334,621.485352,123.726418,1080.169434,816.395081,214.833252,1091.320068,795.647156,304.598358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,758.912903,681.959045,108.438828,873.084595,701.840149,109.107925,819.055908,622.490967,125.510872,1080.212891,817.080627,215.071503,1091.225220,795.779785,304.647461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,758.150085,682.149170,107.898537,872.598572,702.476440,109.708344,818.135132,623.576538,127.699783,1080.344360,817.653687,215.298996,1091.239868,796.035889,304.659882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,757.393982,682.440063,107.545235,871.991699,703.082458,111.103745,817.172180,624.684143,129.961792,1080.469971,818.230042,215.617783,1091.099121,796.270508,304.794739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,756.738342,682.992920,107.835007,871.433777,703.821045,112.706833,816.768677,625.984680,132.239868,1080.447388,818.489746,215.900208,1090.999268,796.520691,305.046631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,756.294189,683.679321,108.417694,870.909058,704.604187,113.845222,815.796143,627.248535,134.706482,1080.642212,818.669312,216.404236,1090.904419,796.796997,305.171387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,755.550232,684.414063,109.215225,870.507568,705.117676,114.741081,814.611084,628.484131,137.487885,1080.641724,819.005127,216.722687,1090.824097,797.068848,305.397156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,754.665405,685.079224,110.125885,869.923767,705.862549,116.174919,813.705750,629.670776,139.495178,1080.643555,819.400208,216.934418,1090.636597,797.289307,305.569824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,754.021057,685.706299,110.854111,869.508118,706.510559,117.006317,812.782227,631.033386,141.950089,1080.538208,819.860046,217.259537,1090.319580,797.599854,305.840698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,753.735596,686.287048,111.940514,,,,811.963501,632.299500,144.432022,1080.348511,820.312256,217.543335,1089.931152,797.838562,306.116913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,753.225159,686.770447,112.996391,,,,811.129883,633.530273,147.215134,1080.182617,820.801697,217.876328,1089.510132,798.083923,306.454895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
