Weight63
Date:,2025/04/28
Time:,14:04:02
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
104,747.969788,687.630798,212.019318,1030.253906,773.939148,428.565735,946.554260,850.645752,270.035736,,,,,,,621.155884,654.827087,197.273300,675.925293,626.871216,164.172653
105,741.589478,688.252441,211.550186,1028.368652,773.364197,428.002716,941.324524,849.936096,270.132874,,,,,,,614.962463,655.426697,197.529938,668.932495,627.412476,164.560318
106,735.430664,688.606018,210.952820,1025.853149,773.275024,427.843201,936.284851,849.294312,270.546448,,,,,,,608.786682,656.189209,197.399475,662.057312,627.898865,165.391846
107,729.072998,688.762451,211.532486,1023.365601,772.939453,427.550354,931.066406,848.140686,271.193634,,,,,,,602.523193,656.936035,197.610291,655.354309,628.565369,165.545013
108,722.624268,689.313782,211.141907,1021.326172,772.351807,427.331970,926.094421,847.025391,271.794342,,,,,,,595.728943,657.533264,198.262024,648.849121,629.216125,165.245117
109,716.344299,689.569214,210.767776,1018.715515,772.138855,427.039703,920.758362,846.350281,272.140564,,,,,,,588.991455,658.552368,198.922623,641.995361,630.045227,164.955521
110,709.931091,689.993774,210.277435,1016.872986,771.515381,426.716003,915.582703,845.109436,272.431793,,,,,,,582.645874,659.498596,198.705353,635.320435,630.543457,164.977936
111,704.401306,691.295593,210.517258,1013.970642,771.272156,425.994293,910.627930,843.990540,272.990295,,,,,,,576.198486,660.174194,198.578812,628.329956,631.001587,164.570236
112,697.451782,690.179688,209.892288,1011.343567,771.080994,425.735138,905.506653,843.066956,273.647430,,,,,,,569.541077,660.884338,198.391022,622.023132,631.504333,164.209061
113,691.044189,690.249146,209.257370,1008.820129,770.563904,424.990875,900.297241,841.693176,273.766876,,,,,,,563.575500,661.474548,197.949951,615.589844,632.236816,163.487823
114,684.785339,690.262878,208.885406,1006.213745,770.127991,424.570465,895.389832,840.474060,274.446259,,,,,,,557.606812,662.087708,196.736435,609.201965,632.682495,162.721008
115,678.967590,690.332031,208.049713,1003.387939,769.512939,424.093719,890.358398,839.070435,275.096588,,,,,,,551.405151,662.571899,196.646667,602.708923,633.249207,161.859436
116,673.016174,690.307495,207.796982,1000.775513,769.259216,423.674469,885.132507,837.836914,275.572510,,,,,,,545.062805,662.983337,195.810135,596.540955,633.805176,161.090515
117,666.874756,690.242249,207.345886,998.088989,768.740479,423.235718,880.032104,836.271362,275.994080,,,,,,,539.126892,663.231201,195.270523,590.543823,634.343750,160.214035
118,661.095581,690.478638,206.410278,995.428223,768.445618,422.801239,875.178711,835.077271,276.556335,,,,,,,532.619080,663.652466,195.445435,584.718567,634.865662,159.072998
119,655.325684,690.435303,205.216782,993.013000,767.687073,422.427429,870.834229,833.341736,277.183746,,,,,,,527.487000,664.196777,193.618439,578.423584,635.632996,158.114517
120,649.812561,690.585022,203.961273,990.223694,766.989624,422.284637,866.349243,831.999390,277.840637,,,,,,,521.689209,664.813965,192.373962,572.547668,636.724487,156.690445
121,644.227844,690.609558,202.890335,987.709595,766.366577,421.848755,861.424316,830.363281,278.138367,,,,,,,515.626221,665.254761,191.589905,567.110535,637.366943,155.270752
