Weight15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;11:10:30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
73;822.162415;741.780518;159.742889;;;;715.739075;680.779968;154.022812;1024.673950;887.464661;356.572906;956.256409;914.481384;188.745178;795.451355;643.200378;147.127853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;819.237000;741.844666;161.856491;;;;712.260010;681.100647;156.594208;1023.634094;887.445496;356.578827;953.450806;914.713623;189.462051;791.944092;642.871765;150.205475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;815.807190;742.390747;163.713821;;;;708.633667;681.749207;159.100494;1023.066956;887.147278;356.845520;951.236084;914.789734;189.903702;788.254822;642.662170;152.110657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;811.574219;742.829224;166.033997;;;;705.241394;682.044373;161.359985;1021.714722;887.197510;356.475769;947.402405;915.254700;190.667130;784.132629;643.058289;154.340027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;808.666321;742.876953;167.558685;;;;701.516663;682.370972;164.072937;1020.241821;887.201660;356.326691;944.595947;915.138428;192.026535;780.257629;643.212097;156.156189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;804.855713;743.479858;169.171844;;;;697.208984;682.962219;166.515717;1018.811401;887.031311;356.307617;941.734314;915.139160;192.123886;776.420898;643.827209;157.900314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;800.686646;743.483459;170.663849;;;;692.909668;683.491272;168.409149;1017.251099;886.947754;356.158356;938.120972;915.514099;192.653229;772.044739;644.227234;159.486664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;796.357605;743.705688;172.232727;;;;688.813965;684.229980;169.627716;1016.086853;886.796753;355.893341;935.084473;915.240112;192.965042;767.711670;644.859741;161.701645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;792.324707;743.691528;173.982788;;;;684.717163;684.882935;171.341171;1014.002686;886.891968;355.462616;931.522888;915.360291;193.853470;763.201477;644.934570;163.243927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;787.901611;744.427002;174.934479;;;;679.971802;685.292358;173.536331;1012.369019;886.638428;355.787140;927.214050;915.395142;194.467911;758.217041;645.151428;165.024490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;783.776733;744.648926;176.271912;;;;675.012939;685.862000;175.550034;1010.671692;886.788330;355.642059;924.036011;915.009033;195.089081;753.528198;645.550232;166.633881;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;779.098694;744.938110;177.341187;;;;670.055298;686.521179;176.641220;1008.880920;886.640381;355.044983;920.285706;915.134216;195.415512;748.899414;645.858521;167.715210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;774.632751;744.842346;178.025421;;;;665.439575;687.134399;177.535126;1006.731873;886.577637;355.374786;915.905579;914.849365;195.844559;743.975830;646.237732;168.824051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;770.003052;745.142212;178.649506;;;;660.648376;687.696594;178.504105;1004.890015;886.502441;355.215607;912.160278;914.175842;196.522583;738.841980;646.732727;169.944107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;764.714722;745.622864;179.742844;;;;655.658569;688.294800;179.442413;1002.812134;886.425598;354.820160;907.795959;914.096497;197.132675;733.486206;647.272644;171.182907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;759.802002;745.653442;180.598633;;;;650.255371;688.902954;180.379593;1001.065002;886.013916;355.320007;903.370178;913.931580;197.395050;728.061646;647.705933;172.110519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;754.693848;746.033447;180.931763;;;;644.827576;689.564697;181.159943;998.846008;885.751587;354.615479;899.794617;913.278625;197.161652;722.844604;648.119690;172.444962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;749.828125;746.410400;180.900726;;;;639.563110;690.349243;181.145432;996.545837;885.455261;354.377411;895.936951;912.917114;196.991135;717.560486;648.464600;172.653381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;744.740112;746.330444;181.300003;;;;634.561401;691.070129;181.322464;994.279358;885.020325;354.352173;891.659790;912.500916;197.302017;711.682190;649.071411;173.319885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;740.064026;746.156311;181.408554;;;;629.406555;691.574036;181.536118;991.688965;884.736633;353.890686;887.135864;911.968323;197.341629;706.323792;649.072632;173.495987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
