;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;;*37;;;*38;;;*39;;;*40;;;*41;;;*42;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
40;896.262756;733.550964;142.731873;;;;1070.991577;841.527771;524.217529;;;;;;;857.115601;643.304077;119.543396;;;;;;;;;;763.176636;716.734924;120.597466;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;896.136047;733.362366;142.494125;;;;1070.705078;841.527344;524.079895;;;;;;;856.929932;643.006165;119.475746;;;;;;;;;;;;;;;;1055.665649;812.395813;324.126495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;895.912476;733.152710;142.229919;;;;1070.445313;841.434692;523.963501;;;;;;;856.674133;642.753662;119.410980;;;;;;;;;;;;;;;;1055.662109;812.057434;323.797180;762.905457;716.151672;120.438690;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;895.691589;732.982605;142.068634;;;;1070.067261;841.373718;523.820923;;;;;;;856.159546;642.423035;119.459229;;;;;;;;;;;;;;;;1055.760498;811.901794;323.889130;762.989868;715.910217;120.398277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;895.498413;732.808167;141.933243;;;;1069.931885;841.416077;523.310730;;;;;;;856.203308;642.062561;118.995598;;;;;;;;;;;;;;;;1055.495239;811.699341;323.927490;762.934448;715.694214;120.317307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;895.510803;732.395081;141.741638;;;;1069.746460;841.380127;523.232605;;;;;;;856.109741;641.590271;118.147392;;;;;;;;;;;;;;;;1055.345825;811.528015;323.818756;762.706604;715.347839;120.365379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;895.101563;732.237488;141.694839;;;;1069.436646;841.328674;523.226929;;;;;;;856.093018;641.086365;118.129044;;;;;;;;;;;;;;;;1055.206055;811.519043;323.699005;762.471619;714.997070;120.295975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;894.885864;731.942749;141.678528;;;;1069.191040;841.219910;523.338257;;;;;;;855.570862;640.955750;118.065483;;;;;;;;;;;;;;;;1055.021484;811.457275;323.612335;762.321167;714.657532;120.158630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;894.700073;731.631348;141.696335;;;;1069.333984;841.205383;523.178772;;;;;;;855.404419;640.528625;118.065475;;;;;;;;;;;;;;;;1054.898193;811.377136;323.532410;762.070068;714.240601;119.951714;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;894.548767;731.131470;141.623886;;;;1069.294922;841.087280;523.026428;;;;;;;855.121521;640.391174;117.792290;;;;;;;;;;;;;;;;1054.669556;811.204346;323.385925;761.904053;713.771301;119.866722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
