;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
42;940.281311;542.134460;160.538040;993.934448;632.368774;155.066254;883.390869;594.370422;153.166992;1189.405762;752.268372;366.393097;1147.450073;778.529236;232.997238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;939.331360;546.250916;162.571579;994.427246;636.419067;155.508102;882.427185;601.395874;154.241455;1190.891357;752.528259;366.458313;1148.739868;780.404419;232.827606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;938.638794;550.547791;163.916260;994.222717;640.108337;155.759918;881.925598;608.098083;155.510101;1192.089355;752.894531;366.314697;1151.270386;781.674255;233.458298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;937.074829;555.750732;165.027954;994.118530;644.040466;156.030670;881.410217;614.886902;155.720047;1193.447632;753.190369;366.914673;1153.719238;782.401978;233.754303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;935.333984;560.914246;166.528946;994.746887;647.077332;156.346115;881.179932;621.849060;156.742859;1194.234375;753.493530;367.278473;1155.645630;783.070313;233.971085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;933.849060;565.548462;168.140732;994.240112;650.209106;156.872299;880.004395;628.818604;156.843765;1195.157471;753.698181;367.207153;1157.211426;784.538757;234.003220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;932.799438;570.760437;168.514252;993.811768;654.231812;157.448395;879.112366;635.444641;157.025101;1196.018555;753.933167;367.054230;1158.689331;785.653687;234.278763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;931.104248;574.649170;169.121933;993.208618;657.936890;157.562088;878.176514;642.051941;157.323410;1196.890503;754.276794;366.783478;1161.238647;785.948730;234.272766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;929.189148;579.727539;169.974167;992.689209;661.178406;156.887039;877.332458;648.772034;157.152969;1197.482544;754.571716;366.540802;1163.387329;786.436218;233.924850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;926.963806;584.574707;170.594910;991.629883;664.408936;157.403549;875.979919;655.425415;157.163025;1197.779907;754.832214;366.494904;1164.584595;786.950195;234.038620;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;925.251404;588.809875;170.540527;991.469788;667.931885;157.800751;874.349854;661.392578;157.059982;1198.056396;755.046204;366.483215;1165.402222;787.845703;234.443024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;924.341370;592.472961;170.908951;989.588562;671.532166;157.284607;873.366028;668.024536;156.552704;1198.514282;755.230225;366.286621;1166.168091;788.783691;234.649078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;921.722839;596.289978;170.850250;989.072021;674.054443;157.192337;872.450134;673.996643;156.198380;1199.010864;755.364502;365.947845;1166.840942;789.960693;234.829163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;920.300293;600.499634;170.647156;987.740234;677.392517;157.063492;870.496948;679.855164;155.720001;1199.348999;755.469238;365.553497;1167.948364;791.542419;234.615631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;917.097900;605.065674;169.448196;987.088135;680.403015;157.063950;868.958313;685.338318;155.072449;1199.671265;755.507446;365.183807;1168.504272;792.398132;234.672638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;916.111572;608.476379;169.352448;985.944336;683.423889;156.762131;867.260986;690.805298;154.570511;1199.865112;755.511719;364.693512;1168.909668;792.689026;234.625610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;914.038025;611.061523;168.883087;983.988708;686.092285;156.283218;866.110474;695.925964;153.899887;1200.021240;755.518555;364.383514;1169.691040;793.311829;234.108307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;911.155334;614.686462;168.210617;982.507446;688.798340;156.103455;864.453308;700.742859;152.379242;1199.755615;755.643677;363.986694;1170.437012;793.470398;233.825806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;909.254944;617.415405;167.197922;980.340454;691.244202;156.065277;862.441406;705.269531;151.494141;1199.558594;755.844604;363.586212;1170.488647;793.736694;233.537231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;908.122192;619.373230;166.847900;979.410095;693.092346;155.815475;860.291748;709.692566;150.389618;1199.301270;756.066650;363.184814;1170.375854;794.051208;233.468277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;906.230408;622.125732;165.753357;977.417175;695.401611;155.348190;858.337830;713.741150;148.919388;1199.055420;756.200867;362.768005;1170.041504;794.388367;233.081833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;904.014465;624.048828;164.902588;975.012878;697.545898;155.084869;;;;1198.554688;756.402954;362.191986;1169.565308;794.592285;232.446060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;902.878235;626.504517;163.807312;973.626282;700.061584;154.574753;;;;1197.993530;756.485352;361.445190;1169.118164;794.909180;232.126556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
