Grasp118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:05:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
49;845.696350;721.824951;193.737030;780.460449;611.279785;142.734314;911.325317;1008.347595;479.481598;840.663635;998.886658;280.871185;870.193298;648.352051;129.942307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;845.593994;720.665771;193.207504;780.548279;610.692139;140.396500;910.895752;1007.729309;479.623993;839.692993;997.419250;280.894501;868.976318;647.902222;127.604195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;845.437195;719.154480;192.656891;780.872314;609.860901;137.857712;910.461426;1007.266357;479.729218;838.433289;995.975586;281.251923;868.157227;647.493286;124.822540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;845.384644;717.259094;192.577179;781.009277;609.298828;135.771698;910.084351;1006.749329;479.617218;837.492737;994.889954;281.073395;867.274170;647.433716;122.259499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;845.107483;715.968323;191.609741;781.405518;608.620850;132.821442;909.797302;1006.191650;479.382111;836.877869;993.371155;280.993408;866.179321;647.409180;119.598259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;844.898560;714.956177;190.046616;781.735962;607.945862;131.334167;909.416687;1005.592712;479.128387;835.858276;992.232483;281.224792;865.308411;647.257446;117.556061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;844.806946;713.976563;189.171753;782.553101;607.245422;129.981812;909.058655;1005.091675;479.075409;834.915771;991.030884;280.894165;864.669250;647.280029;115.084732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;844.754456;713.074829;188.207153;782.722229;606.218567;128.943390;908.565430;1004.621399;479.172058;834.490601;989.779785;280.634857;862.357239;647.783325;111.953369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;844.362244;711.740906;187.600525;782.505310;605.396790;128.162506;907.978455;1004.052673;479.188446;833.605103;988.547363;280.784393;859.936096;647.946167;108.698738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;843.978210;710.426270;186.833801;782.431763;605.023865;127.529305;907.442566;1003.505310;479.097961;832.701294;987.698730;280.799316;858.996277;647.771851;106.925766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;843.522705;709.787781;186.374664;782.732971;604.546387;126.660347;906.993652;1003.035034;479.154266;832.219604;986.644775;280.677185;857.560974;647.624512;105.218918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;842.795166;709.215210;185.809433;783.184509;604.025696;125.730942;906.765320;1002.564575;479.124054;831.937683;985.750610;280.359406;856.859924;646.969177;104.162758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;842.098450;708.757874;185.051453;783.164734;603.621826;124.843567;906.409729;1002.045837;478.874817;831.432678;985.020935;280.381378;855.374207;646.490051;102.979485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;841.624084;708.242065;184.198532;783.164429;603.380249;124.317162;906.229553;1001.603455;478.793060;830.690247;984.287048;280.484558;854.214111;645.952332;102.017723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;841.205444;707.693787;183.965881;783.252319;603.665405;123.876869;905.918091;1001.250549;478.654266;829.922119;983.441772;280.557800;853.386169;645.370483;101.655342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;840.813660;707.253540;183.946991;783.161743;603.663757;123.636238;905.539917;1000.797913;478.674927;829.417725;982.795898;280.343353;852.636169;644.702942;101.446571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;840.573364;706.730408;183.919647;783.087524;603.532349;123.512115;905.114136;1000.383728;478.737122;828.894165;982.273376;280.205109;851.735779;644.359863;101.221878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;840.165649;706.160767;184.307526;782.881653;603.769531;123.275345;904.923523;1000.054016;478.673767;828.226624;981.722229;280.119293;850.810730;644.208008;101.017296;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;839.749695;705.479492;184.391739;782.830811;603.729675;123.092339;904.768005;999.703857;478.702728;827.538330;981.379456;280.249695;850.177185;644.134583;100.840233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;839.277405;704.914368;184.401535;783.270142;603.843811;123.322800;904.439209;999.377930;478.597321;827.034485;981.221924;280.037384;850.531311;643.383240;101.116020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;838.666199;704.549927;184.813934;783.637939;603.733826;123.406425;904.241699;999.082214;478.366852;826.759766;980.877808;280.113953;849.977417;643.415771;101.546707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;837.984924;704.072510;185.121124;783.757080;603.367554;123.263130;904.117737;998.949341;478.085205;826.361694;980.614136;280.210510;848.865845;643.375061;101.453362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
