Präzision25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;10:35:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
57;794.327026;799.203979;149.385574;813.842773;1026.444946;331.942780;776.499878;1018.780762;212.925232;790.232483;705.762695;121.950401;763.876892;692.587952;115.422745;;;;;;;;;;;;;;;;;;;;;
58;793.499023;801.677551;152.090683;813.435791;1028.759155;332.154968;776.003601;1021.764343;213.973709;790.045959;707.882629;125.514015;763.385864;694.554932;118.491325;;;;;;;;;;;;;;;;;;;;;
59;792.589233;803.814697;155.015594;812.671082;1030.998169;332.456726;775.912292;1024.980469;215.012695;788.834778;710.395386;128.364304;762.420654;696.980652;122.580856;;;;;;;;;;;;;;;;;;;;;
60;791.815613;806.510315;158.540039;812.106201;1033.219238;332.621735;775.402466;1028.211304;215.767792;788.542786;712.387268;132.391052;761.630859;699.299866;126.091484;;;;;;;;;;;;;;;;;;;;;
61;791.292542;809.179382;162.196335;811.562988;1035.486328;332.939362;774.848450;1031.380737;216.658463;787.486023;714.853638;135.548767;760.800232;701.574585;129.244247;;;;;;;;;;;;;;;;;;;;;
62;789.841492;811.856873;165.134979;811.105713;1037.964844;332.848419;774.223267;1034.738892;218.219391;786.826172;717.644653;138.623566;759.985962;703.898071;132.753601;;;;;;;;;;;;;;;;;;;;;
63;788.895874;814.590393;168.107697;810.583313;1040.513550;332.505341;773.848145;1037.981934;219.441605;785.831726;720.464844;142.551056;758.847900;706.919312;136.250595;;;;;;;;;;;;;;;;;;;;;
64;788.076965;817.779053;171.003693;809.981995;1042.852295;333.071350;773.583496;1041.338745;221.204697;784.212158;723.054260;145.942749;757.981567;709.853638;139.635483;;;;;;;;;;;;;;;;;;;;;
65;787.015015;820.662903;174.153259;809.075378;1045.205444;333.832764;772.989441;1044.771851;222.288300;782.330261;726.096191;149.175552;755.914490;712.710815;143.525131;;;;;;;;;;;;;;;;;;;;;
66;785.393616;823.658142;177.043182;808.528137;1047.667847;333.927246;772.392456;1048.200928;223.957870;781.299316;729.074341;152.433472;754.611694;715.213989;146.765793;;;;;;;;;;;;;;;;;;;;;
67;784.329468;826.791870;180.052551;808.605347;1050.062378;334.182434;771.948364;1051.595581;225.671906;780.068298;731.975891;155.067535;752.941406;718.288452;149.409698;;;;;;;;;;;;;;;;;;;;;
68;782.807129;830.284302;182.464828;808.471802;1052.566650;334.653656;771.511902;1055.281006;227.034882;778.582947;735.040588;157.925583;751.173767;721.652466;152.157883;;;;;;;;;;;;;;;;;;;;;
69;781.600952;833.711670;185.100388;808.028809;1055.187378;334.897247;770.829590;1058.978027;228.380066;776.429504;738.543030;160.753220;749.306885;724.994446;155.120621;;;;;;;;;;;;;;;;;;;;;
70;780.149597;836.979248;187.983978;807.457397;1057.734741;335.411194;770.357544;1062.662109;229.914841;773.912170;742.102661;163.009827;747.077637;728.467773;158.292984;;;;;;;;;;;;;;;;;;;;;
71;778.456665;840.279236;190.334610;807.009216;1060.098145;335.989594;769.879150;1066.326416;231.790634;771.902039;745.587769;165.347000;745.355530;731.757385;160.235641;;;;;;;;;;;;;;;;;;;;;
72;776.712646;843.633667;193.044540;806.784912;1062.469116;336.469879;769.976013;1070.022583;232.862808;770.355774;748.784424;167.940155;743.591064;735.450073;162.502075;;;;;;;;;;;;;;;;;;;;;
73;774.967346;847.046326;195.209366;806.524963;1065.083374;336.811340;769.502563;1073.838745;234.432587;768.208069;752.060120;169.948486;741.154846;739.031860;165.435471;;;;;;;;;;;;;;;;;;;;;
74;772.848450;850.561951;197.007156;806.523071;1067.464233;337.246155;769.481079;1077.438232;235.687988;765.964050;755.353088;172.411606;739.216919;742.432190;166.892563;;;;;;;;;;;;;;;;;;;;;
75;770.966675;854.408325;198.889755;806.515015;1070.020264;337.663727;769.307800;1081.404053;237.656815;763.023743;758.991638;174.420670;736.636719;746.241943;168.882385;;;;;;;;;;;;;;;;;;;;;
76;768.931824;858.280090;200.617554;806.321228;1072.422729;338.012878;768.900452;1084.999878;238.629990;760.077820;762.804504;176.256210;733.770447;750.005127;171.012878;;;;;;;;;;;;;;;;;;;;;
77;766.785950;861.897400;201.806458;806.091370;1074.743896;338.302185;768.604797;1088.596802;240.042740;757.802307;766.652893;177.563492;730.252136;753.788818;173.767410;;;;;;;;;;;;;;;;;;;;;
78;764.717102;865.498779;203.655853;806.031555;1077.063965;339.027679;768.281616;1092.205933;241.271805;755.487305;770.206116;179.248108;727.851135;757.460876;174.977722;;;;;;;;;;;;;;;;;;;;;
79;762.571106;869.031555;205.297333;805.983093;1079.409790;339.893829;768.053528;1095.760132;242.055527;752.367615;773.887390;181.238968;725.506775;761.473816;175.626877;;;;;;;;;;;;;;;;;;;;;
80;760.586609;872.551880;206.908478;805.588806;1081.762207;340.438232;767.988892;1099.255493;243.869720;749.817444;777.533752;182.592102;722.720215;765.304199;177.327606;;;;;;;;;;;;;;;;;;;;;
81;758.597717;876.483459;207.993927;805.585571;1084.094482;341.098511;767.636047;1102.877319;245.663559;747.196106;781.227661;183.568314;719.525635;769.159180;178.341202;;;;;;;;;;;;;;;;;;;;;
82;756.063843;879.938782;209.374634;805.794800;1086.472290;341.607635;767.548706;1106.417480;246.858765;744.047485;784.929504;184.878662;716.725891;772.972473;179.172775;;;;;;;;;;;;;;;;;;;;;
83;753.426514;883.966736;210.249573;805.715942;1088.847534;342.120056;767.413513;1109.793945;248.463333;741.130798;788.558167;185.539169;713.313843;776.987915;180.343460;;;;;;;;;;;;;;;;;;;;;
84;751.545166;887.530823;210.973053;805.541992;1091.135986;342.821655;767.120911;1113.122681;249.855728;738.509521;792.622009;186.598053;710.650146;781.125488;180.432571;;;;;;;;;;;;;;;;;;;;;
85;748.890747;891.041382;212.452835;805.206482;1093.532593;343.627258;767.149353;1116.691772;250.970184;735.019287;796.426086;187.279480;707.059631;785.286072;181.793213;;;;;;;;;;;;;;;;;;;;;
86;746.936646;894.399963;212.675552;805.338745;1095.745239;343.779633;767.245850;1119.907837;251.629059;732.213867;800.145325;187.493820;704.520325;789.329102;181.844818;;;;;;;;;;;;;;;;;;;;;
87;744.538879;897.696350;212.741806;805.445007;1097.999146;344.265839;766.979797;1123.305298;252.740143;729.487061;804.051025;188.159912;701.076050;793.224304;182.277084;;;;;;;;;;;;;;;;;;;;;
88;741.162170;900.857605;213.851883;805.543823;1100.194824;345.499939;767.154907;1126.779053;254.045746;726.010498;807.652039;188.643738;697.770081;797.230591;182.924744;;;;;;;;;;;;;;;;;;;;;
