;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;;*33;;;*34;;;*35;;;*36;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
40;813.453552;782.273376;79.997002;773.150024;1084.449951;358.100098;771.078613;1020.263977;197.900055;774.891846;677.378784;42.695190;804.250183;687.298645;44.591316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;813.476501;782.254272;79.986862;773.064819;1084.503784;358.214874;771.102661;1020.254883;197.864456;775.405701;677.519470;42.230591;804.275696;687.361206;44.587872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;813.495605;782.291382;79.976814;773.068604;1084.449585;358.146057;771.146606;1020.268188;197.838959;775.628235;677.547791;42.071533;803.307617;687.679138;43.610447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;813.463745;782.266602;80.015526;772.960632;1084.368652;358.223724;771.147766;1020.265930;197.776489;775.616455;677.532471;42.170246;803.835449;687.475098;43.978092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;813.478577;782.366150;80.055077;772.876831;1084.322632;358.250610;771.119568;1020.248535;197.803848;775.556152;677.502625;42.215614;804.572571;687.185059;44.641083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;813.270447;782.275879;79.942558;773.123901;1084.313843;358.202576;771.104065;1020.354248;197.845657;775.536560;677.492920;42.225872;804.537354;687.208069;44.686859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;813.431946;782.360291;79.987419;773.022888;1084.307495;358.308472;;;;775.562256;677.503723;42.281719;804.619324;687.243225;44.924141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;813.446228;782.371094;79.934341;773.119629;1084.280640;358.271576;;;;775.576660;677.499512;42.372517;804.577209;687.191589;44.703533;771.041809;1020.376709;197.794098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;813.468079;782.383606;79.968071;772.960510;1084.222290;358.470062;;;;775.611633;677.467224;42.272423;804.639954;687.120789;44.769093;771.030823;1020.368286;197.720062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;813.285889;782.361450;79.869385;773.013245;1084.150146;358.371948;;;;775.635498;677.380920;42.248936;803.898865;687.430786;44.069115;771.076477;1020.281311;197.709885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;813.436707;782.389160;79.955276;773.057129;1084.150391;358.383636;;;;775.647034;677.454041;42.226738;804.084412;687.487610;44.115845;771.117981;1020.266418;197.753342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;813.519714;782.395386;79.989136;773.039734;1084.173584;358.396667;;;;775.585510;677.452942;42.472198;804.501648;687.281372;44.533226;771.082947;1020.366028;197.809952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;813.527527;782.406677;79.868011;773.016174;1084.041626;358.357544;;;;775.564880;677.454651;42.385754;804.545227;687.231873;44.620312;771.037537;1020.287292;197.716827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;813.536072;782.439636;79.844254;773.194336;1083.994995;358.363190;;;;775.655579;677.386719;42.271313;804.180969;687.283691;44.297379;770.975037;1020.245056;197.693008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;814.205200;783.176025;79.222374;773.107727;1083.992920;358.254303;;;;775.584595;677.433228;42.492474;804.176819;687.314819;44.273907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
