;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;;*23;;;*24;;;*25;;;*26;;;*27;;;*28;;;*29;;;*30;;;*31;;;*32;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
50;806.883057;773.612976;98.518517;788.390503;683.696533;71.599640;827.743958;1004.592041;335.915100;760.056213;677.769531;63.783165;792.442322;975.427856;197.187866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;805.699585;774.655640;99.593124;788.451111;684.264221;74.057007;827.051392;1005.552002;335.967651;760.048523;678.579773;65.777344;792.316833;976.969299;196.783478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;805.325806;775.713806;100.964653;788.163025;684.875854;76.686661;826.893433;1006.359680;335.744202;759.699036;679.054382;68.370995;791.975464;978.369202;196.635498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;805.183960;776.520081;102.820694;788.383362;685.281616;79.100044;826.457520;1007.355042;335.125519;759.204346;679.648621;71.216255;791.659241;979.931458;196.716492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;805.142517;777.425598;105.573128;787.639038;686.071472;81.904335;825.846069;1008.706116;334.608856;758.892517;680.302246;74.205032;791.003113;981.697632;197.268799;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;804.529724;778.566345;107.567207;787.259155;687.224182;84.600128;825.180298;1009.939819;334.398682;758.756531;680.844482;77.282852;790.448242;983.503723;197.318085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;804.758057;779.769287;109.761871;787.353882;688.086731;87.498154;824.493103;1011.049072;334.337799;759.184204;681.750244;79.554451;790.106506;985.423950;197.169891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;804.306030;780.710144;112.409927;786.964661;689.156860;90.712837;823.860779;1012.347717;334.250702;759.048950;682.643188;82.723778;789.741577;987.628601;197.132111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;803.752258;782.177002;114.882576;787.621765;689.925415;94.347366;823.293640;1013.771606;333.649292;759.110107;683.426331;86.063011;789.107300;989.429016;197.431915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;803.273315;783.355408;117.088020;787.296997;690.982666;98.173904;822.502869;1015.353210;333.005676;758.600769;684.506714;90.334938;788.339905;991.809998;198.136765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
