PTP210
Date:,2025/04/08
Time:,13:36:24
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
140,79.854836,333.134705,121.361832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,79.790878,333.212494,121.299911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,79.695839,333.248322,121.246910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,79.584747,333.329315,121.169006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,79.518631,333.434235,121.108070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,79.516876,333.594238,121.002487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,79.364601,333.698090,120.856773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,79.303032,333.867615,120.772095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,79.352814,334.009491,120.669876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,79.397644,334.113586,120.602371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,79.437027,334.251862,120.534325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,79.397850,334.372437,120.456116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,79.367943,334.483337,120.510979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,79.363342,334.505707,120.523605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,79.467667,334.627991,120.490143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,79.434067,334.677948,120.443306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,79.450790,334.744415,120.389618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,79.555534,334.753998,120.179497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,79.547668,334.842529,120.075943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,79.538940,334.869537,120.073380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,79.517349,334.947845,120.033363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,79.479492,335.023865,119.930481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,79.471092,335.134613,119.811272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,79.476669,335.224884,119.791481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,79.456726,335.252014,119.778099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,79.523315,335.312958,119.717789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,79.541245,335.410187,119.660187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,79.463898,335.440186,119.625511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,79.464424,335.433105,119.624565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,79.492790,335.535492,119.635208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,79.484085,335.527069,119.604393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,79.482651,335.519745,119.599045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,79.481407,335.531494,119.640152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,79.493851,335.530487,119.600464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,79.398582,335.448181,119.691902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,79.383110,335.435364,119.718582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,79.385933,335.437805,119.719223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,79.308662,335.441437,119.700378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,79.258453,335.373627,119.738106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,79.245682,335.369659,119.776848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,79.237495,335.365417,119.790558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,79.170990,335.265350,119.849770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,79.139839,335.274200,119.782959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,79.074242,335.261902,119.835068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,79.063622,335.185089,119.848778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,78.980896,335.159637,119.790733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,78.926025,335.173340,119.773010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,78.932220,335.182404,119.768028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,78.916618,335.152435,119.786545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,78.920998,335.152496,119.785423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,78.875061,335.114624,119.721382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,78.859138,335.085785,119.723595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,78.851318,335.078278,119.736076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,78.891548,334.984375,119.797577,,,,,,,,,,,,,2249.864990,153.170685,-141.192795,,,,,,,,,,,,,,,
194,78.927147,334.999268,119.831696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,78.949379,335.000946,119.843147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,78.933922,334.972931,119.787392,,,,,,,,,,,,,,,,2249.876709,153.217285,-141.106827,,,,,,,,,,,,
197,78.992355,334.964905,119.875175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,78.968643,334.883331,119.859703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,78.982018,334.872833,119.912155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,78.965508,334.877258,119.861572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,78.827881,334.896484,120.102676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,78.820457,334.957916,120.181236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,78.904907,334.800476,119.955948,,,,,,,,,,,,,,,,,,,2249.822510,153.138794,-141.271133,,,,,,,,,
204,78.906441,334.867981,119.814445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,78.837257,334.895172,119.861420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,78.801926,334.901520,119.786598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,78.786095,334.885925,119.765617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,78.721817,334.994965,119.734550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,78.659393,335.017975,119.684219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,78.627457,335.040771,119.689224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,78.568680,335.038544,119.645760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,78.572182,335.053986,119.652885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,78.527702,335.144165,119.590683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,78.514122,335.078796,119.562561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,78.511063,335.141632,119.610168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
