Weight33
Date:,2025/04/22
Time:,16:07:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
44,882.517700,724.591125,135.115067,839.898315,633.542725,112.066971,1061.122314,852.447571,530.908691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,882.703430,724.322327,134.719543,839.704712,633.714172,111.907425,1061.127930,852.425415,530.763855,,,,,,,,,,,,,,,,,,,757.857117,691.222168,110.379875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,882.806824,724.236877,134.525131,839.798523,633.630371,111.623680,1060.898438,852.405701,530.611633,,,,,,,,,,,,,,,,,,,758.074829,691.056458,110.631317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,882.809509,724.122131,134.416763,839.885864,633.309692,111.561172,1060.831543,852.352600,530.327454,,,,,,,,,,,,,,,,,,,758.254639,690.853271,110.758186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,882.820068,724.010254,134.366394,839.813232,632.961670,111.663902,1060.703125,852.421082,530.145874,,,,,,,,,,,,,,,,,,,758.498718,690.584167,110.592522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,882.834717,724.027649,134.299881,839.822388,632.364868,111.797356,1060.279541,852.483887,530.222717,,,,,,,,,,,,,,,,,,,758.832642,690.406311,110.482742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,882.945557,723.918274,134.153152,839.599182,631.958313,111.750214,1059.906616,852.565491,529.992432,,,,,,,,,,,,,,,,,,,759.104187,690.287109,110.355408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,882.937927,723.818542,134.136383,839.348816,631.658936,111.392006,1059.440308,852.717346,529.873413,,,,,,,,,,,,,,,,,,,759.261902,690.220581,110.271866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,882.955872,723.781738,134.148193,838.849670,631.912109,110.897720,1059.180176,852.876221,529.763062,,,,,,,,,,,,,,,,,,,759.382141,690.106995,110.234894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,882.994690,723.739197,134.076431,838.358032,632.582153,110.521835,1058.947144,852.942017,529.755188,,,,,,,,,,,,,,,,,,,759.537170,689.955872,110.177094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,883.081055,723.689331,134.054352,837.913330,633.210388,110.118332,1058.781128,853.002014,529.803345,,,,,,,,,,,,,,,,,,,759.715088,689.823303,110.202248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,883.113281,723.578979,134.011505,837.489441,633.640198,109.619003,1058.572144,853.176453,529.484985,,,,,,,,,,,,,,,,,,,759.918518,689.684631,110.243011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,882.970642,723.644653,133.992584,837.123840,633.931335,109.466965,1058.386230,853.287659,529.323242,,,,,,,,,,,,,,,,,,,760.109619,689.647888,110.186966,1029.083008,809.834595,325.096375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
