Weight28
Date:,2025/04/22
Time:,15:43:41
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
57,885.311584,720.466736,114.274063,833.301392,631.696350,97.451187,1112.579712,864.225037,406.088257,765.319092,692.208374,105.276001,1060.756714,863.490356,240.577545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,885.309021,720.509277,114.302422,833.285034,631.692017,97.401512,1112.400146,864.187927,406.263824,765.417908,692.192017,105.149796,1060.835327,863.556641,240.488480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,885.305969,720.372498,114.142509,833.267456,631.718079,97.436646,1112.269409,864.229797,406.230225,765.317871,692.220642,105.250710,1060.883301,863.568237,240.322052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,885.349243,720.374207,114.223106,833.224182,631.692932,97.474686,1112.259644,864.238281,406.145325,765.278259,692.218689,105.310097,1060.903564,863.557190,240.277664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,885.236023,720.373169,114.299919,833.243958,631.652039,97.488991,1112.174316,864.399841,405.910919,765.307434,692.208740,105.279617,1060.846436,863.585327,240.177414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,885.205688,720.412720,114.269318,833.306152,631.662231,97.429649,1112.218384,864.380310,405.889526,765.342834,692.204895,105.237534,1060.898071,863.581482,240.102982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,885.300110,720.406128,114.280067,833.276733,631.650085,97.456902,1112.112793,864.422180,405.803558,765.294556,692.218079,105.292503,1060.875732,863.692627,239.994675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,885.310547,720.390198,114.312920,833.222717,631.669617,97.483833,1111.835693,864.428955,405.696503,765.284668,692.216370,105.305420,1060.866211,863.720764,239.981339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,885.290283,720.388123,114.332680,833.192993,631.622131,97.545937,1111.669189,864.538452,405.583313,765.294189,692.213989,105.294685,1060.839355,863.838074,239.926392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,885.264832,720.387634,114.338364,833.193420,631.655762,97.552139,1111.482544,864.577576,405.491577,765.331604,692.206909,105.250351,1060.831665,863.983704,239.881775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,885.304138,720.359070,114.280807,833.208069,631.611145,97.514420,1111.338623,864.646362,405.482117,765.327332,692.210693,105.255630,1060.808594,864.098022,239.809402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,885.252319,720.385437,114.408516,833.218811,631.654785,97.487808,1111.524292,864.541443,405.346405,765.642639,692.115662,105.111488,1060.744507,864.215698,239.743423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,885.214294,720.396667,114.517845,833.208435,631.691895,97.515694,1111.176514,864.716187,405.261688,765.507141,692.177246,105.088387,1060.652466,864.417603,239.610306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,885.069153,720.451233,114.850418,833.177429,631.614624,97.596916,1110.848633,864.722656,405.456787,765.300720,692.113586,105.241982,1060.638428,864.586121,239.509079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,884.947998,720.494080,115.197189,833.221375,631.565002,97.564545,1110.647461,864.758545,405.445892,765.249207,692.105774,105.324585,1060.649292,864.808899,239.545059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,884.808777,720.475769,115.360092,833.148804,631.672424,97.659531,1110.421875,865.043762,405.126831,765.224182,692.101318,105.345314,1060.598145,865.002136,239.583099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,884.813354,720.586060,115.607193,833.074402,631.665649,97.799896,1110.273804,864.964111,405.194458,765.256104,692.094666,105.303200,1060.497681,865.322388,239.569244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,884.810242,720.615417,115.893768,833.017883,631.659729,97.882278,1110.045532,864.993347,405.135437,765.351746,692.070984,105.389030,1060.703247,865.573181,239.410995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,884.794983,720.689941,116.132233,832.993347,631.591675,97.922035,1109.819214,864.995178,405.243103,765.367737,691.954468,105.378807,1060.771484,865.757996,239.366180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,884.830994,720.811218,116.566017,833.044067,631.697754,98.038582,1109.531494,865.018494,405.143280,765.362000,691.951721,105.388084,1060.701904,866.220764,239.452408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,884.795715,720.834351,116.925301,832.972046,631.778748,98.133202,1109.401001,865.066833,405.066010,765.362244,691.852051,105.357071,1060.718628,866.627319,239.577179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,884.698303,720.973755,117.456993,832.935120,631.857178,98.219948,1109.410156,865.026428,405.010315,765.263672,691.855469,105.466255,1060.616211,866.938782,239.544907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,884.587280,721.026855,117.816879,832.980103,631.923462,98.365234,1109.187500,865.145142,404.941223,765.280334,691.766296,105.550224,1060.382813,867.463623,239.522644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,884.403259,721.230835,118.028740,833.219910,632.383606,98.290298,1109.004395,865.259094,404.850983,765.284790,691.734497,105.593170,1060.310181,867.967834,239.324829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,884.135193,721.326416,118.333672,833.329041,632.368286,98.831345,1108.771484,865.321228,404.888489,765.356750,691.601196,105.620171,1060.314819,868.583679,239.299789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,884.450256,721.629700,119.112541,833.192932,632.243042,99.346992,1108.587158,865.378296,404.871307,765.426025,691.566284,105.609238,1060.215698,869.233521,239.549820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,884.007507,722.043701,120.075333,833.143250,632.251892,99.627937,1108.240601,865.506104,405.008636,765.355164,691.495605,105.875305,1060.057373,869.939087,239.821426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,883.846252,722.190857,120.848991,833.155029,632.593506,99.968231,1108.107910,865.549866,405.110840,765.329834,691.467773,106.147614,1059.981445,870.468567,240.080627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,883.400574,722.240723,121.899605,833.155396,632.706482,100.316307,1107.779907,865.631958,405.141357,765.464722,691.568237,106.678162,1059.894775,870.894958,240.122818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,882.955383,722.674011,122.478218,833.066406,632.937805,100.926308,1107.334106,865.704346,405.452667,765.474487,691.579102,107.149231,1060.046753,871.219055,240.305710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,882.932678,722.934631,123.093254,833.046631,633.260254,101.463310,1107.006958,865.800110,405.719177,765.481079,691.384094,108.094376,1059.991211,871.729614,240.463684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,882.951599,723.383728,123.767273,833.017639,633.561096,102.541435,1106.605347,865.827332,406.090210,765.387146,691.391113,108.686104,1059.997192,872.264099,240.712067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,882.901123,723.763184,124.324028,833.222290,633.881897,103.615479,1106.042358,865.962158,406.422333,765.367004,691.478149,109.244347,1059.568970,872.644470,241.311920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,882.767944,724.253357,125.316452,833.304810,634.034058,104.573921,1105.697144,866.199585,406.559479,765.231140,691.688721,110.062630,1059.793945,873.475769,241.485703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,883.044312,724.421204,125.817253,833.226013,634.147583,105.665253,1105.399170,866.358948,406.594238,765.277893,691.919495,111.079170,1059.780518,874.362000,241.730865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
