Weight11
Date:,2025/04/16
Time:,10:33:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
88,869.863342,667.234619,149.658356,792.745178,618.567627,105.534195,,,,1045.674683,790.802368,381.858948,,,,1021.851501,832.747803,260.266388,764.768188,640.343994,114.522400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,869.786438,667.261230,149.656921,792.658997,618.542786,105.515114,,,,1044.807495,791.018127,382.216339,,,,1021.657898,832.611633,260.629700,764.825378,640.337830,114.459793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,869.675842,667.207458,149.666992,792.112000,618.334106,105.171806,,,,1044.136841,791.056458,382.483154,,,,1021.367065,832.787964,260.852051,765.001648,640.403870,114.379280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,869.574341,667.155945,149.700104,792.555603,618.515808,105.296143,,,,1043.138916,790.917908,382.767365,,,,1020.744202,833.137573,261.097687,765.185486,640.523560,114.243233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,869.530090,667.056885,149.746262,792.697144,618.582458,105.295311,,,,1042.885254,791.116577,383.102539,,,,1020.070313,833.477905,261.302917,765.421082,640.642517,114.138191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,869.485168,667.049561,149.859253,792.623047,618.507385,105.308472,,,,1042.541504,791.280762,383.227966,,,,1019.216309,833.867065,261.772797,765.598938,640.653320,114.044716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,869.402771,667.063171,149.788925,792.570129,618.450012,105.340080,,,,1041.982910,791.126099,383.795990,,,,1018.813904,834.144226,262.001099,765.680115,640.745850,114.014946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,869.336914,667.070313,149.758606,792.612610,618.544617,105.368134,,,,1041.352417,790.857849,384.370331,,,,1018.864685,834.114258,261.981781,765.765686,640.857300,113.948303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,869.325012,667.068298,149.765579,792.655457,618.524963,105.257149,,,,1040.627197,790.863464,384.587402,,,,1018.935059,834.071655,262.024292,765.952393,640.959534,113.812866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,869.338196,667.098633,149.895706,792.665710,618.497375,105.161179,,,,1040.181152,790.959900,384.685669,,,,1018.953735,833.922546,262.410950,766.071655,640.999390,113.777779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
