Weight66
Date:,2025/04/23
Time:,11:19:57
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
67,625.328186,731.082092,162.253906,,,,581.250183,646.390137,119.865791,901.164001,868.925415,490.691132,866.838684,895.571655,338.996765,,,,,,,,,,509.108032,699.674500,126.877289,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,621.458923,731.165649,161.139755,,,,576.908997,646.284668,119.069305,899.164856,867.915466,490.344543,863.560059,894.064575,338.253296,,,,,,,,,,504.402405,700.063843,126.194542,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,616.887268,730.996887,160.407089,,,,572.340332,646.317810,117.873840,896.163269,867.082214,489.739441,860.015320,892.239685,337.746246,,,,,,,,,,499.968475,700.414734,125.249756,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,612.418091,731.412354,159.599930,,,,567.818420,647.213562,116.856659,894.291870,866.174622,489.337494,856.972168,890.694641,337.031372,,,,,,,,,,495.661713,700.850891,125.004120,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,608.425354,731.587524,158.773972,,,,563.553894,647.749634,115.720963,892.782898,864.930969,488.245392,854.133972,888.917664,336.398651,,,,,,,,,,491.047516,701.280396,125.012299,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,604.498352,731.501770,158.002609,,,,559.348694,647.559448,115.023926,891.000244,863.986023,487.437103,851.069885,887.488159,335.874390,,,,,,,,,,486.951935,701.764221,124.191460,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,600.289429,731.929382,156.984039,,,,554.974731,648.154968,114.054749,888.867676,863.311890,486.230560,848.224121,885.699951,334.852264,,,,,,,,,,483.240417,701.965759,123.085121,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,597.021790,732.038391,156.180771,,,,551.193542,648.522156,112.608421,887.006348,862.457458,486.014221,844.974915,884.376953,334.962006,,,,,,,,,,479.454193,702.456360,121.835236,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,593.429993,731.782837,155.272888,,,,547.168823,648.334167,111.857735,884.891113,861.317078,485.569061,842.537415,882.473022,334.421173,,,,,,,,,,476.020935,702.896667,121.184013,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,589.918640,732.292603,154.016891,,,,543.219482,649.225464,110.853271,883.426697,860.521545,485.099670,840.140869,881.029114,333.786133,,,,,,,,,,472.218719,703.410522,120.762398,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,586.320496,732.071716,153.340927,,,,539.921631,649.247375,109.543289,881.441772,859.862732,484.251160,836.895752,879.480408,333.678558,,,,,,,,,,467.846832,703.907104,119.931305,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,583.149536,732.271240,152.269287,,,,536.045532,649.938782,108.683731,879.818787,859.164124,483.300171,834.622498,878.113098,333.153015,,,,,,,,,,464.884521,704.330078,118.850815,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,580.136719,732.294495,151.359711,,,,533.198120,649.800842,107.559578,878.027832,858.323669,482.595612,832.475769,876.538757,332.890808,,,,,,,,,,461.906891,704.832214,117.398460,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,576.958069,732.269775,151.029633,,,,530.048462,649.593811,106.756859,876.431519,857.632874,482.116974,829.300110,875.450989,332.647247,,,,,,,,,,458.878723,705.427002,116.193565,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,574.121887,732.390686,150.176651,,,,527.058777,649.777283,106.103584,874.339966,856.901367,482.056000,827.252625,874.186401,332.194427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,571.007568,732.536743,149.353561,,,,523.831970,650.516418,105.270851,872.397766,856.341248,481.377075,824.678162,872.726013,331.770172,,,,,,,,,,,,,453.513916,706.369019,113.894035,,,,,,,,,,,,,,,,,,,,,,,,
83,568.446655,732.397156,148.815933,,,,521.166382,650.449585,104.336891,870.918274,855.955322,480.673401,822.633484,871.548035,331.656799,,,,,,,,,,,,,450.218109,706.811951,113.095711,,,,,,,,,,,,,,,,,,,,,,,,
84,565.629456,732.690918,148.006454,,,,518.241394,650.974731,102.894173,869.851135,854.995728,480.116302,820.526306,870.323608,330.907562,,,,,,,,,,,,,447.857574,707.284241,111.659943,,,,,,,,,,,,,,,,,,,,,,,,
85,563.608948,732.394470,146.634872,,,,515.706848,650.693787,102.119850,868.331848,854.310852,479.271088,818.289917,869.119751,330.554749,,,,,,,,,,,,,445.698029,707.702820,110.786980,,,,,,,,,,,,,,,,,,,,,,,,
86,561.265869,732.592590,146.118683,,,,513.027710,650.918091,100.931122,866.537476,853.747009,479.125183,816.267456,868.305481,330.511810,,,,,,,,,,,,,443.210358,708.051880,110.039520,,,,,,,,,,,,,,,,,,,,,,,,
87,559.210022,732.665771,145.474106,,,,510.607666,651.695618,100.031303,864.461060,853.266052,478.806732,814.398438,866.982178,330.335297,,,,,,,,,,,,,440.929749,708.377991,108.720428,,,,,,,,,,,,,,,,,,,,,,,,
88,556.880432,732.370789,144.667999,,,,508.727173,651.253052,99.495789,863.373352,852.860901,478.531830,813.021912,865.691711,329.790070,,,,,,,,,,,,,439.265961,708.617188,107.546028,,,,,,,,,,,,,,,,,,,,,,,,
89,555.075745,732.523865,143.502609,,,,506.326294,651.617737,98.548683,862.208740,852.258545,477.943390,811.312256,864.927734,329.350800,,,,,,,,,,,,,437.165405,709.124451,106.130936,,,,,,,,,,,,,,,,,,,,,,,,
90,553.188721,732.622925,143.001892,,,,503.768860,652.190674,98.013664,860.965088,851.782166,477.229736,809.370483,864.220337,329.134949,,,,,,,,,,,,,435.053589,709.327209,105.644997,,,,,,,,,,,,,,,,,,,,,,,,
91,551.238220,732.330627,142.390656,,,,502.569489,651.668213,97.396011,859.816101,851.287415,476.903076,807.812256,863.264587,329.034119,,,,,,,,,,,,,433.199585,709.582153,105.016235,,,,,,,,,,,,,,,,,,,,,,,,
92,549.852844,732.487366,141.263214,,,,501.291809,651.712585,96.763397,858.427124,850.630005,476.562073,806.260681,862.393250,328.629211,,,,,,,,,,,,,431.604614,709.784973,103.923798,,,,,,,,,,,,,,,,,,,,,,,,
93,548.021973,732.712219,140.489243,,,,498.881622,652.206299,95.464912,857.035767,850.229553,476.029755,805.178467,861.623657,328.169037,,,,,,,,,,,,,429.937286,709.910828,103.087082,,,,,,,,,,,,,,,,,,,,,,,,
94,546.040771,732.732361,140.443115,,,,497.138702,652.511597,94.677155,855.979065,849.952820,475.610962,803.852417,860.805725,327.645081,,,,,,,,,,,,,428.315857,710.199402,102.147202,,,,,,,,,,,,,,,,,,,,,,,,
95,544.728821,732.404114,139.546036,,,,496.286499,651.708984,93.895271,855.133972,849.604126,475.497589,801.806213,860.263184,327.399780,,,,,,,,,,,,,427.136688,710.153381,101.189400,,,,,,,,,,,,,,,,,,,,,,,,
96,543.602966,732.502258,138.681091,,,,495.183258,651.511597,93.206009,853.990845,849.250793,475.152893,800.315674,859.743591,327.340637,,,,,,,,,,,,,425.800262,710.363708,99.854828,,,,,,,,,,,,,,,,,,,,,,,,
97,542.454834,732.626221,137.997498,,,,493.342896,651.645813,92.069542,852.750183,848.977051,474.563690,799.212463,859.202515,327.148041,,,,,,,,,,,,,424.328186,710.374084,98.810051,,,,,,,,,,,,,,,,,,,,,,,,
98,540.831299,732.555664,137.483383,,,,491.537781,652.207214,91.537682,852.238342,848.363098,473.980255,797.775452,858.505737,326.814575,,,,,,,,,,,,,423.153259,710.524536,98.134781,,,,,,,,,,,,,,,,,,,,,,,,
99,539.459412,732.326233,136.774063,,,,490.492950,652.259949,90.763878,850.676025,847.882507,474.353088,796.418213,857.632019,326.734894,,,,,,,,,,,,,422.376831,710.462891,97.234764,,,,,,,,,,,,,,,,,,,,,,,,
100,538.589539,732.224976,135.894409,,,,490.063324,651.865234,89.596565,849.190613,847.345520,474.159393,795.926636,856.987122,326.625549,,,,,,,,,,,,,421.348541,710.633545,95.905792,,,,,,,,,,,,,,,,,,,,,,,,
101,537.725220,732.223328,135.099716,,,,489.390106,651.886169,88.591545,848.277161,846.997681,473.752899,794.884094,856.113831,326.175873,,,,,,,,,,,,,420.433014,710.669006,94.621597,,,,,,,,,,,,,,,,,,,,,,,,
102,536.983826,732.164551,134.243088,,,,488.442719,651.980835,87.517838,847.830750,846.642761,473.425232,793.193054,855.067322,325.883606,,,,,,,,,,,,,418.928284,710.716797,94.250580,,,,,,,,,,,,,,,,,,,,,,,,
103,536.006592,732.071350,133.372971,,,,487.549530,651.928528,86.701965,847.321350,846.270020,473.252136,792.263184,854.539734,325.636047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,535.062439,732.061707,132.716873,,,,486.074738,652.416992,85.811768,846.442749,846.057312,472.575439,791.756531,854.183289,325.412140,,,,,,,,,,,,,,,,417.885986,710.657104,92.539528,,,,,,,,,,,,,,,,,,,,,
105,534.445129,731.877441,132.201111,,,,485.175720,652.332397,85.139069,845.437439,845.873779,472.375366,790.763245,853.663757,325.257263,,,,,,,,,,,,,,,,417.405029,710.724304,90.810005,,,,,,,,,,,,,,,,,,,,,
106,533.564026,731.571289,131.507690,,,,484.829407,651.991089,84.272713,844.627319,845.699951,471.844421,789.449829,853.094177,325.022583,,,,,,,,,,,,,,,,416.795166,710.738525,89.923676,,,,,,,,,,,,,,,,,,,,,
107,532.818115,731.351990,130.504684,,,,484.430145,652.202332,83.407898,843.937073,845.475952,471.498566,788.730408,852.783875,324.641968,,,,,,,,,,,,,,,,416.386078,710.526611,89.315361,,,,,,,,,,,,,,,,,,,,,
108,532.613647,731.188782,129.532333,,,,484.218170,651.415405,82.309868,843.090942,844.956909,471.337708,788.308716,852.409851,324.201477,,,,,,,,,,,,,,,,415.610352,710.548706,88.527954,,,,,,,,,,,,,,,,,,,,,
