Weight60
Date:,2025/04/23
Time:,14:07:00
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
73,589.175903,730.321472,195.122742,527.512573,646.200073,197.571487,468.885895,707.931274,197.426117,946.338074,847.327026,388.314087,837.839539,856.730469,276.119202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,586.753784,730.282227,194.993744,524.930298,646.377014,196.400574,466.614777,708.124451,196.623260,943.791931,847.394165,387.592590,834.703430,856.279846,276.391846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,584.575562,730.355286,193.857681,522.344299,646.447754,195.393936,464.110657,708.455322,195.200043,941.994324,847.081848,387.032684,832.190247,855.960754,276.594269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,581.963806,730.602051,192.341873,519.840698,646.534729,194.049835,461.511597,708.612793,194.128159,940.175781,846.710205,386.374786,829.883606,855.084595,276.604492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,580.067017,730.239258,191.410019,517.424316,646.731567,192.972168,459.036041,708.664429,193.512848,937.499695,846.647949,386.378967,828.030945,854.553772,276.440094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,577.798828,730.457520,190.630798,514.989075,646.683533,191.911880,457.031433,708.884338,192.198761,935.815979,846.218872,385.946686,825.674194,854.205383,275.677734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,575.514160,730.454163,189.341583,512.837036,646.638977,190.842789,455.130096,709.106750,191.147339,933.992859,845.867615,385.670135,824.331604,853.783508,274.956207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,573.709351,730.078857,188.497833,510.612427,646.747681,189.670990,452.468567,709.076172,189.940689,931.413269,846.223022,385.083038,822.167297,853.258850,274.522919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,571.429138,730.074951,187.805679,508.361572,646.621155,188.209534,450.941498,709.212036,188.599731,,,,819.846069,853.250488,274.655121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,569.180603,730.031494,186.053391,506.461304,646.726318,187.024017,448.862640,709.306030,187.783340,,,,817.399109,852.920410,274.341492,927.754639,845.742859,384.173920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,567.781738,729.798523,185.165161,504.671021,646.671997,185.951401,446.707825,709.327087,186.542435,,,,816.197266,851.932922,274.244537,925.681213,845.981018,383.887146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,565.799316,729.570801,184.588287,502.613007,646.657410,184.586060,445.340851,709.365112,184.995392,,,,813.749146,852.010193,273.991943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,564.008118,729.516846,182.965485,500.680176,646.545227,183.540024,443.483093,709.256226,183.900192,,,,811.291077,851.807312,273.779999,,,,921.933289,845.182922,383.152222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,562.517944,729.473267,181.903412,499.259613,646.493835,181.891693,441.689850,709.304260,182.890121,,,,,,,,,,920.271729,845.555847,382.803986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,561.038025,729.270996,181.159500,497.677094,646.558044,180.364227,440.334137,709.484070,181.564636,,,,,,,,,,918.619202,845.127502,381.989014,808.234253,850.848999,272.638306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
