Weight54
Date:,2025/04/23
Time:,10:07:34
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
66,882.651245,696.080994,148.218292,760.565308,685.179749,119.645363,822.994446,622.439819,105.067696,,,,1115.945923,872.587830,275.300201,1138.136719,852.812378,464.602173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,882.114502,696.259033,148.967758,759.931641,685.474365,121.019958,821.958496,622.844788,106.581383,,,,1115.849365,872.947571,275.236176,1137.513306,852.828003,464.148071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,881.758179,696.538452,149.993103,759.647339,685.789612,122.549576,820.949707,623.005371,108.298027,,,,1115.702393,873.190063,275.287048,1136.843384,852.772339,464.029602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,881.175049,696.485352,151.630234,758.892212,685.939636,124.459724,819.301758,623.346497,110.853096,,,,1115.438232,873.457153,275.316467,1135.824829,852.685974,464.123688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,880.190674,696.706482,153.204926,757.783936,686.249512,126.196075,818.742065,623.381714,112.247055,,,,1115.196289,873.704651,275.278534,1135.037354,852.581665,463.871765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,879.425415,696.850403,154.242584,757.029175,686.572327,127.566010,818.248779,623.587341,113.939148,,,,1114.885986,873.911316,275.295807,1134.208984,852.291687,464.314453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,878.431274,697.100281,155.559235,755.757996,687.005188,129.629059,817.346680,623.709900,115.588837,,,,1114.415527,874.049683,275.253357,1133.386353,852.066650,464.380890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,877.414246,697.245422,157.291168,754.617432,687.337708,131.649399,815.726929,623.739563,117.283249,,,,1113.966187,874.132507,275.251556,1132.818237,851.883301,463.978088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,876.308044,697.421936,158.725555,753.628967,687.762024,133.073135,813.918213,624.031616,119.650757,,,,1113.496826,874.230957,275.229218,1132.231812,851.758118,463.605804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,875.315063,697.672485,159.879761,752.599548,688.226929,134.448044,812.049377,624.170410,122.068428,,,,1113.118042,874.245911,275.417053,1131.269409,851.657349,463.239838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,873.984253,697.908325,161.176697,750.868408,688.554199,136.430664,810.987122,624.316956,123.252068,,,,1112.492554,874.357605,275.626343,1129.971069,851.414856,463.337219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,872.405334,698.206482,162.533859,749.490845,688.951294,137.771408,809.180786,624.665283,125.362297,,,,1111.781128,874.539917,275.752319,1128.964355,851.306335,463.456909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,871.186584,698.368225,163.261642,747.847778,689.293213,140.072617,807.304993,624.823364,127.577347,,,,1110.958618,874.501770,275.930145,1128.304443,851.052612,463.286926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
