Weight64
Date:,2025/04/26
Time:,15:58:50
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
75,642.351440,714.252502,157.286514,899.011292,723.195618,311.136566,526.622498,714.981445,176.187790,861.684692,798.955139,177.347382,,,,576.936096,644.652039,168.135742,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,638.998840,714.229492,156.785141,896.675659,722.262207,311.608887,523.147034,715.202087,176.338287,858.238708,798.031250,177.813553,,,,573.312256,644.903442,167.605011,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,635.102417,714.008972,157.128891,894.585205,721.609680,311.933777,520.009766,715.590210,176.037994,855.127869,797.661743,178.125809,,,,569.354614,645.069824,167.693497,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,632.303406,714.122925,157.045639,892.304565,720.853699,311.825684,516.818909,715.996338,175.310059,852.512878,796.765259,178.061600,,,,565.988831,645.334717,166.947525,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,628.780579,713.911133,156.600906,890.339417,720.148621,312.086304,513.396851,716.347473,175.155670,849.109863,795.715088,178.646378,,,,562.509460,645.294434,166.130859,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,625.800781,713.728821,156.199371,887.719482,719.441528,312.352203,510.073090,716.690613,174.826370,846.301392,794.597778,178.950485,,,,559.244873,645.420288,165.537140,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,622.594116,713.703308,155.590057,885.803101,718.638611,312.529633,506.735474,716.872437,174.023636,843.300293,794.235962,179.276413,,,,555.725159,645.763855,165.105026,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,619.798462,713.446533,155.440826,883.687012,717.738403,312.812927,504.143250,717.192139,173.422104,840.251465,793.154236,179.621658,,,,552.414612,645.763245,164.527435,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,616.312866,713.325928,155.412109,881.553223,717.081360,312.647034,501.113159,717.315430,173.094864,837.450928,792.084045,179.993866,,,,549.271423,645.961853,163.640045,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,613.575256,713.187988,154.717651,879.264893,716.360901,312.913422,498.014771,717.470642,172.846329,834.846497,791.262878,179.827408,,,,545.892090,646.037842,163.163635,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,610.420715,713.016052,154.443985,877.502991,715.719849,313.221039,495.184357,717.883118,171.920181,832.106567,790.566467,180.173340,,,,543.009155,645.917603,162.547089,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,607.770630,712.917664,153.853226,874.978638,714.948853,313.328217,491.924744,717.924072,171.070816,829.415466,789.622681,180.516922,,,,539.913208,645.827942,161.763718,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,604.779663,712.849915,153.609863,872.985413,714.219543,313.680969,489.517181,718.095459,170.649307,826.686279,788.618958,180.752563,,,,536.890930,646.082825,161.017609,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,602.310791,712.673401,152.998810,871.424316,713.352722,313.309143,486.850311,718.316833,170.050034,824.342346,787.619934,181.024078,,,,533.895630,646.159546,160.557831,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,599.760254,712.441284,152.738174,869.788208,712.599792,313.086060,484.375854,718.552246,168.584106,821.611145,787.222900,181.066223,,,,531.344055,646.011780,159.404510,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,596.942444,712.518738,151.850906,867.728943,712.214050,313.421997,481.251740,718.684692,168.132660,819.208008,786.062134,181.264862,,,,528.196777,646.077454,158.633835,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,594.541199,712.198975,151.083908,865.340637,711.289429,314.036102,479.122833,718.884460,167.259125,817.067688,785.085510,181.198456,,,,525.499146,645.952209,158.147552,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,592.184875,711.853943,150.733871,863.807861,710.510254,313.589203,476.688995,719.171021,166.652893,814.729065,784.485901,181.437225,,,,522.753784,646.136414,157.088684,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,589.599854,711.593201,149.954239,862.149780,709.964722,313.452057,474.199402,719.354065,165.564270,812.290527,783.955505,181.544998,,,,520.453735,646.230408,155.955231,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,587.621399,711.535522,149.062164,860.642395,709.499390,313.752594,471.681488,719.614502,164.449005,810.134583,782.902649,181.707123,,,,517.773804,646.367737,155.435822,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,585.239868,711.535767,148.572647,858.874390,708.865051,313.587311,469.689301,719.835632,163.429718,808.276611,781.727417,181.628204,,,,515.115906,646.375183,154.788498,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,583.101013,711.188965,147.784058,857.419617,708.246277,313.062714,467.659210,720.051941,162.869965,805.845398,781.109253,181.650406,,,,512.566833,646.446045,153.834641,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,581.200256,710.859253,147.569336,855.442871,707.523193,313.685242,465.066010,720.254333,161.578461,804.045044,780.760803,181.818970,,,,510.437958,646.543213,153.250763,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,578.905640,710.960938,146.388443,853.822754,706.800354,313.677032,463.373413,720.459900,160.342743,802.053589,779.782715,181.817856,,,,508.371765,646.527954,151.831696,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,577.053833,710.757813,145.569183,852.286316,706.276001,313.475647,,,,800.236084,778.940186,181.649216,,,,506.057617,646.667358,150.484070,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,575.174866,710.414734,144.859543,851.134888,706.045166,313.368103,,,,797.967163,778.203186,181.718933,,,,503.806427,646.805359,149.615555,459.366882,720.734070,158.262756,,,,,,,,,,,,,,,,,,,,,,,,
101,573.181152,710.332947,144.285370,849.603882,705.567810,313.766998,,,,796.342773,777.533081,181.608673,,,,502.001343,646.819275,148.896790,457.799194,720.887756,157.065186,,,,,,,,,,,,,,,,,,,,,,,,
102,571.259094,710.053040,143.515701,847.970032,704.895813,313.260590,,,,794.680298,777.222168,181.035660,,,,499.670776,646.783997,148.140396,455.623108,720.920410,156.138611,,,,,,,,,,,,,,,,,,,,,,,,
103,569.590088,710.050110,142.286697,846.967102,704.283020,312.824615,,,,793.188416,776.280273,181.198853,,,,497.728760,646.693665,147.254547,453.781189,721.172180,155.112823,,,,,,,,,,,,,,,,,,,,,,,,
104,567.984924,709.792297,141.511703,845.554504,703.487488,312.902222,,,,791.591858,775.584106,181.095428,,,,495.855011,646.774536,146.328003,452.509552,721.358704,153.682159,,,,,,,,,,,,,,,,,,,,,,,,
105,566.108704,709.363953,141.291519,843.677185,703.248108,312.925110,,,,789.885803,774.956543,180.598236,,,,494.305817,646.963623,145.111282,450.745941,721.421570,153.008698,,,,,,,,,,,,,,,,,,,,,,,,
106,564.556274,709.382385,140.567993,842.407532,703.126099,312.731262,,,,788.413879,774.393677,180.522461,,,,492.479614,646.760803,143.737366,449.027679,721.633484,152.099884,,,,,,,,,,,,,,,,,,,,,,,,
107,563.371521,709.254211,138.925644,841.568787,702.778931,312.644104,,,,786.999329,773.990417,180.228699,,,,490.609680,646.882019,142.670456,447.777313,721.926758,150.281784,,,,,,,,,,,,,,,,,,,,,,,,
108,561.950684,709.091797,137.930969,840.107239,702.384644,312.316071,,,,785.491028,773.398254,180.202927,,,,489.349640,646.945374,141.726349,446.330658,722.003540,149.343689,,,,,,,,,,,,,,,,,,,,,,,,
109,560.695740,708.827454,137.295929,839.025757,701.992676,311.902740,,,,784.175720,772.829956,179.901855,,,,487.833527,646.982544,140.425110,444.449005,722.110596,149.072083,,,,,,,,,,,,,,,,,,,,,,,,
110,559.277161,708.879517,136.500778,837.886902,701.625549,311.757751,,,,782.846985,772.292847,179.626221,,,,486.236969,647.057312,139.789108,443.106537,722.286072,147.357574,,,,,,,,,,,,,,,,,,,,,,,,
111,557.851624,708.842957,135.425583,836.513062,700.851563,311.584167,,,,781.426147,771.548340,179.285690,,,,484.432831,647.226746,139.192566,442.357452,722.484680,145.778915,,,,,,,,,,,,,,,,,,,,,,,,
112,556.524658,708.516968,134.937607,835.387024,700.589539,311.229370,,,,780.210938,771.083008,179.100754,,,,483.225128,647.192749,138.291092,441.109253,722.556763,144.921143,,,,,,,,,,,,,,,,,,,,,,,,
113,555.544250,708.462585,134.233795,834.292297,700.021423,310.837952,,,,779.204041,770.817871,178.901001,,,,482.019531,647.087830,136.720352,439.784302,722.777100,143.855453,,,,,,,,,,,,,,,,,,,,,,,,
114,554.452576,708.341003,133.415512,833.169434,699.858948,310.590271,,,,778.169067,770.585999,178.579544,,,,480.791565,647.156189,135.678314,438.397247,722.717407,142.758301,,,,,,,,,,,,,,,,,,,,,,,,
115,553.177551,708.158142,132.245483,832.290894,699.710022,310.646240,,,,776.893494,770.169495,178.250290,,,,479.458832,647.227783,135.005341,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,551.912354,707.951599,131.465714,830.644165,699.470764,310.627045,,,,775.877014,769.665344,178.016281,,,,478.254059,647.157166,134.314423,,,,436.779510,722.853943,140.760437,,,,,,,,,,,,,,,,,,,,,
117,551.133667,707.922546,130.738358,829.735229,699.104431,310.198975,,,,774.915955,769.256287,177.647232,,,,477.215668,647.187195,133.283737,,,,435.637268,722.977783,139.154877,,,,,,,,,,,,,,,,,,,,,
118,550.274109,707.972595,130.018921,829.212036,698.720093,309.613434,,,,773.948059,768.804077,177.208603,,,,476.111755,647.196411,132.478424,,,,434.787109,723.069763,138.507034,,,,,,,,,,,,,,,,,,,,,
