Weight61
Date:,2025/04/23
Time:,14:07:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,766.087036,724.123657,182.844559,651.770447,682.793030,198.590942,719.263000,630.511780,192.947662,1053.661133,857.936646,378.399872,,,,984.193359,885.160950,246.077332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,762.537354,724.565002,183.741684,648.161926,683.352234,199.957870,715.441833,630.878052,193.940369,1051.370728,857.810486,379.037842,,,,981.111023,884.805054,246.748398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,759.109314,724.444580,184.280853,644.262268,683.732178,201.224457,711.681152,631.234009,194.933945,1049.936401,857.604370,379.335754,,,,977.921326,885.016479,247.642563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,754.625427,725.022644,185.659363,640.363403,684.241455,202.791443,707.491394,631.603088,196.503387,1047.963745,857.382874,379.986328,,,,974.894165,884.462769,248.582794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,750.826294,725.269836,186.884430,636.964966,684.747742,204.285904,703.443542,631.824524,197.274704,1045.999756,857.181030,379.961182,,,,971.490906,884.087830,249.186295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,747.687256,725.251404,187.917633,633.161316,685.301880,205.482193,699.871826,632.239197,197.940750,1043.565308,856.953552,380.404053,,,,969.080261,883.466125,250.370865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,743.829773,725.855225,188.780472,629.020935,685.691589,206.558228,696.040894,632.597717,198.621292,1041.864624,856.729614,380.838287,,,,965.420471,883.287781,250.859589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,739.364807,725.902893,189.637909,625.077393,686.175171,207.882233,691.797424,632.907532,199.474457,1040.005737,856.600830,381.461914,,,,962.258240,883.012146,251.809143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,736.093506,725.750000,190.549652,621.276001,686.773254,208.767899,687.763184,633.244934,200.123581,1037.621704,856.481079,381.417877,,,,959.494507,882.284302,252.549362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,732.315491,726.284607,191.141129,617.646667,687.265625,209.374176,683.620544,633.539856,200.781906,1035.809692,856.315552,381.717804,,,,955.945190,882.211670,253.238235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
