Grasp121
Date:,2025/04/30
Time:,17:42:44
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
77,,,,,,,,,,1170.979858,798.858215,464.739105,,,,,,,,,,894.961914,708.298035,160.517380,,,,,,,,,,,,,857.471313,612.150818,159.169479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,1169.937988,799.045959,464.630768,,,,,,,,,,893.705566,707.911377,159.055298,,,,,,,,,,,,,856.227783,611.818237,156.189575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,1168.508179,799.273987,464.148193,,,,,,,,,,892.722534,707.405579,157.496933,,,,,,,,,,,,,854.289307,611.040466,153.500946,,,,,,,,,,,,,,,,760.031006,705.506714,182.916687,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,1167.340332,799.392456,463.578003,,,,,,,,,,891.410217,706.793213,155.950073,,,,,,,,,,,,,852.297668,610.505432,151.213516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,1166.245605,799.534912,463.248779,,,,,,,,,,889.780518,706.292786,154.729797,,,,,,,,,,,,,850.578735,610.164429,149.154221,,,,,,,,,,,,,,,,,,,757.470093,703.658020,178.615967,,,,,,,,,,,,,,,
82,,,,,,,,,,1165.585693,799.578735,462.980194,,,,,,,,,,888.674133,706.068542,153.933807,,,,,,,,,,,,,849.207336,609.899902,146.646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,1164.058228,799.860901,462.506531,,,,,,,,,,887.911438,705.860962,153.114197,,,,,,,,,,,,,847.967102,609.666382,144.661316,,,,,,,,,,,,,,,,,,,,,,754.114441,702.153076,174.598328,,,,,,,,,,,,
84,,,,,,,,,,1162.804443,800.106812,461.950317,,,,,,,,,,886.703064,705.446167,151.356705,,,,,,,,,,,,,846.158142,609.350891,142.836716,,,,,,,,,,,,,,,,,,,,,,753.183411,701.854248,172.369827,,,,,,,,,,,,
85,,,,,,,,,,1162.117554,800.350830,461.519745,,,,,,,,,,885.513855,704.964661,150.170227,,,,,,,,,,,,,844.874817,609.214539,140.337646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,1161.390747,800.487488,461.196289,,,,,,,,,,884.386414,704.562988,149.093613,,,,,,,,,,,,,844.044250,608.726929,138.462814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,1160.477173,800.707581,460.643341,,,,,,,,,,883.593628,704.205750,147.965820,,,,,,,,,,,,,842.769165,608.439209,136.797256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,1159.427979,801.047363,459.970764,,,,,,,,,,883.234314,703.888367,147.159058,,,,,,,,,,,,,841.840027,607.984741,134.709198,,,,,,,,,,,,,,,,,,,,,,,,,748.761230,698.326660,163.958420,,,,,,,,,
89,,,,,,,,,,1158.830078,801.381165,459.639679,,,,,,,,,,882.069885,703.636414,145.955292,,,,,,,,,,,,,840.407166,607.764832,132.729858,,,,,,,,,,,,,,,,,,,,,,,,,748.573914,697.362915,161.839005,,,,,,,,,
90,,,,,,,,,,1158.561157,801.586731,459.418854,,,,,,,,,,881.352112,703.327698,145.034363,,,,,,,,,,,,,839.153076,607.833374,131.011536,,,,,,,,,,,,,,,,,,,,,,,,,747.757141,696.197388,159.630875,,,,,,,,,
91,,,,,,,,,,1157.978760,801.883667,458.678925,,,,,,,,,,880.804504,703.078918,144.222565,,,,,,,,,,,,,838.638794,607.573120,128.846298,,,,,,,,,,,,,,,,,,,,,,,,,746.376160,695.096924,158.515945,,,,,,,,,
92,,,,,,,,,,1157.179565,802.256714,457.688202,,,,,,,,,,880.178894,702.952026,143.263367,,,,,,,,,,,,,837.539673,607.769226,126.881935,,,,,,,,,,,,,,,,,,,,,,,,,745.652405,693.711365,157.214081,,,,,,,,,
93,,,,,,,,,,1156.497681,802.486938,457.251556,,,,,,,,,,879.530640,702.905090,142.426010,,,,,,,,,,,,,836.404236,608.108398,125.884911,,,,,,,,,,,,,,,,,,,,,,,,,745.598267,692.125366,155.167389,,,,,,,,,
94,,,,,,,,,,1155.921265,802.738159,456.995575,,,,,,,,,,879.098755,702.940491,141.806839,,,,,,,,,,,,,834.555603,608.237793,124.304420,,,,,,,,,,,,,,,,,,,,,,,,,745.730652,690.428894,153.245224,,,,,,,,,
95,,,,,,,,,,1155.671753,803.048279,456.660126,,,,,,,,,,878.998413,703.021057,140.528000,,,,,,,,,,,,,833.412659,608.370972,122.437225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,1155.141968,803.252441,456.195709,,,,,,,,,,878.960632,703.049622,139.413940,,,,,,,,,,,,,832.204041,608.816284,120.698524,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.871460,687.468384,152.308212,,,,,,
97,,,,,,,,,,1154.499023,803.383606,455.210754,,,,,,,,,,878.429199,703.140808,138.553223,,,,,,,,,,,,,830.730591,609.630188,119.423119,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.898438,685.689697,151.508316,,,,,,
