Grasp125
Date:,2025/04/23
Time:,16:09:21
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
78,898.339844,576.888306,89.010307,984.706604,631.630798,114.923790,871.201233,644.798096,102.597511,1192.337524,736.462158,396.147736,,,,,,,1222.426147,757.343750,245.652634,,,,,,,,,,,,,,,,,,,,,,,,
79,897.131836,581.458252,89.796951,984.026306,635.264648,115.725487,871.345764,651.821594,103.459038,1193.196899,736.686279,396.366272,,,,,,,1223.856323,756.751953,246.092560,,,,,,,,,,,,,,,,,,,,,,,,
80,896.349304,586.466187,90.172394,983.432251,638.735779,116.437157,,,,1193.299561,736.970154,396.597870,,,,,,,1225.039917,756.581482,245.988342,,,,,,,,,,,,,,,,,,,,,,,,
81,895.711426,590.097717,90.761803,983.424011,642.067383,117.095146,,,,1193.666626,737.140564,396.756836,,,,,,,1226.734253,756.149353,245.966324,,,,,,,,,,,,,,,,,,,,,,,,
82,895.195435,593.899536,91.254227,982.908691,645.067139,117.619362,,,,1194.255005,737.323608,396.869965,,,,,,,1228.041382,755.648376,246.079910,870.694763,670.991577,106.537132,,,,,,,,,,,,,,,,,,,,,
83,893.846497,596.521240,93.795753,982.749817,647.428955,117.736633,,,,1194.992676,737.620667,396.573303,,,,,,,1229.051025,755.071899,246.381821,869.698608,676.682861,108.211914,,,,,,,,,,,,,,,,,,,,,
84,892.943970,599.328125,94.584892,981.345764,650.616882,118.387222,,,,1195.788330,737.790771,396.445038,,,,,,,1229.737305,754.619873,246.345215,868.649292,682.203369,110.446396,,,,,,,,,,,,,,,,,,,,,
85,892.241882,602.103943,95.534225,980.774109,652.823975,119.345520,,,,1196.431885,737.938599,396.353180,,,,,,,1230.548828,754.184448,246.158768,867.686157,686.726318,112.107216,,,,,,,,,,,,,,,,,,,,,
86,891.421387,604.514648,96.129883,979.989136,655.132813,119.718552,,,,1197.152954,737.854614,396.486053,,,,,,,1231.088379,753.704163,245.846252,866.856689,691.115540,113.721138,,,,,,,,,,,,,,,,,,,,,
87,890.776978,606.825623,96.425285,978.698181,657.637573,120.092522,,,,1197.624512,737.936401,396.422913,,,,,,,1231.486816,753.240906,245.526932,865.820190,695.540955,115.751328,,,,,,,,,,,,,,,,,,,,,
88,889.637573,608.636963,97.779823,978.770020,659.196472,120.818413,,,,1197.793091,738.010620,396.291351,,,,,,,1231.636841,753.085999,245.460754,864.653198,699.318115,117.474205,,,,,,,,,,,,,,,,,,,,,
89,888.810669,609.775085,99.044479,977.465393,661.368835,121.039551,,,,1198.058105,738.070740,396.119476,,,,,,,1231.465210,753.028564,245.242722,863.072693,702.738220,119.164864,,,,,,,,,,,,,,,,,,,,,
90,888.114258,610.747986,100.189049,976.163818,663.166504,121.387779,,,,1198.277100,738.148499,395.700317,,,,,,,1231.255371,752.985718,244.886612,861.377563,705.879211,120.867523,,,,,,,,,,,,,,,,,,,,,
91,887.356079,611.467041,101.069099,975.613708,664.027222,121.662605,,,,1198.476807,738.191833,395.217285,,,,,,,1230.922241,753.050903,244.501358,859.721558,709.001648,122.609306,,,,,,,,,,,,,,,,,,,,,
92,886.535950,612.020508,101.809044,973.660217,665.946594,122.370895,,,,1198.559692,738.232727,394.727478,,,,,,,1230.566528,753.163757,244.047577,,,,,,,,,,,,,,,,,,,,,,,,
93,885.766846,612.352661,102.418579,972.299072,666.937134,122.984566,,,,1198.641602,738.297729,394.341217,,,,,,,1230.040649,753.399109,243.454193,,,,855.649048,713.922119,125.620056,,,,,,,,,,,,,,,,,,
