Grasp113
Date:,2025/04/23
Time:,10:06:54
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,888.635010,530.623108,99.252113,998.835144,594.300720,116.336464,962.180115,498.020020,92.717438,1150.921875,794.807678,478.065704,,,,,,,,,,,,,1135.462646,825.311401,281.718964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,892.073242,536.428528,100.356087,1002.185059,598.162720,116.567268,963.837036,502.910889,92.791672,1152.254883,796.170227,477.670349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,894.308899,542.149292,101.241417,1005.634460,602.573853,115.433502,965.537170,507.931854,92.790535,1153.261230,797.430115,477.803955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,896.299011,548.318970,102.151077,1008.471741,606.810364,115.153847,967.009827,512.968018,92.283600,1154.755249,798.758057,478.044464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,898.096130,554.436279,102.494255,1010.742065,610.792236,115.263275,968.848083,516.996582,91.974045,1156.048950,800.178711,478.609253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,899.030518,560.669006,102.176270,1013.114014,615.239990,114.216469,969.925598,521.112610,92.154877,1156.951538,801.357056,479.330414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,899.522583,567.214783,102.569939,1015.037354,619.214661,113.327080,970.742249,525.452271,92.010231,1158.187500,802.669556,479.364349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,899.665649,574.294189,101.310715,1016.461792,622.949951,112.739243,971.280701,528.931030,91.873581,1159.377808,803.798706,480.139954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,899.160278,581.246887,100.364655,1017.217896,627.115662,112.031174,971.514648,532.821655,91.318512,1160.727661,804.806519,480.528412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,898.906067,588.407898,98.984703,1018.148987,631.015930,111.775642,970.941223,538.569641,89.489792,1161.759277,805.730103,481.077637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,897.673706,595.782593,98.168526,1018.695679,635.168213,110.652130,969.534180,544.458740,87.683846,1162.253418,806.664612,481.505676,,,,,,,,,,,,,,,,1168.122925,845.373535,288.764587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,896.607117,603.682922,96.767761,1018.890625,638.898804,109.409264,968.279907,549.586548,86.638077,1163.174683,807.528748,481.657074,,,,,,,,,,,,,,,,1170.739014,846.396851,289.615753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,894.988586,611.275513,95.478371,1018.676147,642.802490,108.534279,966.023926,554.268799,86.028282,1164.533936,808.342224,481.695251,,,,,,,,,,,,,,,,1173.232300,847.458923,290.007019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,893.301697,619.521118,94.329292,1018.126892,646.547729,107.744614,963.898376,559.387268,85.218552,1165.483521,809.165405,481.798492,,,,,,,,,,,,,,,,1175.210083,848.251099,290.508881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,891.858215,627.271912,93.140732,1017.104553,650.516785,106.879578,961.473755,564.538635,84.109856,1166.157959,809.872803,482.083496,,,,,,,,,,,,,,,,1176.747681,849.178223,290.585693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,890.175415,635.346069,92.223320,1015.946167,653.999817,106.453995,958.425720,569.869324,83.543594,1166.469971,810.487671,482.183594,,,,,,,,,,,,,,,,1178.390259,849.953735,290.456055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,888.093018,643.315125,90.996445,1014.770325,657.598389,105.668610,955.370728,574.804321,82.417618,1166.985474,811.081116,482.199310,,,,,,,,,,,,,,,,1180.366211,850.183228,290.148529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,885.885132,651.191772,90.112068,1012.917603,661.278870,105.298439,951.955994,579.751282,82.042114,1167.529541,811.597839,482.046753,,,,,,,,,,,,,,,,1182.151733,850.672363,289.833282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,883.786255,658.898376,89.837723,1011.509827,664.926941,104.243896,948.440613,584.606201,81.643494,1168.380127,812.188843,481.409271,,,,,,,,,,,,,,,,1183.269531,851.152161,289.557526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,881.337219,666.483215,88.577110,1009.631775,668.252869,103.481079,945.088135,589.531311,80.776703,1168.874878,812.652466,481.135132,,,,,,,,,,,,,,,,1183.930542,851.661865,289.411469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,879.425476,673.683044,88.325188,1007.391052,671.475281,103.355911,941.810120,594.263123,80.012527,1169.052368,813.235535,480.737518,,,,,,,,,,,,,,,,1184.391357,851.224426,289.176636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,877.162354,680.525635,88.031151,1004.694763,674.479614,103.046715,938.550537,598.405457,79.416374,1169.276855,813.673889,480.496857,,,,,,,,,,,,,,,,1185.875122,850.927124,288.209869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,874.312256,687.011597,87.271217,1002.653137,677.529419,102.817604,935.080811,602.265259,79.384369,1169.429443,813.930420,480.254578,,,,,,,,,,,,,,,,1186.694824,851.508057,287.305481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
