Grasp119
Date:,2025/04/23
Time:,11:17:52
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
45,909.907227,804.528259,114.318420,,,,882.668579,711.041260,74.814049,1155.458008,922.119568,336.176453,777.068481,775.194275,86.920929,,,,1164.510620,881.743713,521.506958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,909.431458,802.071838,115.889832,,,,883.480408,707.951782,76.690514,1155.212402,922.520630,336.067596,777.168823,771.787476,89.281570,,,,1164.665894,881.722229,521.556396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,909.133118,799.797852,116.829063,,,,883.828674,705.204773,78.761345,1154.802368,922.732361,335.972839,776.639771,768.531067,91.298721,,,,1164.714233,881.792969,521.594727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,908.937134,797.329773,118.377670,,,,884.389648,702.277283,80.816444,1154.611450,922.960266,335.770996,776.361267,765.018616,93.143936,,,,1164.791748,881.796082,521.535706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,908.481384,794.925537,119.471420,,,,884.834961,699.324036,83.028473,1153.912354,923.105835,335.033966,776.522766,761.789917,94.975243,,,,1164.799194,881.876526,521.529724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,908.314270,792.606689,120.714149,,,,885.422974,696.309204,85.872375,1153.598267,923.188477,334.616821,775.974976,759.068542,96.600990,,,,1164.788086,881.986694,521.420959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,908.095154,790.535034,121.803909,,,,885.352173,693.793152,87.849205,1153.295898,923.102661,334.384216,775.376221,756.140259,98.892387,,,,1164.772095,882.025879,521.231201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,907.227051,788.269714,122.852486,,,,885.281982,690.932190,90.085335,1152.975464,922.935486,334.188202,775.561646,753.252014,100.186264,,,,1164.511475,882.160156,520.892395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,906.295105,786.051636,124.312355,,,,885.175476,688.580383,91.701157,1152.592407,922.733459,333.691620,774.657166,750.594421,102.237511,,,,1164.167236,882.259399,520.560486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,905.868103,783.966919,125.050194,,,,885.291199,685.840698,93.674973,1152.299683,922.305237,333.369751,773.614990,748.631104,104.073425,,,,1163.936035,882.323181,520.226135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
