Grasp125
Date:,2025/04/28
Time:,14:03:07
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
98,810.935730,369.241119,59.420570,883.224976,371.847198,53.191628,903.110229,454.305145,116.002464,992.398865,677.726563,252.651657,1114.278442,735.679199,432.179657,,,,,,,,,,,,,,,,,,,,,
99,809.175903,371.979095,61.020897,881.313843,374.517731,54.936455,901.669312,456.286011,118.678368,993.121826,679.867371,252.874435,1114.989380,736.362793,433.072754,,,,,,,,,,,,,,,,,,,,,
100,807.301392,374.846405,63.131458,879.336914,376.889404,56.805984,900.233643,458.409912,121.048996,993.897400,681.985474,253.114746,1115.357788,736.711914,433.524811,,,,,,,,,,,,,,,,,,,,,
101,805.567322,377.210938,64.636238,877.460632,379.488190,58.505039,898.726135,460.484467,122.811897,994.813110,684.391846,253.764313,1116.512695,738.257751,433.550110,,,,,,,,,,,,,,,,,,,,,
102,804.201294,380.390808,66.335419,875.275452,382.348541,59.826900,897.386108,463.170990,124.965424,995.496948,686.811890,254.051331,1117.821045,739.133911,434.340851,,,,,,,,,,,,,,,,,,,,,
103,802.729004,383.278870,67.650345,873.342896,385.157654,61.763893,896.100647,465.485687,127.095016,996.400818,689.178955,254.922836,1118.722778,739.658386,435.096313,,,,,,,,,,,,,,,,,,,,,
104,801.515625,385.956665,69.484352,871.765625,388.028076,63.254215,894.804382,467.655487,129.340744,996.666077,692.010193,255.835938,1119.919312,740.348999,435.536530,,,,,,,,,,,,,,,,,,,,,
105,800.538086,389.118591,70.518349,870.015198,391.012146,64.884209,892.999756,470.102448,131.528748,996.659119,694.503296,256.457062,1120.879517,740.767883,435.755035,,,,,,,,,,,,,,,,,,,,,
106,799.529419,392.495575,71.898308,868.020752,394.126160,66.484955,891.592285,472.428955,133.745728,997.408447,696.911865,257.056702,1121.989868,741.379822,436.192352,,,,,,,,,,,,,,,,,,,,,
107,798.497986,395.395111,72.752541,866.641174,397.365814,67.758980,890.158081,475.022980,136.218781,998.867371,699.616272,256.899384,1122.535889,742.173279,436.700928,,,,,,,,,,,,,,,,,,,,,
108,797.128906,398.577271,74.362816,865.046326,400.911957,69.479286,888.647095,477.474487,138.564209,1000.088684,702.177979,257.657745,1123.210449,742.934448,437.232086,,,,,,,,,,,,,,,,,,,,,
109,796.161682,401.728546,75.363243,863.286377,404.138245,70.796654,887.133728,480.124451,140.943390,1001.053833,704.622375,258.105560,1123.978394,743.537659,437.660309,,,,,,,,,,,,,,,,,,,,,
110,795.022217,405.319275,76.789650,861.848389,407.564087,71.935806,885.918579,482.850433,143.132187,1001.829956,707.424438,258.562622,1124.825928,743.976379,438.123993,,,,,,,,,,,,,,,,,,,,,
111,793.782715,408.508270,78.378349,860.669617,410.879761,73.316452,884.852783,485.385223,145.690613,1002.655334,710.178223,259.109955,1126.332886,744.620117,438.630371,,,,,,,,,,,,,,,,,,,,,
112,792.456299,411.557678,80.090347,859.257813,414.496368,75.184944,883.499695,488.093018,147.832108,,,,1127.453247,745.109619,439.094177,,,,,,,,,,,,,,,,,,,,,
113,790.745239,414.929138,82.517494,858.255249,418.129120,76.792007,882.678101,491.280487,149.958679,,,,1128.198730,745.558411,439.300110,1004.558655,715.380859,260.611298,,,,,,,,,,,,,,,,,,
114,789.292908,418.462402,84.972130,857.142151,421.733032,78.143440,881.737549,494.359650,152.120285,,,,1129.420044,746.007690,439.653748,1005.172363,718.386841,261.591736,,,,,,,,,,,,,,,,,,
115,788.010193,422.220734,87.177673,855.588989,425.202271,80.052391,880.804871,497.368073,153.826050,,,,1130.535522,746.578186,440.234772,1006.122986,720.909485,261.838287,,,,,,,,,,,,,,,,,,
116,786.415161,425.938934,89.027733,854.207886,428.162964,81.797638,879.750244,500.854584,155.924759,,,,1131.455078,747.429138,440.933228,1007.157104,723.443665,262.752167,,,,,,,,,,,,,,,,,,
117,784.777222,429.801727,91.316048,852.847839,431.532257,83.937485,879.124634,504.210175,157.692184,,,,1131.941162,748.075928,441.248383,1008.771912,726.244568,263.279144,,,,,,,,,,,,,,,,,,
118,783.228638,433.827789,94.023033,851.073425,435.223938,86.257156,878.396362,507.463715,159.261368,,,,1132.876099,748.614075,441.525452,1009.953735,728.846924,263.951630,,,,,,,,,,,,,,,,,,
119,781.752808,437.997711,96.392700,849.687195,438.942047,88.287865,877.596069,510.671906,161.785233,,,,1133.914551,749.038635,441.984497,1011.031128,731.548096,264.120605,,,,,,,,,,,,,,,,,,
120,780.428162,442.159180,98.253418,847.768799,442.529083,90.557266,877.127258,513.649841,163.890259,,,,1134.846191,749.483215,442.544617,1012.279541,733.995361,264.560852,,,,,,,,,,,,,,,,,,
121,779.092407,446.613525,100.092331,845.799744,445.947845,92.402504,876.708740,516.827454,165.855392,,,,1135.715698,749.985596,443.092896,1013.764832,736.711548,265.088806,,,,,,,,,,,,,,,,,,
122,777.683899,451.044922,102.411095,843.904785,449.583923,94.031174,875.963196,520.369568,167.372650,,,,1136.420898,750.595154,443.240356,1014.813354,739.128601,265.789581,,,,,,,,,,,,,,,,,,
123,776.506714,455.258087,104.121384,841.734619,453.832733,95.823654,875.617798,523.799255,168.779266,,,,1137.783203,751.026672,444.061829,1016.166382,741.427795,266.206879,,,,,,,,,,,,,,,,,,
124,775.381042,459.574615,105.524254,840.120483,457.671082,97.669716,875.058167,527.217773,170.012177,,,,1139.027100,751.462952,444.892120,1017.442749,743.941772,267.203156,,,,,,,,,,,,,,,,,,
125,774.160645,464.364197,107.337669,838.713013,461.386444,99.257904,874.734741,530.578918,172.134979,,,,1139.601318,751.940674,445.281494,1018.933228,746.179993,267.757111,,,,,,,,,,,,,,,,,,
126,773.380127,469.091064,108.888290,837.217773,465.180023,100.996666,874.314148,533.597046,173.556030,,,,1140.210449,752.603638,445.577728,1019.991699,748.423340,268.194519,,,,,,,,,,,,,,,,,,
127,772.616150,473.529205,110.004272,835.691650,468.882904,102.836433,874.127808,536.798157,175.565704,,,,1141.124023,753.043030,446.213745,1021.608337,750.911804,269.097473,,,,,,,,,,,,,,,,,,
