Grasp123
Date:,2025/04/24
Time:,14:48:14
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
67,946.587219,630.404419,170.287323,,,,1129.215454,711.131348,287.834503,851.033569,583.647644,178.289093,1155.055908,713.922180,467.504822,835.249695,692.860779,218.591293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,945.015198,632.583557,167.831802,,,,1128.931030,711.393860,287.102295,849.994934,585.469055,174.790100,1155.072021,714.032776,467.306732,833.988586,695.422424,214.677307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,944.104370,633.959167,166.612228,,,,1127.980225,711.880981,286.461853,848.902405,586.901917,170.761581,1155.202148,714.101624,467.211273,832.398621,698.038452,210.999786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,942.842407,635.958740,164.203430,,,,1127.215088,712.383301,286.037415,847.776001,588.488586,167.233276,1155.566528,714.181213,466.997742,830.549377,700.372009,207.162476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,942.037292,637.324829,162.114151,,,,1126.757080,712.929077,285.790375,846.763672,589.874634,163.114700,1155.673950,714.231140,466.785950,828.996948,702.373230,203.135101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,941.090637,638.654541,160.389191,,,,1124.914917,713.671753,285.855804,845.916931,590.837219,159.208160,1155.646729,714.340637,466.537048,826.911377,704.082397,198.990860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,939.998291,640.384521,158.157578,,,,1124.715454,713.579895,285.261017,845.166931,591.755981,155.364227,1155.667969,714.432251,466.330658,825.202332,705.507385,195.031830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,938.879395,641.272156,156.110931,,,,1124.723389,713.866333,284.309387,844.574463,592.385071,151.855927,1155.717163,714.520081,466.161560,823.092529,707.350342,191.172455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,938.075073,642.475891,154.615784,,,,1123.766357,714.560486,283.746429,843.812073,592.885254,148.049454,1155.634521,714.618103,465.948456,821.785706,708.452393,186.974823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,936.377502,643.806274,152.349792,,,,1122.543701,715.191956,283.424103,842.919128,593.526855,144.270203,1155.394165,714.671509,465.628052,820.404663,709.411804,182.916458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,935.731506,644.874695,150.353607,,,,1121.473999,715.485474,282.931030,842.262878,594.144897,140.587921,1155.156006,714.718628,465.358612,818.755066,710.087891,179.164780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,934.867432,645.489258,148.749329,,,,1120.919434,715.175110,282.741302,841.390625,594.632263,137.389084,1154.861206,714.808655,465.148987,816.871277,710.917175,175.935043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,933.870056,645.853943,146.354935,,,,1119.961182,715.059875,282.374878,841.008179,594.790405,133.775116,1154.266602,715.011536,464.814514,815.093750,711.633667,172.691086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,932.653870,646.537659,144.776047,,,,1118.565918,715.687317,281.844116,840.610413,595.247925,130.949677,1153.812012,715.166687,464.602875,813.828796,712.272888,169.212234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,931.528015,647.321411,143.420883,,,,1117.212158,715.996094,281.139740,839.881165,595.406311,128.243317,1153.391968,715.339355,464.387512,812.786865,712.522522,166.488190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,931.171570,647.584351,141.701523,,,,1116.549438,716.198853,281.163483,839.314148,596.036865,125.112892,1152.956787,715.471191,464.222595,811.685486,712.910156,163.978134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,930.192505,648.205811,139.876709,,,,1115.979248,715.460754,280.527100,838.553101,596.404541,123.118523,1152.564331,715.556763,464.127441,810.211548,713.223145,161.027710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,929.306335,649.250671,138.557846,,,,1114.092285,715.956665,279.813263,837.983215,597.014343,120.530716,1152.046753,715.649353,464.013763,808.851685,713.511597,158.669052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
