Grasp117
Date:,2025/04/26
Time:,15:57:06
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
64,1097.292969,741.131409,305.199738,1121.692139,806.013977,162.483826,789.306885,734.526855,123.246880,857.215027,632.660400,113.195213,,,,918.844360,712.810913,104.856544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1096.379272,740.687622,304.890106,1120.038818,805.344788,161.828369,787.426270,733.148926,123.113983,855.608521,631.315247,113.614792,,,,917.246643,711.299500,104.367081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1095.545288,740.314026,304.713654,1118.180054,804.509644,160.988892,786.562317,732.158325,123.162697,854.037842,629.799744,113.655243,,,,916.419434,710.096558,104.020905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1094.397461,739.977417,304.280548,1116.543945,803.904419,160.700592,785.226135,730.947632,122.809334,852.853699,629.143433,112.315033,,,,914.979919,708.957520,103.863747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1092.976807,739.654480,303.969452,1115.306030,803.343140,160.201691,783.954041,729.800842,122.137115,851.689636,628.154602,111.765198,,,,913.481384,707.813293,103.651733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1092.151855,739.424927,303.690613,1113.692139,803.107361,159.298828,783.186890,728.779785,121.521324,850.044922,627.206726,111.742981,,,,912.713135,706.861511,103.110542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1091.463135,739.264404,303.305542,1112.608765,802.657898,158.936356,782.136047,727.749878,120.940300,848.819824,626.179016,110.509125,,,,911.620728,706.052917,103.405853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1090.786865,739.115051,302.808929,1111.361572,802.031738,158.128006,780.697632,726.987427,120.649742,847.363220,625.365356,110.173409,,,,909.883850,705.088318,103.473732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1089.574219,738.941833,302.411804,1109.575195,801.253723,157.539505,779.069214,726.115234,120.438332,845.972961,624.374756,110.281120,,,,908.415894,704.322876,102.865311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1088.516357,738.834534,302.099121,1108.343872,800.781067,157.462326,778.158447,725.203674,119.800880,844.408813,623.266846,109.945457,,,,907.183716,703.681885,102.387459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
