Grasp126
Date:,2025/05/06
Time:,14:07:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
112,730.346985,607.773560,159.852615,863.858398,633.389221,193.946259,799.126770,569.459106,137.982361,,,,,,,1131.044067,790.476685,436.258606,,,,,,,,,,,,,,,,,,,,,,1060.467041,821.164429,261.777771
113,730.183289,609.887695,158.160797,863.065430,635.034668,192.954071,798.614624,571.516541,136.589035,,,,,,,1130.964478,790.565308,436.323273,,,,,,,,,,,,,,,,,,,,,,1060.651123,821.551636,261.905212
114,729.895874,612.236023,156.315216,862.636292,636.311829,192.404648,797.822510,573.167664,135.369766,,,,,,,1130.893188,790.674011,436.373901,,,,,,,,,,,,,,,,,,,,,,1060.811401,821.802063,262.029419
115,729.464355,614.202454,154.463257,862.388916,637.847229,190.638763,797.314453,575.181091,134.156265,,,,,,,1130.814331,790.737061,436.428223,,,,,,,,,,,,,,,,,,,,,,1060.789795,822.174988,262.236023
116,729.117737,616.194519,152.484924,861.992065,639.218872,189.812744,797.287659,576.667419,132.611038,,,,,,,1130.804443,790.724915,436.531372,,,,,,,,,,,,,,,,,,,,,,1060.940552,822.570129,262.318970
117,728.930237,618.125977,150.604156,861.694946,641.010620,188.140015,796.901550,578.320618,130.953400,,,,,,,1130.697266,790.841370,436.481110,,,,,,,,,,,,,,,,,,,,,,1061.517578,822.888000,261.884399
118,728.642273,620.102539,148.728836,861.307800,642.235168,186.654068,796.653564,580.115479,128.975220,,,,,,,1130.698853,790.905518,436.428894,,,,,,,,,,,,,,,,,,,,,,1061.778687,823.276123,261.475677
119,728.287659,621.465881,147.264908,861.021851,643.290039,185.950958,796.490112,581.697571,126.937538,,,,,,,1130.459229,791.032776,436.365417,,,,,,,,,,,,,,,,,,,,,,1061.936890,823.514343,261.369629
120,728.123169,623.105225,144.925415,860.988342,644.492615,184.248489,796.419739,583.248108,125.184959,,,,,,,1130.411011,791.153198,436.324310,,,,,,,,,,,,,,,,,,,,,,1062.139893,823.790833,261.308289
121,728.555542,624.718445,141.802536,860.726013,645.637451,182.635742,796.455261,584.199524,123.688576,,,,,,,1130.274658,791.222351,436.139801,,,,,,,,,,,,,,,,,,,,,,1062.315186,824.072998,261.210968
122,728.790833,626.223999,139.893158,860.486450,646.688965,180.983139,796.271179,585.265930,122.095436,,,,,,,1130.049316,791.315186,435.994568,,,,,,,,,,,,,,,,,,,,,,1062.460571,824.308960,261.065643
123,729.149292,627.411865,137.212524,860.328491,647.683472,179.805695,796.252991,586.412964,120.180359,,,,,,,1129.857178,791.388000,435.831909,,,,,,,,,,,,,,,,,,,,,,1062.420288,824.639038,260.853302
124,729.563782,628.322693,135.153793,859.909790,648.707703,178.317566,796.479309,587.458435,118.560265,,,,,,,1129.736816,791.412231,435.739532,,,,,,,,,,,,,,,,,,,,,,1062.430908,824.802795,260.679047
125,729.318787,628.887573,133.979935,860.034485,649.452148,176.840546,796.385864,587.859680,116.794434,,,,,,,1129.500610,791.559937,435.444458,,,,,,,,,,,,,,,,,,,,,,1062.401245,824.977356,260.597290
126,729.321716,629.685669,131.658401,860.100647,650.128967,175.229919,796.216553,588.540833,115.190987,,,,,,,1129.290161,791.640381,435.273102,,,,,,,,,,,,,,,,,,,,,,1062.412720,825.061401,260.572906
127,730.254333,630.667297,129.103012,859.886597,650.603577,173.808273,796.113342,589.337036,114.840767,,,,,,,1129.145996,791.663818,435.122925,,,,,,,,,,,,,,,,,,,,,,1062.301514,825.184998,260.448059
128,731.046692,631.314392,127.056633,859.866333,651.136292,172.876923,795.812622,589.642212,114.820168,,,,,,,1129.021118,791.636902,434.991272,,,,,,,,,,,,,,,,,,,,,,1062.050415,825.345703,260.164368
