Grasp126
Date:,2025/04/23
Time:,16:09:25
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
69,842.980469,485.364288,32.428970,902.102173,556.704041,80.907784,778.945190,514.986755,45.818546,1134.234009,724.984375,377.309723,,,,,,,1115.916748,739.659302,223.854462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,846.707825,484.561340,34.046814,905.880798,557.033752,81.849976,783.246460,513.902161,49.175571,1135.080078,725.311768,377.544128,,,,,,,1118.221680,740.470337,224.215591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,850.550720,484.083435,35.113003,909.873169,557.498779,82.891571,787.813782,512.368652,53.450573,1136.004150,725.666504,377.998108,,,,,,,1120.000122,742.437256,225.206573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,854.565063,483.847076,36.276760,913.949585,558.006042,84.031746,792.736023,510.402466,58.588661,1136.499268,726.075989,378.254791,,,,,,,1122.316284,745.196655,225.856796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,858.432251,483.789429,38.713169,918.241394,558.618591,85.632126,797.808655,508.912842,63.622150,1137.095215,726.472351,378.660522,,,,,,,1125.070190,745.969055,226.135330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,862.035095,483.966705,42.066998,922.593079,559.190125,87.449860,803.282898,508.035004,67.605797,1137.873047,727.021973,379.154205,,,,,,,1127.287964,748.016602,226.599640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,865.794739,484.141693,45.072807,926.993530,560.448608,88.585075,809.152893,507.229736,72.348778,1138.709351,727.456909,379.596558,,,,,,,1129.578125,749.786438,227.328384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,868.971069,484.586792,48.605526,931.269714,561.497803,89.763100,814.913757,506.438934,76.904739,1139.595825,727.915100,380.148895,,,,,,,1132.676147,750.340210,227.533691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,872.327026,485.542511,52.078339,935.639282,562.438293,91.486671,820.862244,506.049225,81.230782,1140.963379,728.286682,380.762970,,,,,,,1135.495728,751.577087,228.117554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,876.057556,486.490906,55.179398,939.896240,563.509949,93.411705,826.410767,506.053741,86.103050,1141.986084,728.648926,381.127075,,,,,,,1138.100098,752.741272,228.981171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
