Grasp120
Date:,2025/04/24
Time:,15:38:28
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,895.029175,722.959045,111.642357,,,,,,,1105.452148,857.510620,445.303467,863.064575,624.838684,98.559799,,,,760.954102,696.703979,112.989258,1063.098511,880.268066,250.798630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,894.126282,720.969421,111.189362,,,,,,,1104.604248,857.146851,444.810730,860.841736,622.751282,97.745811,,,,760.264954,694.606262,112.358704,1061.648560,879.092102,249.930893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,893.285767,719.142151,111.204094,,,,,,,1103.258545,856.787231,444.028687,857.463074,621.429688,96.235168,,,,759.490173,692.135681,111.415039,1059.448242,878.172791,249.418350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,892.182312,717.165649,110.936981,,,,,,,1101.659058,856.575500,443.724670,854.072998,620.296509,94.256622,,,,759.082703,689.977173,110.805450,1057.817627,877.714905,249.109680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,891.045166,715.412903,110.770271,,,,,,,1100.760376,856.372375,443.327728,851.102539,618.803406,92.463150,,,,758.753967,687.749756,110.042213,1056.108032,876.862610,248.314636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,889.365723,713.580688,111.188972,,,,,,,1099.352661,856.262756,442.676544,847.289734,618.303955,91.294128,,,,757.754761,685.544739,109.551971,1054.858521,875.826416,247.486130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,888.053040,712.057861,111.414734,,,,,,,1097.962280,856.072815,442.093842,844.668152,617.620605,89.524246,,,,757.266052,683.208984,108.798920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,887.173462,710.724670,111.614784,,,,,,,1097.051270,855.844604,441.808105,841.719910,617.601013,88.391434,,,,757.092529,681.051758,107.776077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,885.907837,709.155945,112.164566,,,,,,,1095.945557,855.474548,441.343018,839.245361,616.894470,87.128204,,,,756.714600,678.991699,107.631058,,,,1051.172119,873.089355,246.248459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,884.613281,708.278687,112.380913,,,,,,,1094.424683,855.458069,440.617706,837.896240,615.779358,87.406830,,,,756.119324,676.857727,108.222664,,,,1049.978149,872.857300,245.372986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
