PTP357
Date:,2025/04/23
Time:,12:53:03
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
194,520.644714,452.179138,100.186188,,,,,,,,,,,,,,,,,,,,,
195,520.694519,452.155182,99.901627,,,,,,,,,,,,,,,,,,,,,
196,520.708191,452.157410,99.602058,,,,,,,,,,,,,,,,,,,,,
197,520.741272,452.174713,99.493019,,,,,,,,,,,,,,,,,,,,,
198,520.745300,452.150116,99.277855,,,,,,,,,,,,,,,,,,,,,
199,520.812988,452.150452,99.098106,,,,,,,,,,,,,,,,,,,,,
200,520.759338,452.136292,98.996544,,,,,,,,,,,,,,,,,,,,,
201,520.728271,452.137817,98.938568,,,,,,,,,,,,,,,,,,,,,
202,520.726440,452.242157,98.050240,,,,,,,,,,2310.867432,301.129364,-134.211838,,,,,,,,,
203,520.779358,452.214111,97.752419,,,,,,,,,,,,,,,,,,,,,
204,520.809692,452.161438,97.671982,,,,,,,,,,,,,,,,,,,,,
205,520.767395,452.138611,97.578873,,,,,,,,,,,,,,,,,,,,,
206,520.742065,452.055115,97.536995,,,,,,,,,,,,,,,,,,,,,
207,520.731201,451.892059,97.392563,,,,,,,,,,,,,,,,,,,,,
208,520.724731,451.777222,97.300232,,,,,,,,,,,,,,,,,,,,,
209,520.722778,451.705048,97.174393,,,,,,,,,,,,,2310.893311,301.053131,-134.099243,,,,,,
210,520.759521,451.581909,97.086266,,,,,,,,,,,,,,,,,,,,,
211,520.748718,451.506989,97.043594,,,,,,,,,,,,,,,,,,,,,
212,520.800537,451.490814,96.942795,,,,,,,,,,,,,,,,2310.791504,301.098450,-134.188431,,,
213,520.807739,451.405243,96.900627,,,,,,,,,,,,,,,,,,,,,
214,520.792786,451.403076,96.835541,,,,,,,,,,,,,,,,,,,,,
215,520.805847,451.380524,96.729759,,,,,,,,,,,,,,,,,,,,,
216,520.816528,451.380096,96.707695,,,,,,,,,,,,,,,,,,,,,
217,520.860046,451.356415,96.654404,,,,,,,,,,,,,,,,,,,,,
218,520.871521,451.354340,96.639801,,,,,,,,,,,,,,,,,,,,,
219,520.864075,451.339050,96.589142,,,,,,,,,,,,,,,,,,,,,
220,520.884521,451.345093,96.589714,,,,,,,,,,,,,,,,,,,,,
221,520.906799,451.367615,96.595100,,,,,,,,,,,,,,,,,,,,,
222,520.870178,451.343506,96.582611,,,,,,,,,,,,,,,,,,,,,
223,520.880615,451.343750,96.595459,,,,,,,,,,,,,,,,,,,,,
224,520.904541,451.366425,96.598434,,,,,,,,,,,,,,,,,,,,,
225,520.874390,451.372925,96.625908,,,,,,,,,,,,,,,,,,,,,
226,520.892151,451.378876,96.649292,,,,,,,,,,,,,,,,,,,,,
227,520.903870,451.369019,96.605759,,,,,,,,,,,,,,,,,,,,,
228,520.906372,451.471832,96.647186,,,,,,,,,,,,,,,,,,,,,
229,520.863403,451.386566,96.690605,,,,,,,,,,,,,,,,,,,,,
230,520.888733,451.461517,96.677094,,,,,,,,,,,,,,,,,,,,,
231,520.902893,451.486816,96.657433,,,,,,,,,,,,,,,,,,,,,
232,520.911194,451.379089,96.713959,,,,,,,,,,,,,,,,,,,,,
233,520.902527,451.417877,96.709877,,,,,,,,,,,,,,,,,,,,,
234,520.860229,451.374420,96.696594,,,,,,,,,,,,,,,,,,,,,
235,520.916138,451.444122,96.699623,,,,,,,,,,,,,,,,,,,,,
