Grasp20
Date:,2025/04/08
Time:,13:08:47
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
99,274.396576,586.817932,131.144791,,,,68.969177,878.466064,173.808868,66.113823,907.469299,353.479492,345.072815,672.765625,112.958588,,,,,,,,,,,,,,,,,,,,,,252.495132,720.899170,120.662155
100,274.423767,585.879028,130.103409,,,,69.484314,877.618530,174.149429,66.420563,906.945068,353.123413,345.278992,671.207031,112.572388,,,,,,,,,,,,,,,,,,,,,,252.859161,719.750732,120.619751
101,274.258484,585.232422,128.928833,,,,70.081169,876.801147,174.202850,66.755516,906.428040,352.601440,345.477722,669.886414,112.288834,,,,,,,,,,,,,,,,,,,,,,253.076004,718.984741,120.909668
102,274.084534,584.261597,128.202347,,,,70.683922,875.770813,173.991089,66.984421,905.855103,352.494781,345.670227,668.763367,111.745270,,,,,,,,,,,,,,,,,,,,,,253.832825,718.606384,119.948936
103,274.237396,583.301575,127.631798,,,,71.084648,874.901489,173.412888,67.260506,905.274292,352.230316,345.792480,667.277283,110.386467,,,,,,,,,,,,,,,,,,,,,,254.616943,717.663513,119.250862
104,274.664886,582.633789,126.874535,,,,71.535606,874.285889,173.154938,67.464706,904.824768,351.929688,345.991821,666.248718,109.432037,,,,,,,,,,,,,,,,,,,,,,255.244095,716.724976,118.798004
105,275.322845,582.015808,125.843864,,,,72.211380,873.585510,172.591614,67.706787,904.237915,351.598145,346.463043,665.449646,109.004211,,,,,,,,,,,,,,,,,,,,,,255.852768,715.870056,118.503815
106,275.942810,581.571655,125.274719,,,,72.626373,872.826843,172.405502,67.912010,903.790649,351.438171,346.900146,664.513245,108.331078,,,,,,,,,,,,,,,,,,,,,,256.136444,715.215088,118.248528
107,276.634216,580.744507,125.176460,,,,72.900505,872.011169,172.040497,67.986023,903.438599,351.482819,347.197357,663.748474,107.933144,,,,,,,,,,,,,,,,,,,,,,256.468689,714.580017,118.122353
108,277.317322,580.154175,125.375603,,,,73.235863,871.604858,171.913071,68.074783,902.954163,351.471283,347.428253,663.026917,106.612427,,,,,,,,,,,,,,,,,,,,,,256.776337,714.106689,117.734764
109,277.977417,579.736633,125.359497,,,,73.398354,870.950806,171.910904,68.226067,902.539246,351.349091,347.814850,662.285217,105.452827,,,,,,,,,,,,,,,,,,,,,,257.094208,713.437256,117.339828
110,278.714355,579.412598,125.233948,,,,73.739250,870.315430,171.748428,68.231773,902.191345,351.314850,348.065552,661.700562,104.476883,,,,,,,,,,,,,,,,,,,,,,257.703827,712.816040,116.578148
111,279.602173,579.081482,125.358124,,,,74.090080,869.467834,171.616028,68.281509,901.838074,351.325806,348.468689,661.031311,104.028656,,,,,,,,,,,,,,,,,,,,,,258.233887,712.284485,116.051765
112,280.511963,578.847412,125.517021,,,,74.577271,868.917542,171.324432,68.459030,901.501404,351.226471,348.853699,660.375122,103.383492,,,,,,,,,,,,,,,,,,,,,,258.697296,711.881409,115.616257
113,281.504547,578.639160,125.484367,,,,74.972664,868.554993,171.250290,68.509285,901.169373,351.111969,348.959869,660.023682,102.777710,,,,,,,,,,,,,,,,,,,,,,258.875183,711.530640,115.257263
114,282.376953,578.368347,124.970970,,,,75.342476,867.958862,171.153427,68.530991,900.987671,351.022980,349.168884,659.556946,101.849876,,,,,,,,,,,,,,,,,,,,,,259.194672,710.988831,115.079620
115,283.330688,578.168823,124.870071,,,,75.639107,867.174805,170.884583,68.553581,900.681458,350.945343,349.513214,659.002502,100.986794,,,,,,,,,,,,,,,,,,,,,,259.306549,710.377319,115.348877
116,284.175995,578.008972,124.896202,,,,75.761093,866.503418,170.846024,68.564873,900.327454,350.806671,350.147278,658.531433,100.182602,,,,,,,,,,,,,,,,,,,,,,259.604065,709.861389,115.397102
117,284.888763,577.934937,124.783043,,,,75.930473,865.833252,170.772537,68.641586,900.014832,350.442444,350.486450,657.851624,99.514267,,,,,,,,,,,,,,,,,,,,,,259.975800,709.438782,115.168228
118,285.645203,577.736877,124.609543,,,,76.236351,865.467224,170.603012,68.619499,899.803223,350.376831,350.700073,657.068420,99.027725,,,,,,,,,,,,,,,,,,,,,,260.607147,709.136780,114.728828
119,286.254211,577.579163,124.206131,,,,76.275970,864.912903,170.296570,68.723129,899.558960,350.194397,350.783142,656.431335,98.518654,,,,,,,,,,,,,,,,,,,,,,261.109100,708.940002,113.948418
120,286.920349,577.471863,123.520103,,,,76.320976,864.242065,169.903961,68.799316,899.385864,350.050873,350.679810,655.825073,98.298965,,,,,,,,,,,,,,,,,,,,,,261.615631,708.500427,113.485687
121,287.431061,577.480103,123.114273,,,,76.461136,863.606812,169.790161,68.884392,899.068298,350.007172,350.633057,655.330200,97.732140,,,,,,,,,,,,,,,,,,,,,,262.138123,708.530823,112.946114
122,287.953583,577.512207,122.529472,,,,76.441811,862.934509,169.715332,68.925537,898.801819,350.010864,350.599030,654.898621,97.132072,,,,,,,,,,,,,,,,,,,,,,262.533020,708.372314,112.710991
