Grasp03
Date:,2025/04/08
Time:,12:52:20
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
99,298.628815,472.799683,133.893677,267.051910,600.151123,129.131638,180.248322,834.313599,302.569946,,,,,,,,,,,,,,,,176.622879,800.418030,170.078445,354.309174,544.614624,136.292648,,,,,,,,,,,,,,,
100,298.049957,467.810822,134.447037,267.622742,595.765991,129.791794,180.386368,832.511353,303.097595,,,,,,,,,,,,,,,,177.541763,796.782227,170.645065,354.130615,539.499451,136.658340,,,,,,,,,,,,,,,
101,297.383636,463.156189,134.902206,267.869049,591.283752,130.516937,180.653900,830.485779,303.517426,,,,,,,,,,,,,,,,178.201172,792.942444,170.907990,353.746552,534.500671,136.755966,,,,,,,,,,,,,,,
102,296.426849,458.608948,135.946106,268.081360,586.828613,130.660477,181.240860,828.468750,303.827972,,,,,,,,,,,,,,,,178.658081,789.061646,171.345856,353.722382,529.339417,137.079514,,,,,,,,,,,,,,,
103,295.642487,453.985748,136.404556,268.383881,582.299133,130.942795,181.953537,826.537842,304.179657,,,,,,,,,,,,,,,,179.563919,785.157043,171.443115,353.674011,524.111572,137.354492,,,,,,,,,,,,,,,
104,295.078979,449.146759,136.811539,268.833893,577.587952,131.125336,182.331482,824.469910,304.143921,,,,,,,,,,,,,,,,180.716537,781.322021,171.862396,353.519012,518.986938,137.679459,,,,,,,,,,,,,,,
105,294.351837,444.134125,137.119476,269.181671,573.050049,131.266312,182.795303,822.577209,304.316650,,,,,,,,,,,,,,,,181.338882,777.563660,172.390610,353.431793,513.850037,137.562119,,,,,,,,,,,,,,,
106,293.826477,439.442657,137.434097,269.227325,568.394409,131.509766,183.421722,820.590271,304.950134,,,,,,,,,,,,,,,,182.220581,773.353210,172.742905,353.520599,508.680878,137.315079,,,,,,,,,,,,,,,
107,293.206024,434.442230,137.480698,269.586121,563.706238,131.467361,184.372025,818.453491,304.849884,,,,,,,,,,,,,,,,182.825439,769.258240,173.340912,353.483429,503.564026,136.703674,,,,,,,,,,,,,,,
108,292.572998,429.556671,137.690384,269.862579,558.996948,131.740982,184.954376,816.492798,304.943054,,,,,,,,,,,,,,,,183.765717,765.048767,173.948334,353.161133,498.266205,136.422684,,,,,,,,,,,,,,,
109,292.039459,424.477264,137.514999,270.326477,554.065247,131.657211,185.506836,814.406860,305.466492,,,,,,,,,,,,,,,,184.754120,761.082947,174.537155,352.938873,493.128998,135.916183,,,,,,,,,,,,,,,
110,291.541534,419.639954,137.254669,270.431213,549.408752,131.606186,186.268692,812.179443,305.843628,,,,,,,,,,,,,,,,185.733566,756.833862,174.673767,352.903717,487.825928,135.162506,,,,,,,,,,,,,,,
111,290.850403,414.551392,137.055252,270.680725,544.603882,131.434586,186.936020,809.954041,306.207703,,,,,,,,,,,,,,,,186.705078,752.566833,175.515915,352.220795,482.858490,134.230560,,,,,,,,,,,,,,,
112,290.226715,409.881989,136.373550,271.097168,539.888672,131.108002,187.362152,807.822632,306.694153,,,,,,,,,,,,,,,,187.363159,748.602722,175.956192,352.230957,477.552277,133.721954,,,,,,,,,,,,,,,
113,289.427643,404.983429,136.118896,271.599823,535.083801,131.014893,188.109253,805.360107,306.941010,,,,,,,,,,,,,,,,188.514984,744.401184,176.758850,351.873444,472.360931,132.923157,,,,,,,,,,,,,,,
114,288.573700,400.408356,135.367157,271.899170,530.480103,131.244720,188.971375,803.164124,307.569000,,,,,,,,,,,,,,,,189.023422,740.278320,177.235748,352.281372,466.733978,132.498978,,,,,,,,,,,,,,,
115,287.921143,395.563660,135.132965,272.084351,525.947571,131.117233,189.671692,800.747314,307.711884,,,,,,,,,,,,,,,,189.954895,736.244568,178.132645,,,,,,,,,,,,,,,,,,
116,287.116486,391.099396,134.494553,272.343597,521.345886,131.137405,190.438156,798.460205,308.303284,,,,,,,,,,,,,,,,190.731155,732.535583,178.563492,,,,351.997589,456.480255,131.041519,,,,,,,,,,,,
117,286.117798,386.269379,134.139343,272.829407,516.969604,130.649933,191.199554,796.098572,308.426147,,,,,,,,,,,,,,,,191.859467,728.676758,179.443726,,,,,,,,,,,,,,,,,,
118,285.493652,381.683136,133.562546,273.422363,512.420471,130.419434,191.899429,793.642151,308.860931,,,,,,,,,,,,,,,,192.795044,724.565491,179.759293,,,,,,,350.668060,445.911377,128.882339,,,,,,,,,
119,284.879730,377.295074,132.850525,273.884064,507.821106,130.176071,192.476028,791.244263,309.649933,,,,,,,,,,,,,,,,193.705673,720.557251,180.813812,,,,,,,,,,,,,,,,,,
120,284.139008,372.439148,132.259750,274.165588,503.453125,129.977707,193.348877,788.973877,309.793457,,,,,,,,,,,,,,,,194.412857,716.814148,181.435822,,,,,,,,,,349.097473,435.505157,125.636856,,,,,,
121,283.613647,368.226563,131.454330,274.246033,499.064270,129.532806,193.972916,786.778564,310.256439,,,,,,,,,,,,,,,,195.611221,713.254211,182.518280,,,,,,,,,,350.424347,431.060944,125.494484,,,,,,
122,283.164459,363.967834,130.781311,274.592834,494.644012,129.307281,194.705978,784.379761,310.934235,,,,,,,,,,,,,,,,196.587875,709.332336,183.146622,,,,,,,,,,350.507355,426.195068,125.101486,,,,,,
123,282.775299,359.544434,130.096283,274.776764,490.285278,128.573502,195.517593,781.985840,311.172302,,,,,,,,,,,,,,,,197.813766,705.504639,183.592697,,,,,,,,,,350.510712,421.425354,124.267860,,,,,,
