Grasp19
Date:,2025/04/15
Time:,13:18:42
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,840.467651,466.843018,32.519661,1077.297119,789.052734,393.997467,930.376160,449.077332,31.867989,955.464233,542.294067,65.400864,,,,,,,,,,1077.000488,793.483459,223.219910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,840.442810,466.892792,32.459682,1077.329956,789.124695,393.832092,930.357910,449.155060,31.845940,955.604248,542.390869,65.263824,,,,,,,,,,1077.115967,793.643005,223.231140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,840.316528,467.148224,32.705070,1077.282227,789.357727,393.740906,930.250671,449.246124,31.868313,955.620972,542.519958,65.266228,,,,,,,,,,1077.383423,793.712708,223.165359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,840.571045,467.259827,32.723454,1077.374390,789.520508,393.626038,930.212769,449.346527,31.883051,955.558411,542.579041,65.347664,,,,,,,,,,1077.773682,793.856995,223.061859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,840.573364,467.190430,32.658001,1077.534424,789.641541,393.506927,930.152466,449.455109,31.863150,955.535828,542.746460,65.344292,,,,,,,,,,1078.010986,793.923157,223.330582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,840.616882,467.289093,32.666962,1077.712280,789.780701,393.369049,930.109375,449.588165,31.895729,955.522949,542.870300,65.435982,,,,,,,,,,1078.296509,794.215088,222.970093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,840.565186,467.473633,32.727306,1077.964722,789.945923,393.205566,930.365662,449.841278,32.030869,955.531738,542.980835,65.541824,,,,,,,,,,1078.267456,794.634277,222.850403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,840.727600,467.476593,33.074432,1078.202881,790.140686,393.091309,930.153687,449.920715,32.041702,955.533020,543.171814,65.520241,,,,,,,,,,1078.590210,794.831421,222.479095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,841.018860,467.712402,32.947823,1078.543945,790.358337,392.896820,929.903015,450.102478,32.222656,955.520142,543.322876,65.534485,,,,,,,,,,1079.040039,795.058411,222.265274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,841.017273,467.849121,33.156673,1078.918701,790.510925,392.656555,929.766846,450.401978,32.446663,955.413818,543.576172,65.656082,,,,,,,,,,1079.447021,795.341675,222.108109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,840.979370,468.190552,32.695122,1079.244019,790.670105,392.362396,929.788879,450.721863,32.384808,955.493774,543.763977,65.670853,,,,,,,,,,1079.823853,795.612549,221.961456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,841.232727,468.566437,32.487442,1079.468628,790.811523,392.027985,929.824402,451.105835,32.253502,955.592468,544.069946,65.561409,,,,,,,,,,1080.468262,795.902405,221.766647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,841.589478,468.656952,32.586784,1079.936157,791.015930,391.874329,929.804871,451.733459,32.075459,955.660156,544.499756,65.372696,,,,,,,,,,1081.542725,796.262329,221.310135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,841.822449,468.822144,32.621777,1080.618774,791.114868,391.557465,929.764465,452.466675,32.212906,955.812256,545.257874,65.082703,,,,,,,,,,1082.982056,796.587891,220.776230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,841.936218,469.170410,32.678886,1081.023315,791.359436,391.416046,929.763794,453.108704,32.243153,956.012085,546.095642,65.251602,,,,,,,,,,1083.719116,797.033569,220.590973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,842.255188,469.666504,32.628754,1081.351440,791.637268,391.293121,929.752686,453.568390,32.298729,956.498840,546.622864,64.949142,,,,,,,,,,1084.263428,797.327942,220.769379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,842.623657,470.436005,32.452587,1081.964600,791.966736,391.140869,929.768250,454.290039,32.394314,956.437622,547.599854,65.626076,,,,,,,,,,1085.085449,798.133911,220.600922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,843.037781,471.464661,32.255005,1082.568359,792.567444,390.761871,929.821960,455.180847,32.428013,956.443115,548.185730,65.919502,,,,,,,,,,1086.305908,799.015747,220.263290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
