Grasp107
Date:,2025/04/23
Time:,10:06:19
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
79,1195.282104,873.855042,473.927368,776.263000,740.982544,106.102516,914.724976,746.637756,123.260895,1168.482178,894.461243,268.515930,874.789856,654.716492,103.988327,,,,,,,,,,,,,,,
80,1194.268555,873.192322,473.975922,774.647644,739.191895,105.725693,912.849670,744.857910,123.448059,1166.511841,893.212280,268.186646,872.947632,652.814514,105.147484,,,,,,,,,,,,,,,
81,1193.275635,872.638733,473.986938,773.434570,737.476990,105.216362,911.163879,742.988403,123.650452,1165.126221,891.984497,267.877869,871.277527,651.070618,105.339035,,,,,,,,,,,,,,,
82,1192.056519,872.033875,473.568451,772.149719,735.308228,104.742851,909.836975,741.285400,123.951981,1163.284180,890.644775,267.484741,870.091980,649.374512,105.506897,,,,,,,,,,,,,,,
83,1190.197754,871.387756,473.610382,770.917786,733.557434,104.704552,908.259033,739.557495,124.015060,1161.469238,889.661011,267.100159,868.444946,647.471558,106.605209,,,,,,,,,,,,,,,
84,1189.162842,871.037170,473.246979,768.840698,731.620300,104.620918,906.455322,737.829468,124.335854,1159.907349,888.312134,266.679321,866.563477,645.312500,107.451714,,,,,,,,,,,,,,,
85,1188.352539,870.706970,472.889038,767.688477,729.670898,104.270126,905.067200,736.154785,124.109612,1157.932007,886.956482,267.211517,865.614441,643.771729,106.954720,,,,,,,,,,,,,,,
86,1187.066895,870.201660,472.692749,766.574524,727.590027,103.452393,903.905457,734.556396,123.930214,1156.247925,885.776672,266.700531,864.407593,642.164917,107.198067,,,,,,,,,,,,,,,
87,1185.490112,869.726624,472.548126,765.304871,725.576233,103.213562,902.623108,733.001160,124.041100,1154.840088,884.626221,266.021881,863.305420,640.485901,106.748833,,,,,,,,,,,,,,,
88,1183.971924,868.996887,472.328247,764.300720,723.406555,102.321465,900.938599,731.481201,124.028938,1153.946899,883.302979,265.554230,862.246704,638.722656,106.458275,,,,,,,,,,,,,,,
89,1183.145996,868.495850,472.216553,763.159851,721.202087,101.687775,899.640442,729.977661,123.798950,1151.972290,882.286438,265.524139,860.928040,637.042297,106.381355,,,,,,,,,,,,,,,
90,1182.246094,867.981201,471.945160,762.167908,719.319824,100.973076,898.613831,728.517334,123.807510,1150.254395,881.404846,265.228302,859.813171,635.577209,106.171402,,,,,,,,,,,,,,,
91,1181.255005,867.637451,471.821808,761.318604,716.837646,100.559486,897.823059,726.742004,123.418617,1148.166260,880.041992,265.774414,858.795044,633.808777,105.278610,,,,,,,,,,,,,,,
