Grasp68
Date:,2025/04/22
Time:,16:06:55
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
48,781.610596,473.348175,66.091522,1001.585388,722.427246,322.416595,1040.247803,818.065674,507.877106,870.862305,449.304108,87.323433,879.991272,534.039307,147.466309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,780.451599,473.126770,70.085129,1002.523621,723.304932,322.433228,1040.434204,818.603455,508.288635,870.166687,449.278229,89.930832,879.340637,533.969788,151.002975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,779.772522,472.885651,73.752609,1003.790649,724.668091,322.863434,1041.361450,819.193665,508.395081,869.365417,450.190002,92.774246,879.108826,534.108948,153.227966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,779.028198,472.808502,77.736259,1004.555969,726.232544,323.735352,1041.944214,820.031067,508.479187,868.453369,449.854279,95.449875,878.568176,534.133606,156.816452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,778.205200,472.692566,82.117676,1004.910950,727.302368,324.050842,1042.163452,820.802612,508.729950,867.405029,449.748596,98.249504,878.320129,534.083618,160.584961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,777.784851,472.492279,85.202904,1005.451355,728.810852,324.151367,1042.661011,821.224854,509.008331,866.526428,450.033173,100.946861,877.895020,534.423462,162.966034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,777.505798,472.441162,88.925140,1006.413757,730.195251,324.388702,1043.008423,821.610352,509.068878,865.873596,450.680756,103.783943,877.716797,534.727966,166.312195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,777.172974,472.189911,92.591377,1007.170349,731.545227,325.011505,1043.660767,822.257385,509.031250,864.778992,451.314178,106.475777,877.080688,535.052246,169.595016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,776.880676,472.324585,96.421089,1008.161926,732.913635,325.850555,1044.315430,822.964600,509.003540,863.633728,451.945343,109.402382,876.735535,535.231262,172.755249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,776.787048,472.437500,100.087029,1009.197815,734.227295,326.115540,1045.038330,823.570496,509.097260,862.678040,452.427673,112.209961,875.937744,535.776001,176.163986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,776.198853,472.632782,103.931358,1009.998413,735.797729,326.119141,1046.631470,823.834900,509.118317,861.258545,453.367615,115.903290,875.342346,536.471191,180.557892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,775.826721,473.077057,108.039101,1010.596497,737.200317,326.650940,1047.702515,824.114319,509.281647,860.051453,454.139038,119.254333,874.829529,537.244446,183.527664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,775.266296,473.502930,111.922073,1011.450195,738.756104,327.384430,1048.540039,824.605286,509.447693,859.324463,454.767303,122.659286,874.605957,537.764099,187.137604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,774.702942,474.097504,115.822594,1012.450439,740.331055,328.055145,1049.434448,825.283081,509.507355,858.041931,455.671143,126.074272,874.011414,538.457581,190.590668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,773.879578,474.816559,119.995560,1013.242615,741.539795,328.149323,1050.078979,825.939209,509.560699,856.959900,456.557648,129.377411,873.300476,539.310913,194.166443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,773.073669,475.628052,123.934059,1014.012207,743.266968,328.663849,1050.316650,826.576233,509.851746,855.901306,457.564087,133.240860,872.424500,540.448181,198.260361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,772.119507,476.841797,127.632614,1015.266663,744.656799,329.261597,1050.600952,827.088440,510.228607,854.855591,458.628021,136.971939,871.920105,541.635010,201.369781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,770.710327,478.251953,131.898392,1016.102173,746.190796,329.937286,1051.237549,827.552856,510.527893,853.811279,459.463959,140.552643,871.537903,542.376404,204.544846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,769.668701,479.140747,136.378510,1016.608093,747.809204,330.685516,1052.387207,828.145203,510.638336,852.740967,460.398315,144.403625,870.842773,543.756165,208.043274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,768.567200,480.502960,140.454208,1017.420776,749.405457,331.051270,1052.909790,828.912109,510.592896,851.640320,461.602417,148.448700,870.011108,545.198547,211.683990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,767.684387,482.407288,143.535248,1018.459839,751.060669,331.751587,1053.002197,829.715271,511.202362,850.401367,462.593903,151.902924,869.582581,546.613403,215.015671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,766.787964,484.201752,147.232712,1019.554016,752.121521,332.419037,1053.300415,830.379639,511.694336,849.587219,463.648193,155.834915,869.074036,547.816833,218.246384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,765.618286,486.259094,150.912369,1020.708679,753.863220,332.747314,1054.462646,830.889221,511.868195,848.325684,465.087128,159.572388,868.640625,549.479675,221.185715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,764.705627,487.886902,154.126297,1021.573303,755.281067,333.041840,1055.872437,831.385071,511.970428,847.206482,466.547516,162.864105,867.764221,550.898376,224.527817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,763.651672,490.019745,157.241119,1022.316101,756.847168,333.913727,1056.880493,831.795471,512.120850,846.487183,468.059021,166.321289,867.380615,552.768677,228.174942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
