Grasp120
Date:,2025/04/28
Time:,14:02:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
144,871.504333,712.776123,128.334045,1133.866455,815.695984,417.897583,,,,753.389526,660.938110,108.967331,,,,1070.031616,859.097351,216.484100,837.092896,617.123840,97.712013
145,870.980347,713.027832,128.709671,1133.670166,815.423645,417.862366,,,,753.063232,660.962646,109.138916,,,,1069.950806,859.199036,216.475449,836.853760,617.172241,98.229279
146,870.560425,713.234802,128.946457,1132.689941,815.359131,418.227234,,,,752.784424,661.056580,109.414986,,,,1069.307007,859.678284,216.797607,836.576904,617.474182,99.080299
147,870.127380,713.347107,129.124573,1131.664185,815.348999,418.414948,,,,752.447571,661.105896,109.781120,,,,1068.633423,860.024170,217.147629,836.101929,617.664612,99.935562
148,869.782776,713.548096,129.327347,1130.829468,815.238342,418.561615,,,,751.774231,661.392151,110.268417,,,,1068.000854,860.300171,217.455093,835.521362,617.989014,100.443016
149,869.405212,713.762146,129.514542,1130.247803,815.080811,418.395355,,,,751.160461,661.718201,110.773331,,,,1067.424927,860.431824,217.575089,834.766724,618.307922,101.064018
150,868.930054,713.988892,129.693314,1129.393921,815.051514,418.313385,,,,750.228882,661.943176,111.507080,,,,1066.978882,860.456787,217.639481,833.824524,618.486572,101.774719
151,868.158142,714.276428,130.113754,1128.411133,814.949951,418.236664,,,,749.761536,662.326294,112.086823,,,,1066.334717,860.713867,217.694427,832.938232,618.626282,103.364700
152,867.002747,714.785034,131.204041,1127.517700,814.801819,418.330383,,,,748.977112,662.611694,112.845963,,,,1065.463379,861.158325,218.159500,831.960876,618.158936,105.104393
153,865.984680,715.115601,132.298401,1126.891235,814.711548,418.729858,,,,748.135925,662.839172,113.549797,,,,1064.304688,861.422546,218.480484,831.175659,617.626953,106.200439
154,864.915527,715.338257,133.062485,1125.996826,814.733948,418.965302,,,,747.097717,663.164734,114.307686,,,,1063.203979,861.316223,218.933228,830.330322,617.893494,107.064171
155,863.880737,715.647949,133.338287,1125.052856,814.658936,419.173218,,,,746.123413,663.369934,115.162506,,,,1062.747559,861.558960,219.137421,829.244690,618.309631,108.142006
