Grasp17
Date:,2025/04/15
Time:,13:41:56
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
73,828.691589,474.513672,32.334328,919.616577,579.775085,67.830063,893.064331,807.099121,267.323669,911.737000,485.407043,32.733597,913.288635,827.436462,447.011017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,830.811279,474.599548,32.860336,920.424805,580.944031,68.229286,893.024597,808.415344,267.976227,913.019531,486.416809,32.433933,913.585876,827.725891,447.253815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,832.657959,474.684875,33.140984,921.257202,581.870605,69.044342,893.273743,809.487244,268.454346,913.997314,487.314301,32.396992,913.896179,828.215881,447.546509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,834.909790,475.289795,32.644600,922.027771,582.832397,69.415901,893.850281,809.887146,268.900360,916.043884,488.535736,32.574276,914.295227,828.740295,448.248352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,837.046814,475.812012,32.660652,922.613586,584.397949,69.130913,894.068115,811.023376,268.916016,917.568420,489.721558,32.724770,914.596863,829.185364,448.684662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,839.073792,476.383026,32.349304,923.334106,586.128479,69.669434,894.256042,812.479858,268.965515,919.120178,491.099518,33.094028,915.392151,829.763550,448.921753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,841.669495,476.728210,32.766033,924.071411,586.972229,70.642906,894.349792,813.457642,269.116486,921.391296,492.644592,33.408978,916.283752,830.441162,448.854645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,843.567627,477.375885,32.839809,924.742615,588.471375,71.004654,894.218384,814.682800,269.342682,922.730408,493.765717,33.231358,916.903503,831.118469,448.686920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,846.136597,478.395203,32.796780,925.871338,590.176758,70.970810,893.860779,816.282471,269.908417,924.323486,495.214142,32.456661,917.457947,831.821472,448.685730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,848.295776,479.184418,32.710629,926.856567,591.530151,71.575409,894.021423,817.702332,271.109039,926.387390,496.539429,32.960075,917.691528,832.369751,449.103088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,850.798340,479.796844,32.385677,927.739685,593.033997,72.357376,894.293640,819.401489,271.260223,928.252686,498.341370,33.290310,918.115845,833.098938,449.946350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,853.434143,480.726196,33.030521,928.522827,594.767334,72.530510,895.145813,820.611389,271.195801,929.674622,500.068878,33.592560,918.749023,833.888489,450.434296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,855.567993,481.992798,33.016033,929.529358,596.583252,73.535255,895.741333,821.895386,271.211578,931.323608,501.921295,33.302193,919.608459,834.719055,450.739563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,858.569214,482.887421,33.273388,930.458374,597.906311,74.198586,896.580872,823.544128,271.820740,933.302185,503.703644,33.735600,920.100525,835.524292,450.795868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,861.002014,484.231018,33.430973,931.535034,599.951660,74.072853,897.241028,825.417297,272.291443,935.298828,505.376831,33.751236,920.419678,836.084167,451.185303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,863.876160,485.644989,33.785107,932.634094,601.737244,74.884514,897.747498,827.269348,272.524628,937.761475,506.980377,34.061291,920.947021,836.947632,451.422638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,866.580627,486.840881,33.655102,933.736023,603.678528,75.984474,898.034973,828.849731,272.519165,939.306519,508.917450,34.031963,921.653076,837.710144,451.793030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,869.698853,488.432404,33.438457,934.665833,605.606689,76.196671,898.580566,831.036926,272.785522,940.611389,510.881256,34.522522,922.790405,838.762573,451.660492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,872.664001,489.688995,33.685333,935.667542,607.574951,77.075699,898.631897,832.903931,273.232605,942.624939,513.275391,34.798874,923.549561,839.445496,451.947571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,875.594421,491.653656,33.693508,937.100647,609.647766,77.396660,899.110901,835.022156,273.426666,945.061279,515.642212,34.969124,924.060242,840.251038,452.296967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,878.888367,493.331024,34.124035,938.432922,611.936707,78.194717,899.744263,837.117737,273.659332,,,,924.738098,841.278931,452.249023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,881.726746,495.432343,34.276924,939.353943,613.850647,79.280693,900.501465,839.315796,273.815369,,,,925.215881,842.308533,452.310516,947.227539,521.564392,33.937458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,885.043884,497.079376,34.565945,940.636658,616.146667,79.821854,901.697754,841.184448,273.832825,,,,926.021179,843.284607,452.704895,949.489685,521.566833,36.052158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,888.241699,499.238068,34.752178,941.959412,618.383118,80.401520,903.145142,843.007080,274.194244,,,,926.512329,844.063782,453.258392,951.372742,522.614319,37.461819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,891.762390,501.755096,34.686272,943.321289,620.772644,80.919968,903.839478,845.422058,274.377533,,,,927.185181,844.902649,453.761627,953.261475,525.047913,37.570431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,895.216980,504.099304,34.707085,944.625244,623.209900,81.826698,904.166504,847.511841,274.836243,,,,928.518433,845.954285,453.047729,954.851013,528.215881,37.551262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
