Grasp127
Date:,2025/05/06
Time:,14:07:23
Type:,test
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
98,873.704529,644.386230,188.274033,740.528320,621.824890,154.840179,808.673401,582.317139,129.369537,,,,,,,,,,,,,1134.703003,790.040649,434.069397,,,,,,,1075.514526,825.006592,257.819946,,,,,,,,,,,,,,,
99,873.039368,645.685730,187.045532,739.557861,623.555908,153.140259,807.918640,583.944763,127.641808,,,,,,,,,,,,,1134.551514,790.092407,434.001587,,,,,,,1075.444946,825.073303,257.785461,,,,,,,,,,,,,,,
100,872.588074,646.939270,185.642029,739.215149,625.455627,150.843735,807.346924,585.659180,125.878006,,,,,,,,,,,,,1134.317505,790.155151,433.857574,,,,,,,1075.395264,825.089050,257.721863,,,,,,,,,,,,,,,
101,871.987549,647.783875,184.316040,738.966309,627.059509,148.520157,806.778625,586.982117,124.243477,,,,,,,,,,,,,1134.112305,790.180603,433.827118,,,,,,,1075.188965,825.150391,257.638092,,,,,,,,,,,,,,,
102,871.346375,648.783997,182.432724,738.619507,628.660706,146.622879,806.291626,588.243774,121.933739,,,,,,,,,,,,,1133.917114,790.186218,433.802277,,,,,,,1074.993896,825.171143,257.518219,,,,,,,,,,,,,,,
103,870.738525,649.751160,181.125900,737.822571,630.033997,144.717575,805.806702,589.900024,120.239456,,,,,,,,,,,,,1133.761597,790.263306,433.726135,,,,,,,1074.856445,825.189636,257.264069,,,,,,,,,,,,,,,
104,870.338806,651.018066,179.394470,737.488220,631.164307,142.680328,805.314575,590.923706,118.926147,,,,,,,,,,,,,1133.528564,790.280090,433.645233,,,,,,,1074.689209,825.220459,257.167419,,,,,,,,,,,,,,,
105,870.312683,651.948425,177.354568,737.295593,632.764832,140.616989,805.059082,591.748230,116.859001,,,,,,,,,,,,,1133.307983,790.287964,433.499512,,,,,,,1074.573364,825.214600,257.038422,,,,,,,,,,,,,,,
106,869.913635,652.262695,176.017670,737.231201,633.573730,138.787338,805.084839,592.596436,114.770187,,,,,,,,,,,,,1132.944214,790.248108,433.289032,,,,,,,1074.441528,825.233032,256.883942,,,,,,,,,,,,,,,
107,869.532715,653.188538,174.217270,737.134277,634.710266,136.241028,804.995667,593.615112,112.967743,,,,,,,,,,,,,1132.488281,790.250488,433.037079,,,,,,,1074.436768,825.232056,256.694489,,,,,,,,,,,,,,,
108,869.175903,653.774719,173.064270,737.120911,636.120178,133.854279,804.641785,594.725098,111.378578,,,,,,,,,,,,,1132.411621,790.221619,433.177979,,,,,,,1074.345459,825.235291,256.504333,,,,,,,,,,,,,,,
109,869.114624,654.263733,170.942245,737.726196,637.331665,130.991760,804.209229,595.087463,109.842880,,,,,,,,,,,,,1131.742676,790.272949,432.532013,,,,,,,1074.440552,825.211060,256.301636,,,,,,,,,,,,,,,
110,868.892456,655.161499,168.957184,738.121338,638.354248,128.194183,804.003601,595.412354,108.088684,,,,,,,,,,,,,1131.308838,790.259949,432.305542,,,,,,,1074.329590,825.219788,256.133148,,,,,,,,,,,,,,,
111,868.942749,655.803223,167.788330,738.831177,639.037170,125.875366,803.774719,595.926514,106.756546,,,,,,,,,,,,,1131.089233,790.276611,432.221008,,,,,,,1074.143188,825.187134,255.970200,,,,,,,,,,,,,,,
112,868.857849,656.457275,165.503952,739.288269,639.229431,124.182159,803.604126,596.452698,105.953674,,,,,,,,,,,,,1130.835938,790.208130,432.061676,,,,,,,1073.913086,825.149780,255.864395,,,,,,,,,,,,,,,
113,868.662781,656.494873,164.013184,739.863281,639.597656,122.655464,803.357788,597.095764,105.370934,,,,,,,,,,,,,1130.502930,790.217712,432.000763,,,,,,,1073.680298,825.170288,255.659470,,,,,,,,,,,,,,,
114,868.941284,656.773987,162.875778,740.722412,639.746277,121.807838,802.501221,597.884705,104.675682,,,,,,,,,,,,,1130.202637,790.153198,431.903900,,,,,,,1073.280762,825.219360,255.368347,,,,,,,,,,,,,,,
115,869.227844,657.206543,161.388458,741.486694,639.774475,121.386948,801.615662,598.758789,103.892319,,,,,,,,,,,,,1129.832520,790.188232,431.783783,,,,,,,1072.889893,825.224548,255.076569,,,,,,,,,,,,,,,
116,869.186401,657.431091,160.158798,742.077393,639.913147,121.198593,800.995117,599.288574,103.957298,,,,,,,,,,,,,1129.159424,790.223755,431.523041,,,,,,,1072.514282,825.243103,254.884888,,,,,,,,,,,,,,,
117,869.067261,657.528625,159.471970,742.932373,640.023071,120.861481,800.465576,599.356018,104.236320,,,,,,,,,,,,,1128.537598,790.175598,431.326538,,,,,,,1072.090210,825.224304,254.482101,,,,,,,,,,,,,,,
